OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.86,144370463.0,7.84,"Feb 18, 2011 00:00:00",7.95,7.84
7.84,95437825.0,8.15,"Feb 21, 2011 00:00:00",8.17,7.84
7.84,95437825.0,8.15,"Feb 21, 2011 00:00:00",8.17,7.84
8.2,60990299.0,8.28,"Feb 22, 2011 00:00:00",8.28,8.15
8.2,60990299.0,8.28,"Feb 22, 2011 00:00:00",8.28,8.15
8.22,36639615.0,8.42,"Feb 23, 2011 00:00:00",8.45,8.21
8.22,36639615.0,8.42,"Feb 23, 2011 00:00:00",8.45,8.21
8.4,24060844.0,8.29,"Feb 24, 2011 00:00:00",8.4,8.23
8.4,24060844.0,8.29,"Feb 24, 2011 00:00:00",8.4,8.23
8.25,36375455.0,8.55,"Feb 25, 2011 00:00:00",8.6,8.1
8.5,2250229.0,8.36,"Feb 28, 2011 00:00:00",8.6,8.35
8.6,3422735.0,8.48,"Mar 02, 2011 00:00:00",8.69,8.48
8.58,4820101.0,8.53,"Mar 03, 2011 00:00:00",8.58,8.35
8.5,15258839.0,8.37,"Mar 04, 2011 00:00:00",8.59,8.35
8.5,15258839.0,8.37,"Mar 04, 2011 00:00:00",8.59,8.35
8.4,12296043.0,8.2,"Mar 07, 2011 00:00:00",8.4,8.2
8.24,14987089.0,8.2,"Mar 08, 2011 00:00:00",8.24,8.2
8.24,14987089.0,8.2,"Mar 08, 2011 00:00:00",8.24,8.2
8.2,8496541.0,8.29,"Mar 11, 2011 00:00:00",8.29,8.2
8.2,8496541.0,8.29,"Mar 11, 2011 00:00:00",8.29,8.2
8.2,2546431.0,8.2,"Mar 16, 2011 00:00:00",8.22,8.2
8.2,8986660.0,8.2,"Mar 17, 2011 00:00:00",8.21,8.2
8.2,1738089.0,8.21,"Mar 18, 2011 00:00:00",8.23,8.2
8.29,2010500.0,8.22,"Mar 21, 2011 00:00:00",8.29,8.21
8.22,2107869.0,8.21,"Mar 22, 2011 00:00:00",8.24,8.21
8.21,3036178.0,8.24,"Mar 23, 2011 00:00:00",8.24,8.2
8.25,6468293.0,8.41,"Mar 24, 2011 00:00:00",8.41,8.25
8.41,10966788.0,8.48,"Mar 25, 2011 00:00:00",8.64,8.41
8.5,2040821.0,8.52,"Mar 28, 2011 00:00:00",8.52,8.49
