OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.08,268440.0,1.02,"Aug 03, 2009 00:00:00",1.08,1.02
1.06,58300.0,1.06,"Aug 04, 2009 00:00:00",1.06,1.06
1.06,3180.0,1.06,"Aug 06, 2009 00:00:00",1.06,1.06
1.06,85860.0,1.06,"Aug 07, 2009 00:00:00",1.06,1.06
1.02,31620.0,1.02,"Aug 10, 2009 00:00:00",1.02,1.02
1.04,39040.0,1.06,"Aug 11, 2009 00:00:00",1.06,1.04
1.02,30600.0,1.02,"Aug 12, 2009 00:00:00",1.02,1.02
1.02,19380.0,1.02,"Aug 13, 2009 00:00:00",1.02,1.02
1.02,125600.0,1.0,"Aug 17, 2009 00:00:00",1.02,1.0
1.0,40000.0,1.0,"Aug 18, 2009 00:00:00",1.0,1.0
1.08,100800.0,1.0,"Aug 19, 2009 00:00:00",1.08,1.0
1.02,10200.0,1.02,"Sep 17, 2009 00:00:00",1.02,1.02
1.0,110000.0,1.0,"Sep 30, 2009 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Oct 07, 2009 00:00:00",1.0,1.0
1.0,100000.0,1.0,"Oct 08, 2009 00:00:00",1.0,1.0
0.9,9000.0,0.9,"Oct 13, 2009 00:00:00",0.9,0.9
0.9,29000.0,1.0,"Oct 15, 2009 00:00:00",1.0,0.9
1.0,70600.0,1.0,"Oct 16, 2009 00:00:00",1.02,1.0
1.0,2877400.0,1.02,"Oct 19, 2009 00:00:00",1.14,1.0
1.0,11000.0,1.0,"Oct 20, 2009 00:00:00",1.0,1.0
0.91,67300.0,1.0,"Oct 23, 2009 00:00:00",1.0,0.91
1.0,29800.0,0.99,"Oct 27, 2009 00:00:00",1.0,0.99
0.98,49000.0,0.98,"Oct 28, 2009 00:00:00",0.98,0.98
0.9,180000.0,0.9,"Oct 29, 2009 00:00:00",0.9,0.9
0.89,448700.0,0.94,"Oct 30, 2009 00:00:00",0.94,0.88
0.93,9300.0,0.93,"Nov 03, 2009 00:00:00",0.93,0.93
0.9,18000.0,0.9,"Nov 04, 2009 00:00:00",0.9,0.9
0.89,398000.0,0.87,"Nov 05, 2009 00:00:00",1.0,0.87
0.86,63200.0,0.92,"Nov 06, 2009 00:00:00",0.92,0.86
0.86,51600.0,0.86,"Nov 09, 2009 00:00:00",0.86,0.86
0.87,152900.0,0.92,"Nov 10, 2009 00:00:00",0.92,0.87
0.89,8900.0,0.89,"Dec 21, 2009 00:00:00",0.89,0.89
0.89,304700.0,0.9,"Dec 29, 2009 00:00:00",0.9,0.89
0.81,73800.0,0.84,"Jan 07, 2010 00:00:00",0.84,0.81
