OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.8,1629700.0,1.84,"Aug 03, 2009 00:00:00",1.84,1.8
1.86,788080.0,1.86,"Aug 04, 2009 00:00:00",1.88,1.86
1.84,1023300.0,1.88,"Aug 06, 2009 00:00:00",1.88,1.84
1.88,792180.0,1.9,"Aug 07, 2009 00:00:00",1.92,1.88
1.92,1369700.0,1.96,"Aug 10, 2009 00:00:00",1.96,1.9
1.96,752640.0,1.96,"Aug 11, 2009 00:00:00",1.96,1.96
1.98,6497540.0,2.02,"Aug 12, 2009 00:00:00",2.06,1.96
2.04,1668360.0,2.08,"Aug 13, 2009 00:00:00",2.08,2.04
2.08,457580.0,2.02,"Aug 14, 2009 00:00:00",2.08,2.02
2.0,519200.0,1.92,"Aug 17, 2009 00:00:00",2.0,1.92
1.9,361600.0,1.92,"Aug 18, 2009 00:00:00",1.92,1.9
1.94,1382300.0,1.92,"Aug 19, 2009 00:00:00",1.94,1.9
1.9,47540.0,1.92,"Aug 20, 2009 00:00:00",1.92,1.9
1.92,751600.0,1.94,"Aug 24, 2009 00:00:00",1.98,1.92
1.94,873300.0,1.96,"Aug 25, 2009 00:00:00",2.0,1.94
1.98,1107640.0,2.0,"Aug 26, 2009 00:00:00",2.04,1.98
2.04,77520.0,2.04,"Sep 03, 2009 00:00:00",2.04,2.04
2.04,255160.0,2.06,"Sep 04, 2009 00:00:00",2.06,2.04
2.04,1665440.0,2.04,"Sep 16, 2009 00:00:00",2.06,2.02
2.0,2010100.0,2.02,"Sep 17, 2009 00:00:00",2.02,2.0
2.02,50500.0,2.02,"Sep 18, 2009 00:00:00",2.02,2.02
2.02,412080.0,2.02,"Sep 22, 2009 00:00:00",2.02,2.02
2.02,361440.0,2.02,"Sep 23, 2009 00:00:00",2.02,2.0
1.9,133000.0,1.9,"Sep 30, 2009 00:00:00",1.9,1.9
1.9,104500.0,1.9,"Oct 01, 2009 00:00:00",1.9,1.9
1.9,257140.0,1.9,"Oct 02, 2009 00:00:00",1.9,1.86
1.88,3337060.0,1.84,"Oct 05, 2009 00:00:00",1.88,1.84
1.86,535780.0,1.88,"Oct 06, 2009 00:00:00",1.88,1.86
1.9,539600.0,1.9,"Oct 07, 2009 00:00:00",1.9,1.9
1.86,148800.0,1.86,"Oct 08, 2009 00:00:00",1.86,1.86
1.88,131600.0,1.88,"Oct 09, 2009 00:00:00",1.88,1.88
1.88,587540.0,1.8,"Oct 12, 2009 00:00:00",1.88,1.8
1.8,154880.0,1.8,"Oct 13, 2009 00:00:00",1.88,1.8
1.82,198100.0,1.8,"Oct 14, 2009 00:00:00",1.82,1.8
1.8,135600.0,1.78,"Oct 15, 2009 00:00:00",1.8,1.78
1.78,71400.0,1.8,"Oct 16, 2009 00:00:00",1.8,1.78
1.78,789720.0,1.8,"Oct 20, 2009 00:00:00",1.8,1.76
1.78,5005340.0,1.72,"Oct 21, 2009 00:00:00",1.78,1.72
1.76,814240.0,1.68,"Oct 22, 2009 00:00:00",1.76,1.68
1.7,280500.0,1.68,"Oct 23, 2009 00:00:00",1.7,1.66
1.66,596300.0,1.64,"Oct 26, 2009 00:00:00",1.66,1.64
1.62,427840.0,1.64,"Oct 27, 2009 00:00:00",1.64,1.62
1.64,224900.0,1.62,"Oct 28, 2009 00:00:00",1.64,1.62
1.62,729420.0,1.6,"Oct 29, 2009 00:00:00",1.62,1.58
1.6,796460.0,1.62,"Oct 30, 2009 00:00:00",1.62,1.6
1.6,91200.0,1.6,"Nov 03, 2009 00:00:00",1.6,1.6
1.62,171520.0,1.62,"Nov 04, 2009 00:00:00",1.62,1.6
1.64,227380.0,1.66,"Nov 05, 2009 00:00:00",1.66,1.64
1.64,51080.0,1.68,"Nov 06, 2009 00:00:00",1.68,1.64
1.64,918840.0,1.68,"Nov 09, 2009 00:00:00",1.68,1.64
1.68,63360.0,1.72,"Nov 10, 2009 00:00:00",1.72,1.68
1.7,177140.0,1.72,"Nov 11, 2009 00:00:00",1.72,1.7
1.6,107260.0,1.62,"Dec 15, 2009 00:00:00",1.62,1.6
1.62,118040.0,1.6,"Dec 16, 2009 00:00:00",1.62,1.58
1.6,240000.0,1.6,"Dec 17, 2009 00:00:00",1.6,1.6
