OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0095,4883000.0,0.0095,"Aug 03, 2009 00:00:00",0.0095,0.0095
0.0095,4501500.0,0.0095,"Aug 04, 2009 00:00:00",0.01,0.0095
0.0095,437000.0,0.0095,"Aug 06, 2009 00:00:00",0.0095,0.0095
0.0095,20479500.0,0.01,"Aug 07, 2009 00:00:00",0.011,0.0095
0.01,10980000.0,0.01,"Aug 10, 2009 00:00:00",0.01,0.01
0.01,8210000.0,0.01,"Aug 11, 2009 00:00:00",0.011,0.01
0.01,1039500.0,0.01,"Aug 12, 2009 00:00:00",0.01,0.0095
0.0095,950000.0,0.0095,"Aug 13, 2009 00:00:00",0.0095,0.0095
0.01,721000.0,0.01,"Aug 14, 2009 00:00:00",0.011,0.01
0.01,2492500.0,0.0095,"Aug 17, 2009 00:00:00",0.01,0.0095
0.0095,4172500.0,0.0095,"Aug 18, 2009 00:00:00",0.0095,0.009
0.0095,332500.0,0.0095,"Aug 19, 2009 00:00:00",0.0095,0.0095
0.0095,731500.0,0.0095,"Aug 20, 2009 00:00:00",0.0095,0.0095
0.0095,247000.0,0.0095,"Aug 24, 2009 00:00:00",0.0095,0.0095
0.0095,532000.0,0.0095,"Aug 25, 2009 00:00:00",0.0095,0.0095
0.0095,912000.0,0.0095,"Aug 26, 2009 00:00:00",0.0095,0.0095
0.009,580000.0,0.0095,"Sep 03, 2009 00:00:00",0.0095,0.009
0.0095,1111500.0,0.0095,"Sep 04, 2009 00:00:00",0.0095,0.0095
0.009,1155000.0,0.009,"Sep 16, 2009 00:00:00",0.009,0.0085
0.0085,6583500.0,0.0085,"Sep 17, 2009 00:00:00",0.0085,0.008
0.0085,2099000.0,0.0095,"Sep 18, 2009 00:00:00",0.0095,0.0085
0.009,126500.0,0.009,"Sep 22, 2009 00:00:00",0.0095,0.009
0.009,120000.0,0.0085,"Sep 23, 2009 00:00:00",0.009,0.0085
0.0085,119000.0,0.0085,"Sep 30, 2009 00:00:00",0.0085,0.0085
0.0085,109000.0,0.008,"Oct 01, 2009 00:00:00",0.0085,0.008
0.0085,42500.0,0.0085,"Oct 02, 2009 00:00:00",0.0085,0.0085
0.008,984000.0,0.008,"Oct 05, 2009 00:00:00",0.0085,0.008
0.0085,248500.0,0.008,"Oct 06, 2009 00:00:00",0.0085,0.008
0.0085,671500.0,0.0085,"Oct 07, 2009 00:00:00",0.0085,0.0085
0.0085,25500.0,0.0085,"Oct 08, 2009 00:00:00",0.0085,0.0085
0.0085,422500.0,0.008,"Oct 09, 2009 00:00:00",0.0085,0.008
0.008,104000.0,0.008,"Oct 12, 2009 00:00:00",0.008,0.008
0.008,24000.0,0.008,"Oct 13, 2009 00:00:00",0.008,0.008
0.008,960000.0,0.008,"Oct 14, 2009 00:00:00",0.008,0.008
0.0085,85000.0,0.0085,"Oct 15, 2009 00:00:00",0.0085,0.0085
0.008,406500.0,0.0085,"Oct 16, 2009 00:00:00",0.0085,0.008
0.0085,3094500.0,0.0085,"Oct 19, 2009 00:00:00",0.009,0.0085
0.008,8000.0,0.008,"Oct 20, 2009 00:00:00",0.008,0.008
0.0085,40500.0,0.008,"Oct 21, 2009 00:00:00",0.0085,0.008
0.008,400000.0,0.008,"Oct 22, 2009 00:00:00",0.008,0.008
