OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.075,758250.0,0.075,"Aug 03, 2009 00:00:00",0.0775,0.075
0.0775,18683750.0,0.0775,"Aug 04, 2009 00:00:00",0.0825,0.0775
0.08,1744250.0,0.0775,"Aug 06, 2009 00:00:00",0.08,0.0775
0.0775,24173250.0,0.0825,"Aug 07, 2009 00:00:00",0.085,0.0775
0.0825,4979000.0,0.08,"Aug 10, 2009 00:00:00",0.0825,0.08
0.08,4348000.0,0.08,"Aug 11, 2009 00:00:00",0.08,0.0775
0.0775,23416750.0,0.0875,"Aug 12, 2009 00:00:00",0.0875,0.0775
0.0925,34050750.0,0.095,"Aug 13, 2009 00:00:00",0.0975,0.09
0.0975,16536750.0,0.0925,"Aug 14, 2009 00:00:00",0.0975,0.09
0.09,4449500.0,0.0875,"Aug 17, 2009 00:00:00",0.09,0.085
0.08,7245750.0,0.085,"Aug 18, 2009 00:00:00",0.085,0.08
0.085,10163500.0,0.09,"Aug 19, 2009 00:00:00",0.0925,0.085
0.09,5419250.0,0.085,"Aug 20, 2009 00:00:00",0.09,0.085
0.0875,2866250.0,0.0875,"Aug 24, 2009 00:00:00",0.09,0.085
0.09,1701500.0,0.0875,"Aug 25, 2009 00:00:00",0.09,0.085
0.085,1207000.0,0.085,"Aug 26, 2009 00:00:00",0.085,0.085
0.0825,1476750.0,0.0825,"Sep 03, 2009 00:00:00",0.0825,0.0825
0.0825,1097250.0,0.0825,"Sep 04, 2009 00:00:00",0.0825,0.0825
0.09,819000.0,0.09,"Sep 16, 2009 00:00:00",0.09,0.09
0.09,2138750.0,0.09,"Sep 17, 2009 00:00:00",0.0925,0.09
0.09,2211500.0,0.0925,"Sep 18, 2009 00:00:00",0.0925,0.09
0.0925,1177000.0,0.09,"Sep 22, 2009 00:00:00",0.0925,0.09
0.095,7707500.0,0.0875,"Sep 23, 2009 00:00:00",0.095,0.0875
0.0825,4933500.0,0.0825,"Sep 30, 2009 00:00:00",0.0825,0.0825
0.0825,1815000.0,0.0825,"Oct 01, 2009 00:00:00",0.0825,0.0825
0.08,4736000.0,0.08,"Oct 02, 2009 00:00:00",0.08,0.08
0.08,232000.0,0.08,"Oct 05, 2009 00:00:00",0.08,0.08
0.0825,552750.0,0.0825,"Oct 06, 2009 00:00:00",0.0825,0.0825
0.0825,446000.0,0.0825,"Oct 07, 2009 00:00:00",0.085,0.0825
