OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.0,150000.0,3.0,"Aug 03, 2009 00:00:00",3.0,3.0
3.0,204000.0,3.0,"Aug 04, 2009 00:00:00",3.0,3.0
2.75,16750.0,2.8,"Aug 06, 2009 00:00:00",2.8,2.75
2.9,69600.0,2.9,"Aug 13, 2009 00:00:00",2.9,2.9
2.85,57000.0,2.85,"Aug 20, 2009 00:00:00",2.85,2.85
2.85,17100.0,2.85,"Aug 24, 2009 00:00:00",2.85,2.85
2.85,2850.0,2.85,"Aug 25, 2009 00:00:00",2.85,2.85
2.9,353600.0,2.9,"Aug 26, 2009 00:00:00",2.9,2.85
3.0,6000.0,3.0,"Sep 03, 2009 00:00:00",3.0,3.0
3.0,156000.0,3.0,"Sep 04, 2009 00:00:00",3.0,3.0
2.9,11550.0,2.85,"Sep 18, 2009 00:00:00",2.9,2.85
2.9,203800.0,2.8,"Sep 22, 2009 00:00:00",2.9,2.8
2.8,14000.0,2.8,"Sep 23, 2009 00:00:00",2.8,2.8
2.75,41250.0,2.75,"Oct 01, 2009 00:00:00",2.75,2.75
2.75,2750.0,2.75,"Oct 08, 2009 00:00:00",2.75,2.75
2.85,2850.0,2.85,"Oct 15, 2009 00:00:00",2.85,2.85
2.85,2850.0,2.85,"Oct 23, 2009 00:00:00",2.85,2.85
2.85,142500.0,2.85,"Oct 30, 2009 00:00:00",2.85,2.85
2.85,14250.0,2.85,"Nov 05, 2009 00:00:00",2.85,2.85
2.04,59160.0,2.04,"Nov 11, 2009 00:00:00",2.04,2.04
2.75,21700.0,2.7,"Dec 16, 2009 00:00:00",2.75,2.7
2.7,5400.0,2.7,"Dec 17, 2009 00:00:00",2.7,2.7
2.8,2800.0,2.8,"Dec 22, 2009 00:00:00",2.8,2.8
2.85,2850.0,2.85,"Dec 29, 2009 00:00:00",2.85,2.85
2.9,359500.0,2.9,"Jan 22, 2010 00:00:00",2.9,2.85
3.0,18000.0,3.0,"Feb 03, 2010 00:00:00",3.0,3.0
3.4,197000.0,3.0,"Mar 12, 2010 00:00:00",3.4,3.0
3.05,39150.0,3.0,"Mar 16, 2010 00:00:00",3.05,3.0
3.0,63000.0,3.0,"Mar 17, 2010 00:00:00",3.0,3.0
3.1,21600.0,3.05,"Apr 20, 2010 00:00:00",3.1,3.05
2.75,77000.0,2.75,"Apr 23, 2010 00:00:00",2.75,2.75
2.8,28000.0,2.8,"Apr 29, 2010 00:00:00",2.8,2.8
2.8,193200.0,2.8,"Apr 30, 2010 00:00:00",2.8,2.8
3.0,96000.0,2.8,"May 04, 2010 00:00:00",3.0,2.8
2.8,943600.0,2.8,"May 05, 2010 00:00:00",2.8,2.8
3.0,21000.0,3.0,"May 13, 2010 00:00:00",3.0,3.0
2.8,84000.0,2.8,"May 17, 2010 00:00:00",2.8,2.8
2.85,17100.0,2.85,"May 19, 2010 00:00:00",2.85,2.85
2.95,287400.0,3.0,"May 24, 2010 00:00:00",3.0,2.95
2.8,103600.0,2.8,"Jun 23, 2010 00:00:00",2.8,2.8
3.0,36000.0,3.0,"Jun 25, 2010 00:00:00",3.0,3.0
3.0,27000.0,3.0,"Jul 09, 2010 00:00:00",3.0,3.0
3.45,3301200.0,4.35,"Jul 13, 2010 00:00:00",4.35,3.45
5.4,3800600.0,5.2,"Jul 14, 2010 00:00:00",5.6,4.8
5.4,2211600.0,4.5,"Jul 15, 2010 00:00:00",5.4,4.5
4.6,107350.0,4.85,"Jul 16, 2010 00:00:00",4.9,4.6
4.85,534150.0,4.6,"Jul 19, 2010 00:00:00",4.85,4.3
4.6,1232500.0,4.75,"Jul 20, 2010 00:00:00",5.1,4.6
4.55,145850.0,4.8,"Jul 21, 2010 00:00:00",4.8,4.55
4.7,78700.0,4.6,"Jul 22, 2010 00:00:00",4.7,4.6
4.35,252550.0,4.35,"Jul 23, 2010 00:00:00",4.4,4.35
3.8,2058290.0,4.8,"Sep 20, 2010 00:00:00",4.8,3.8
4.9,3004550.0,4.2,"Sep 21, 2010 00:00:00",4.9,4.2
4.2,1239450.0,4.4,"Sep 22, 2010 00:00:00",4.4,4.15
4.5,2555150.0,4.6,"Sep 23, 2010 00:00:00",4.8,4.4
4.7,3310700.0,4.65,"Sep 24, 2010 00:00:00",5.2,4.65
4.99,3283250.0,4.7,"Sep 27, 2010 00:00:00",4.99,4.65
4.7,169600.0,4.75,"Sep 28, 2010 00:00:00",4.75,4.55
4.75,232500.0,4.6,"Sep 29, 2010 00:00:00",4.75,4.6
4.5,562600.0,4.5,"Sep 30, 2010 00:00:00",4.6,4.5
4.5,450000.0,4.5,"Oct 01, 2010 00:00:00",4.5,4.5
4.5,1832900.0,4.6,"Oct 04, 2010 00:00:00",4.65,4.5
4.5,585750.0,4.65,"Oct 05, 2010 00:00:00",4.65,4.5
4.45,357750.0,4.64,"Oct 06, 2010 00:00:00",4.65,4.42
4.65,1497070.0,4.65,"Oct 07, 2010 00:00:00",4.75,4.65
4.7,4288650.0,5.29,"Oct 08, 2010 00:00:00",5.65,4.65
5.2,1073460.0,5.02,"Oct 12, 2010 00:00:00",5.25,5.02
5.04,1602265.0,5.19,"Oct 13, 2010 00:00:00",5.2,5.04
5.21,963235.0,5.1,"Oct 14, 2010 00:00:00",5.25,5.1
5.1,447080.0,5.2,"Oct 15, 2010 00:00:00",5.22,5.1
5.2,1129187.0,5.4,"Oct 18, 2010 00:00:00",5.49,5.2
5.3,1515040.0,5.3,"Oct 19, 2010 00:00:00",5.32,5.3
5.3,1371083.0,5.23,"Oct 20, 2010 00:00:00",5.4,5.1
5.0,1259430.0,5.0,"Oct 21, 2010 00:00:00",5.2,5.0
5.1,266914.0,5.19,"Oct 22, 2010 00:00:00",5.2,5.1
5.25,1631529.0,5.14,"Oct 26, 2010 00:00:00",5.25,5.1
5.1,3976250.0,5.1,"Oct 27, 2010 00:00:00",5.13,5.04
5.04,1128884.0,5.02,"Oct 28, 2010 00:00:00",5.06,5.02
5.03,2727024.0,5.0,"Oct 29, 2010 00:00:00",5.1,5.0
5.0,622700.0,4.9,"Nov 02, 2010 00:00:00",5.1,4.9
4.9,49000.0,4.9,"Nov 03, 2010 00:00:00",4.9,4.9
4.95,3157650.0,4.95,"Nov 04, 2010 00:00:00",4.95,4.9
5.0,1324700.0,4.9,"Nov 08, 2010 00:00:00",5.05,4.9
3.9,117000.0,3.9,"Nov 09, 2010 00:00:00",3.9,3.9
4.9,171500.0,4.9,"Nov 11, 2010 00:00:00",4.9,4.9
4.55,226000.0,4.5,"Nov 12, 2010 00:00:00",4.55,4.5
4.7,18800.0,4.7,"Nov 15, 2010 00:00:00",4.7,4.7
4.7,19000.0,4.8,"Nov 17, 2010 00:00:00",4.8,4.7
4.95,175850.0,4.5,"Nov 19, 2010 00:00:00",4.95,4.4
4.5,1057530.0,4.5,"Nov 22, 2010 00:00:00",4.51,4.5
4.22,8440.0,4.22,"Nov 23, 2010 00:00:00",4.22,4.22
4.25,752900.0,4.45,"Nov 24, 2010 00:00:00",4.45,4.25
4.4,119120.0,4.24,"Nov 25, 2010 00:00:00",4.4,4.24
4.25,106250.0,4.25,"Nov 26, 2010 00:00:00",4.25,4.25
4.22,117960.0,4.2,"Nov 30, 2010 00:00:00",4.22,4.2
4.2,483000.0,4.2,"Dec 02, 2010 00:00:00",4.2,4.2
4.1,344250.0,4.2,"Dec 03, 2010 00:00:00",4.2,4.0
4.01,564120.0,4.0,"Dec 07, 2010 00:00:00",4.01,4.0
4.0,124000.0,4.0,"Dec 08, 2010 00:00:00",4.0,4.0
4.0,16000.0,4.0,"Dec 16, 2010 00:00:00",4.0,4.0
5.0,84200.0,4.85,"Dec 22, 2010 00:00:00",5.0,4.85
4.8,76800.0,4.8,"Dec 23, 2010 00:00:00",4.8,4.8
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.5,36000.0,4.5,"Dec 28, 2010 00:00:00",4.5,4.5
4.85,82450.0,4.85,"Jan 03, 2011 00:00:00",4.85,4.85
4.85,82450.0,4.85,"Jan 03, 2011 00:00:00",4.85,4.85
4.85,82450.0,4.85,"Jan 03, 2011 00:00:00",4.85,4.85
4.55,40700.0,4.5,"Jan 04, 2011 00:00:00",4.55,4.5
4.5,31300.0,4.4,"Jan 06, 2011 00:00:00",4.5,4.4
4.5,31500.0,4.5,"Jan 07, 2011 00:00:00",4.5,4.5
4.0,139000.0,4.5,"Jan 10, 2011 00:00:00",4.5,4.0
4.4,4400.0,4.4,"Jan 11, 2011 00:00:00",4.4,4.4
4.4,4400.0,4.4,"Jan 11, 2011 00:00:00",4.4,4.4
4.12,28850.0,4.13,"Jan 12, 2011 00:00:00",4.13,4.12
4.45,6541850.0,5.45,"Jan 13, 2011 00:00:00",6.0,4.45
5.9,29491667.0,7.28,"Jan 14, 2011 00:00:00",7.91,5.9
7.35,33727105.0,7.81,"Jan 17, 2011 00:00:00",7.94,7.35
7.9,10015824.0,7.39,"Jan 18, 2011 00:00:00",7.93,7.35
7.5,3980450.0,6.95,"Jan 19, 2011 00:00:00",7.5,6.95
7.5,3980450.0,6.95,"Jan 19, 2011 00:00:00",7.5,6.95
6.94,2459027.0,6.18,"Jan 20, 2011 00:00:00",7.0,6.1
6.94,2459027.0,6.18,"Jan 20, 2011 00:00:00",7.0,6.1
6.5,553117.0,6.38,"Jan 24, 2011 00:00:00",6.7,6.3
6.39,1005116.0,6.0,"Jan 25, 2011 00:00:00",6.51,5.9
6.02,253885.0,6.1,"Jan 26, 2011 00:00:00",6.25,6.0
6.1,1793201.0,5.94,"Jan 27, 2011 00:00:00",6.1,5.89
5.93,664234.0,5.71,"Jan 28, 2011 00:00:00",5.93,5.1
5.93,664234.0,5.71,"Jan 28, 2011 00:00:00",5.93,5.1
5.94,1924544.0,5.5,"Jan 31, 2011 00:00:00",5.94,5.5
5.94,1924544.0,5.5,"Jan 31, 2011 00:00:00",5.94,5.5
5.1,101010.0,5.65,"Feb 01, 2011 00:00:00",6.0,5.1
5.1,101010.0,5.65,"Feb 01, 2011 00:00:00",6.0,5.1
5.99,484754.0,5.6,"Feb 02, 2011 00:00:00",5.99,5.6
5.75,127072.0,5.5,"Feb 03, 2011 00:00:00",5.75,5.28
5.36,99710.0,5.41,"Feb 14, 2011 00:00:00",5.41,5.1
5.48,57544.0,5.49,"Feb 16, 2011 00:00:00",5.49,5.48
5.48,57544.0,5.49,"Feb 16, 2011 00:00:00",5.49,5.48
5.49,91940.0,5.46,"Feb 17, 2011 00:00:00",5.69,5.45
5.45,125050.0,5.44,"Feb 18, 2011 00:00:00",5.45,5.42
5.45,755502.0,5.45,"Feb 21, 2011 00:00:00",5.5,5.44
5.45,755502.0,5.45,"Feb 21, 2011 00:00:00",5.5,5.44
5.51,1158477.0,5.45,"Feb 22, 2011 00:00:00",5.52,5.44
5.51,1158477.0,5.45,"Feb 22, 2011 00:00:00",5.52,5.44
5.45,440665.0,5.49,"Feb 23, 2011 00:00:00",5.5,5.42
5.45,440665.0,5.49,"Feb 23, 2011 00:00:00",5.5,5.42
5.45,474703.0,5.3,"Feb 24, 2011 00:00:00",5.45,5.2
5.45,474703.0,5.3,"Feb 24, 2011 00:00:00",5.45,5.2
5.3,199800.0,5.3,"Feb 25, 2011 00:00:00",5.3,5.29
5.3,129139.0,5.3,"Feb 28, 2011 00:00:00",5.33,5.27
5.28,22635.0,5.25,"Mar 02, 2011 00:00:00",5.28,5.25
5.25,228403.0,5.3,"Mar 03, 2011 00:00:00",5.3,5.23
5.3,353036.0,5.25,"Mar 04, 2011 00:00:00",5.3,5.24
5.3,353036.0,5.25,"Mar 04, 2011 00:00:00",5.3,5.24
5.25,166730.0,5.23,"Mar 07, 2011 00:00:00",5.27,5.23
5.24,452513.0,5.05,"Mar 08, 2011 00:00:00",5.24,5.0
5.24,452513.0,5.05,"Mar 08, 2011 00:00:00",5.24,5.0
5.0,322060.0,5.0,"Mar 11, 2011 00:00:00",5.0,4.9
5.0,322060.0,5.0,"Mar 11, 2011 00:00:00",5.0,4.9
4.8,154400.0,5.0,"Mar 16, 2011 00:00:00",5.0,4.8
4.9,108290.0,4.9,"Mar 17, 2011 00:00:00",4.9,4.9
4.9,24500.0,4.9,"Mar 22, 2011 00:00:00",4.9,4.9
4.7,302270.0,4.71,"Mar 23, 2011 00:00:00",4.71,4.6
4.55,638800.0,4.6,"Mar 24, 2011 00:00:00",4.6,4.5
4.5,247500.0,4.5,"Mar 25, 2011 00:00:00",4.5,4.5
4.5,337520.0,4.51,"Mar 28, 2011 00:00:00",4.51,4.5
4.5,567000.0,4.5,"Mar 29, 2011 00:00:00",4.5,4.5
4.5,1552670.0,4.5,"Mar 30, 2011 00:00:00",4.52,4.5
4.5,558000.0,4.51,"Mar 31, 2011 00:00:00",4.51,4.49
4.5,130580.0,4.51,"Apr 01, 2011 00:00:00",4.51,4.5
4.51,1319850.0,4.75,"Apr 04, 2011 00:00:00",4.75,4.49
4.8,76080.0,4.68,"Apr 05, 2011 00:00:00",4.8,4.68
4.78,383320.0,4.71,"Apr 06, 2011 00:00:00",4.8,4.71
4.84,4840.0,4.84,"Apr 07, 2011 00:00:00",4.84,4.84
4.8,1080800.0,4.85,"Apr 08, 2011 00:00:00",5.1,4.8
4.89,820050.0,5.0,"Apr 11, 2011 00:00:00",5.1,4.89
5.0,2132913.0,5.35,"Apr 12, 2011 00:00:00",5.65,5.0
5.35,392525.0,5.25,"Apr 13, 2011 00:00:00",5.4,5.25
