OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
33.0,29700.0,33.0,"Aug 18, 2009 00:00:00",33.0,33.0
33.0,49500.0,33.0,"Aug 24, 2009 00:00:00",33.0,33.0
32.0,64000.0,32.0,"Sep 22, 2009 00:00:00",32.0,32.0
35.0,3500.0,35.0,"Oct 01, 2009 00:00:00",35.0,35.0
40.0,4000.0,40.0,"Oct 09, 2009 00:00:00",40.0,40.0
40.0,80000.0,40.0,"Oct 22, 2009 00:00:00",40.0,40.0
40.0,12000.0,40.0,"Oct 23, 2009 00:00:00",40.0,40.0
42.0,86400.0,44.0,"Nov 03, 2009 00:00:00",44.0,42.0
44.0,132000.0,44.0,"Nov 06, 2009 00:00:00",44.0,44.0
45.0,40500.0,45.0,"Nov 11, 2009 00:00:00",45.0,45.0
28.5,25650.0,28.5,"Jul 01, 2010 00:00:00",28.5,28.5
24.5,22050.0,24.5,"Sep 28, 2010 00:00:00",24.5,24.5
26.0,26000.0,26.0,"Oct 28, 2010 00:00:00",26.0,26.0
25.25,75825.0,25.25,"Oct 29, 2010 00:00:00",26.0,25.25
37.85,11355.0,37.85,"Nov 03, 2010 00:00:00",37.85,37.85
50.0,185400.0,54.0,"Nov 04, 2010 00:00:00",54.0,50.0
54.0,12420.0,54.0,"Nov 08, 2010 00:00:00",54.0,54.0
54.0,43200.0,54.0,"Nov 09, 2010 00:00:00",54.0,54.0
54.0,10800.0,54.0,"Nov 11, 2010 00:00:00",54.0,54.0
60.0,78000.0,60.0,"Nov 26, 2010 00:00:00",60.0,60.0
60.0,102600.0,60.0,"Nov 30, 2010 00:00:00",60.0,60.0
62.0,130820.0,62.0,"Dec 07, 2010 00:00:00",62.0,62.0
55.0,1650.0,55.0,"Dec 16, 2010 00:00:00",55.0,55.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
54.0,9180.0,54.0,"Dec 28, 2010 00:00:00",54.0,54.0
55.0,33000.0,55.0,"Jan 03, 2011 00:00:00",55.0,55.0
55.0,33000.0,55.0,"Jan 03, 2011 00:00:00",55.0,55.0
55.0,33000.0,55.0,"Jan 03, 2011 00:00:00",55.0,55.0
54.5,21800.0,54.5,"Jan 04, 2011 00:00:00",54.5,54.5
54.5,54500.0,54.5,"Jan 05, 2011 00:00:00",54.5,54.5
40.5,2025.0,40.5,"Apr 07, 2011 00:00:00",40.5,40.5
40.0,4000.0,40.0,"May 11, 2011 00:00:00",40.0,40.0
40.5,24300.0,40.5,"May 16, 2011 00:00:00",40.5,40.5
40.0,39000.0,35.0,"May 30, 2011 00:00:00",40.0,35.0
45.0,267000.0,52.0,"May 31, 2011 00:00:00",52.0,45.0
55.0,120000.0,50.0,"Jun 01, 2011 00:00:00",55.0,50.0
50.5,1358396.5,74.05,"Jun 07, 2011 00:00:00",74.05,50.5
80.0,1393040.0,73.0,"Jun 08, 2011 00:00:00",85.0,73.0
63.0,269975.0,71.0,"Jun 09, 2011 00:00:00",71.0,63.0
68.0,338210.0,67.0,"Jun 10, 2011 00:00:00",68.0,65.0
66.0,202490.0,65.5,"Jun 13, 2011 00:00:00",66.0,65.5
66.3,80580.0,68.0,"Jun 14, 2011 00:00:00",68.0,66.3
66.5,484412.0,69.0,"Jun 15, 2011 00:00:00",69.0,66.3
70.0,7000.0,70.0,"Jun 16, 2011 00:00:00",70.0,70.0
70.2,89700.0,70.0,"Jun 17, 2011 00:00:00",70.2,70.0
67.0,306720.0,68.0,"Jun 22, 2011 00:00:00",68.0,67.0
71.5,232420.0,67.5,"Jun 23, 2011 00:00:00",71.5,67.5
69.0,671310.0,67.0,"Jun 24, 2011 00:00:00",74.5,67.0
66.0,19800.0,66.0,"Jun 27, 2011 00:00:00",66.0,66.0
66.0,13200.0,66.0,"Jun 28, 2011 00:00:00",66.0,66.0
71.5,63175.5,70.0,"Jun 29, 2011 00:00:00",71.5,70.0
66.0,238765.0,65.5,"Jul 01, 2011 00:00:00",66.0,65.5
63.5,19050.0,63.5,"Jul 04, 2011 00:00:00",63.5,63.5
63.5,133488.0,60.3,"Jul 06, 2011 00:00:00",63.5,60.3
45.0,4500.0,45.0,"Jul 12, 2011 00:00:00",45.0,45.0
45.0,4500.0,45.0,"Jul 15, 2011 00:00:00",45.0,45.0
47.0,23500.0,47.0,"Jul 18, 2011 00:00:00",47.0,47.0
63.0,63000.0,63.0,"Jul 20, 2011 00:00:00",63.0,63.0
66.0,4620.0,66.0,"Jul 25, 2011 00:00:00",66.0,66.0
66.0,983320.0,79.0,"Jul 27, 2011 00:00:00",80.0,66.0
79.0,4840543.5,95.0,"Jul 28, 2011 00:00:00",110.0,79.0
95.0,3236999.0,120.0,"Jul 29, 2011 00:00:00",120.0,95.0
120.0,1139810.0,120.0,"Aug 01, 2011 00:00:00",126.0,120.0
120.0,2581375.0,120.0,"Aug 02, 2011 00:00:00",120.0,101.0
110.0,1207830.0,105.0,"Aug 03, 2011 00:00:00",115.0,105.0
112.0,834400.0,110.0,"Aug 04, 2011 00:00:00",112.0,105.0
100.0,353410.0,108.0,"Aug 05, 2011 00:00:00",108.0,100.0
100.0,29000.0,100.0,"Aug 08, 2011 00:00:00",100.0,100.0
