OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.5,2172500.0,5.5,"Aug 03, 2009 00:00:00",5.5,5.5
5.5,7460100.0,5.6,"Aug 04, 2009 00:00:00",5.6,5.5
5.6,5340500.0,5.6,"Aug 06, 2009 00:00:00",5.6,5.5
5.5,5417500.0,5.5,"Aug 07, 2009 00:00:00",5.6,5.4
5.5,2716500.0,5.6,"Aug 10, 2009 00:00:00",5.6,5.5
5.7,6983200.0,5.8,"Aug 11, 2009 00:00:00",5.8,5.6
5.7,255000.0,5.6,"Aug 12, 2009 00:00:00",5.7,5.6
5.6,8161700.0,5.8,"Aug 13, 2009 00:00:00",5.9,5.6
5.7,5144600.0,5.6,"Aug 14, 2009 00:00:00",5.7,5.5
5.6,16763800.0,5.3,"Aug 17, 2009 00:00:00",5.6,5.3
5.3,5898900.0,5.5,"Aug 18, 2009 00:00:00",5.5,5.2
5.6,2016100.0,5.6,"Aug 19, 2009 00:00:00",5.6,5.3
5.4,3103100.0,5.6,"Aug 20, 2009 00:00:00",5.6,5.4
5.5,750200.0,5.5,"Aug 24, 2009 00:00:00",5.6,5.5
5.5,385000.0,5.5,"Aug 25, 2009 00:00:00",5.5,5.5
5.5,4356000.0,5.5,"Aug 26, 2009 00:00:00",5.5,5.5
5.5,2386500.0,5.5,"Sep 03, 2009 00:00:00",5.5,5.4
5.5,7916700.0,5.4,"Sep 04, 2009 00:00:00",5.5,5.4
5.3,28388400.0,5.2,"Sep 16, 2009 00:00:00",5.3,5.2
5.3,4575300.0,5.3,"Sep 17, 2009 00:00:00",5.3,5.2
5.3,12991100.0,5.3,"Sep 18, 2009 00:00:00",5.3,5.2
5.2,21777500.0,5.2,"Sep 22, 2009 00:00:00",5.2,5.1
5.2,5631600.0,5.2,"Sep 23, 2009 00:00:00",5.2,5.2
5.1,4282900.0,5.1,"Sep 30, 2009 00:00:00",5.1,5.0
5.1,22794400.0,5.0,"Oct 01, 2009 00:00:00",5.1,5.0
5.0,9361850.0,5.1,"Oct 02, 2009 00:00:00",5.1,4.95
5.1,9217000.0,5.0,"Oct 05, 2009 00:00:00",5.1,5.0
5.1,11037900.0,5.0,"Oct 06, 2009 00:00:00",5.1,5.0
5.0,31135500.0,5.0,"Oct 07, 2009 00:00:00",5.1,5.0
5.0,11905000.0,5.0,"Oct 08, 2009 00:00:00",5.0,5.0
5.0,8790000.0,5.0,"Oct 09, 2009 00:00:00",5.0,5.0
5.0,4414900.0,5.0,"Oct 12, 2009 00:00:00",5.0,4.95
5.0,5250000.0,5.0,"Oct 13, 2009 00:00:00",5.0,5.0
5.0,9646550.0,5.0,"Oct 14, 2009 00:00:00",5.0,4.95
5.0,19430950.0,4.95,"Oct 15, 2009 00:00:00",5.0,4.95
5.0,4184500.0,5.0,"Oct 16, 2009 00:00:00",5.0,4.95
5.0,2280000.0,5.0,"Oct 19, 2009 00:00:00",5.0,5.0
5.0,375300.0,5.0,"Oct 20, 2009 00:00:00",5.1,5.0
5.0,5053100.0,5.1,"Oct 21, 2009 00:00:00",5.1,5.0
5.1,3906600.0,5.1,"Oct 22, 2009 00:00:00",5.1,5.1
5.1,301000.0,5.2,"Oct 23, 2009 00:00:00",5.2,5.1
5.2,1719200.0,5.2,"Oct 26, 2009 00:00:00",5.2,5.1
5.1,1139600.0,5.1,"Oct 27, 2009 00:00:00",5.2,5.0
5.1,1968400.0,5.2,"Oct 28, 2009 00:00:00",5.2,5.0
5.1,4751500.0,5.0,"Oct 29, 2009 00:00:00",5.1,5.0
5.0,3305000.0,5.0,"Oct 30, 2009 00:00:00",5.0,5.0
5.0,1022200.0,5.0,"Nov 03, 2009 00:00:00",5.1,5.0
5.1,3906400.0,5.0,"Nov 04, 2009 00:00:00",5.1,5.0
5.0,1080000.0,5.0,"Nov 05, 2009 00:00:00",5.0,5.0
5.0,1415400.0,5.0,"Nov 06, 2009 00:00:00",5.1,5.0
5.0,1754300.0,5.0,"Nov 09, 2009 00:00:00",5.1,5.0
5.1,2717100.0,5.0,"Nov 10, 2009 00:00:00",5.1,5.0
5.0,5313700.0,5.1,"Nov 11, 2009 00:00:00",5.1,5.0
5.3,2496300.0,5.3,"Dec 15, 2009 00:00:00",5.3,5.3
5.3,3127900.0,5.4,"Dec 16, 2009 00:00:00",5.4,5.3
5.5,389100.0,5.3,"Dec 17, 2009 00:00:00",5.5,5.3
5.3,1277300.0,5.3,"Dec 18, 2009 00:00:00",5.3,5.3
