OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
12.0,645743554.0,11.0,"Oct 05, 2011 00:00:00",12.0,10.88
11.2,305341878.0,10.68,"Oct 06, 2011 00:00:00",11.2,10.68
10.74,70414718.0,10.96,"Oct 07, 2011 00:00:00",10.98,10.74
11.02,202542814.0,11.6,"Oct 10, 2011 00:00:00",11.6,11.02
11.8,141090158.0,11.36,"Oct 11, 2011 00:00:00",11.82,11.34
11.36,15633910.0,11.6,"Oct 12, 2011 00:00:00",11.68,11.3
11.52,58812486.0,12.36,"Oct 13, 2011 00:00:00",12.36,11.52
12.3,88789480.0,12.1,"Oct 14, 2011 00:00:00",12.4,12.0
12.2,86611362.0,12.38,"Oct 17, 2011 00:00:00",12.46,12.1
12.38,88507490.0,12.26,"Oct 18, 2011 00:00:00",12.38,12.12
12.24,101184396.0,12.2,"Oct 19, 2011 00:00:00",12.26,12.2
12.22,48936560.0,12.2,"Oct 20, 2011 00:00:00",12.3,12.2
12.24,52250538.0,12.3,"Oct 21, 2011 00:00:00",12.34,12.2
12.34,175902084.0,12.2,"Oct 24, 2011 00:00:00",12.34,12.2
12.16,45811710.0,12.32,"Oct 25, 2011 00:00:00",12.32,12.16
12.18,17098732.0,12.16,"Oct 26, 2011 00:00:00",12.24,12.16
12.14,5085446.0,12.22,"Oct 27, 2011 00:00:00",12.24,12.14
12.26,140144846.0,12.38,"Oct 28, 2011 00:00:00",12.5,12.26
12.26,81729448.0,12.58,"Nov 02, 2011 00:00:00",12.58,12.26
12.6,165878004.0,12.74,"Nov 03, 2011 00:00:00",12.76,12.5
12.76,238365822.0,14.48,"Nov 04, 2011 00:00:00",14.48,12.76
14.46,163709856.0,15.5,"Nov 08, 2011 00:00:00",15.94,14.1
15.7,83710682.0,14.8,"Nov 09, 2011 00:00:00",15.7,14.3
14.3,97990724.0,14.94,"Nov 10, 2011 00:00:00",15.0,14.1
14.94,22707760.0,14.56,"Nov 11, 2011 00:00:00",15.0,14.34
14.5,10732538.0,14.68,"Nov 14, 2011 00:00:00",15.2,14.5
14.68,128056944.0,14.8,"Nov 15, 2011 00:00:00",15.16,14.4
14.92,263932242.0,15.52,"Nov 16, 2011 00:00:00",16.2,14.8
15.52,109348832.0,16.32,"Nov 17, 2011 00:00:00",17.06,15.52
16.32,157682440.0,16.6,"Nov 18, 2011 00:00:00",17.1,16.3
17.1,97740460.0,16.82,"Nov 21, 2011 00:00:00",17.1,16.6
16.5,78681390.0,16.16,"Nov 22, 2011 00:00:00",16.82,16.02
16.16,162253352.0,14.98,"Nov 23, 2011 00:00:00",16.5,14.98
14.94,103981374.0,14.72,"Nov 24, 2011 00:00:00",15.0,14.68
14.72,47386662.0,15.36,"Nov 25, 2011 00:00:00",15.52,14.72
15.4,24000918.0,15.4,"Nov 28, 2011 00:00:00",15.68,15.36
15.62,5428976.0,15.3,"Nov 29, 2011 00:00:00",15.62,15.02
15.5,9039398.0,15.3,"Dec 01, 2011 00:00:00",15.62,15.3
15.3,68196600.0,15.18,"Dec 02, 2011 00:00:00",15.3,15.18
15.1,43709664.0,15.12,"Dec 05, 2011 00:00:00",15.18,15.04
15.12,37820316.0,15.0,"Dec 06, 2011 00:00:00",15.2,14.98
15.0,233834016.0,15.24,"Dec 07, 2011 00:00:00",15.42,15.0
15.3,84015892.0,15.7,"Dec 08, 2011 00:00:00",15.88,15.3
15.76,88941120.0,16.72,"Dec 09, 2011 00:00:00",16.72,15.76
16.9,135696280.0,17.1,"Dec 12, 2011 00:00:00",17.68,16.86
17.1,40602000.0,17.06,"Dec 13, 2011 00:00:00",17.36,16.9
17.06,170601976.0,17.1,"Dec 14, 2011 00:00:00",17.3,17.0
17.2,48306326.0,17.02,"Dec 15, 2011 00:00:00",17.2,17.0
17.04,249909710.0,17.66,"Dec 16, 2011 00:00:00",17.84,17.04
17.74,102397940.0,18.2,"Dec 19, 2011 00:00:00",18.9,17.66
18.3,186472046.0,18.02,"Dec 20, 2011 00:00:00",18.3,18.0
18.4,78012524.0,18.2,"Dec 21, 2011 00:00:00",18.6,18.02
18.2,53632960.0,18.06,"Dec 22, 2011 00:00:00",18.2,18.04
18.06,100036688.0,18.1,"Dec 23, 2011 00:00:00",18.1,18.0
18.06,31178778.0,18.4,"Dec 26, 2011 00:00:00",18.52,18.0
18.48,27311654.0,18.34,"Dec 27, 2011 00:00:00",18.74,18.12
18.3,18457636.0,18.34,"Dec 28, 2011 00:00:00",18.64,18.3
18.34,46044890.0,17.88,"Dec 29, 2011 00:00:00",18.34,17.76
18.08,23642346.0,18.02,"Jan 02, 2012 00:00:00",18.2,17.78
18.16,26280936.0,18.22,"Jan 03, 2012 00:00:00",18.3,18.1
18.28,27205306.0,18.2,"Jan 04, 2012 00:00:00",18.44,18.12
18.2,58048756.0,18.08,"Jan 05, 2012 00:00:00",18.2,18.0
18.2,35979886.0,18.0,"Jan 06, 2012 00:00:00",18.2,18.0
18.02,7577006.0,17.9,"Jan 09, 2012 00:00:00",18.04,17.9
18.0,108216048.0,18.0,"Jan 10, 2012 00:00:00",18.02,17.9
18.0,144140968.0,18.8,"Jan 11, 2012 00:00:00",19.0,18.0
19.0,71176698.0,19.1,"Jan 12, 2012 00:00:00",19.48,18.6
19.2,122619478.0,18.36,"Jan 13, 2012 00:00:00",19.2,18.04
18.34,56590552.0,18.0,"Jan 16, 2012 00:00:00",18.34,17.98
18.04,94419236.0,18.0,"Jan 17, 2012 00:00:00",18.18,17.96
18.0,14088624.0,18.0,"Jan 18, 2012 00:00:00",18.34,17.98
18.02,26278194.0,18.4,"Jan 19, 2012 00:00:00",18.48,18.0
18.32,111482470.0,18.68,"Jan 20, 2012 00:00:00",19.36,18.32
18.8,76540064.0,19.7,"Jan 24, 2012 00:00:00",19.92,18.68
19.84,66485840.0,19.5,"Jan 25, 2012 00:00:00",19.9,19.0
19.6,200774218.0,19.7,"Jan 26, 2012 00:00:00",20.1,19.2
19.94,33892912.0,19.76,"Jan 27, 2012 00:00:00",19.94,19.74
19.8,42408170.0,19.28,"Jan 30, 2012 00:00:00",19.8,19.16
19.28,102796372.0,19.62,"Jan 31, 2012 00:00:00",20.1,19.24
19.96,115001414.0,19.2,"Feb 01, 2012 00:00:00",19.96,19.18
19.5,107024524.0,19.2,"Feb 02, 2012 00:00:00",19.5,19.0
19.2,87212128.0,19.68,"Feb 03, 2012 00:00:00",19.68,19.16
19.68,216143621.0,20.45,"Feb 06, 2012 00:00:00",21.2,19.68
20.85,88201572.0,20.4,"Feb 07, 2012 00:00:00",21.2,19.9
20.8,109472655.0,20.9,"Feb 08, 2012 00:00:00",21.6,20.8
20.9,56904925.0,21.3,"Feb 09, 2012 00:00:00",21.7,20.8
21.7,190923885.0,22.9,"Feb 10, 2012 00:00:00",23.2,21.35
22.9,151760645.0,21.95,"Feb 13, 2012 00:00:00",23.2,21.85
22.1,58974440.0,21.55,"Feb 14, 2012 00:00:00",22.15,21.4
21.65,16398620.0,21.45,"Feb 15, 2012 00:00:00",22.0,21.4
22.0,14910425.0,21.8,"Feb 16, 2012 00:00:00",22.0,21.6
22.1,107459350.0,21.8,"Feb 17, 2012 00:00:00",22.5,21.75
21.8,60825685.0,21.5,"Feb 20, 2012 00:00:00",22.25,21.2
21.5,148084495.0,21.75,"Feb 21, 2012 00:00:00",22.0,21.25
22.2,248508085.0,23.25,"Feb 22, 2012 00:00:00",23.6,22.0
23.6,163204240.0,21.75,"Feb 23, 2012 00:00:00",23.6,21.75
22.0,276979295.0,21.0,"Feb 24, 2012 00:00:00",22.95,20.05
21.5,89572475.0,20.9,"Feb 27, 2012 00:00:00",21.5,20.9
20.5,56503290.0,21.25,"Feb 28, 2012 00:00:00",21.35,20.5
21.25,19367120.0,21.35,"Feb 29, 2012 00:00:00",21.7,21.25
21.35,103754285.0,21.75,"Mar 01, 2012 00:00:00",22.25,21.35
21.75,42686735.0,21.85,"Mar 02, 2012 00:00:00",22.3,21.75
21.8,35516905.0,22.2,"Mar 05, 2012 00:00:00",22.2,21.75
22.2,75477800.0,22.8,"Mar 06, 2012 00:00:00",22.8,22.0
22.6,9886540.0,22.3,"Mar 07, 2012 00:00:00",22.6,22.0
22.3,20636910.0,22.0,"Mar 08, 2012 00:00:00",22.3,22.0
22.05,21478330.0,21.5,"Mar 09, 2012 00:00:00",22.25,21.5
21.6,74020260.0,21.4,"Mar 12, 2012 00:00:00",22.0,21.35
21.5,11611160.0,21.2,"Mar 13, 2012 00:00:00",21.5,21.0
21.2,89160810.0,21.05,"Mar 14, 2012 00:00:00",21.6,20.95
21.1,113707325.0,20.3,"Mar 15, 2012 00:00:00",21.1,20.1
20.35,184490565.0,21.35,"Mar 16, 2012 00:00:00",22.0,20.35
21.85,77855065.0,21.6,"Mar 19, 2012 00:00:00",21.85,21.35
21.55,78364530.0,21.5,"Mar 20, 2012 00:00:00",21.8,21.2
21.4,127601275.0,22.5,"Mar 21, 2012 00:00:00",22.95,21.4
22.5,68257935.0,22.0,"Mar 22, 2012 00:00:00",23.15,21.9
22.0,59757545.0,21.4,"Mar 23, 2012 00:00:00",22.0,21.4
21.5,35676530.0,21.5,"Mar 26, 2012 00:00:00",21.6,21.3
21.5,39653880.0,21.7,"Mar 27, 2012 00:00:00",22.0,21.5
22.0,435833310.0,21.5,"Mar 28, 2012 00:00:00",22.9,21.2
21.5,415648515.0,21.2,"Mar 29, 2012 00:00:00",21.5,20.6
21.2,126148135.0,20.4,"Mar 30, 2012 00:00:00",21.3,20.4
20.75,32339675.0,20.7,"Apr 02, 2012 00:00:00",21.05,20.5
20.75,120854255.0,21.7,"Apr 03, 2012 00:00:00",21.85,20.7
21.7,15222770.0,21.5,"Apr 04, 2012 00:00:00",21.7,21.5
21.8,11371145.0,21.5,"Apr 10, 2012 00:00:00",21.8,21.1
21.5,47258430.0,21.2,"Apr 11, 2012 00:00:00",21.5,21.15
21.2,47175305.0,21.8,"Apr 12, 2012 00:00:00",21.8,21.2
21.85,110757200.0,22.35,"Apr 13, 2012 00:00:00",22.65,21.8
22.4,87172040.0,22.95,"Apr 16, 2012 00:00:00",23.5,22.0
22.95,89592415.0,22.65,"Apr 17, 2012 00:00:00",22.95,22.45
22.65,166924670.0,23.5,"Apr 18, 2012 00:00:00",23.75,22.65
23.5,45907130.0,23.5,"Apr 19, 2012 00:00:00",23.6,23.4
23.5,61754225.0,23.0,"Apr 20, 2012 00:00:00",23.75,22.9
23.45,63675130.0,23.75,"Apr 23, 2012 00:00:00",23.95,23.0
23.75,238622410.0,23.6,"Apr 24, 2012 00:00:00",23.75,23.5
23.6,98243020.0,24.2,"Apr 25, 2012 00:00:00",24.2,23.4
24.2,70199700.0,24.0,"Apr 26, 2012 00:00:00",24.5,23.85
24.0,9271870.0,23.8,"Apr 27, 2012 00:00:00",24.0,23.1
23.8,35523040.0,24.2,"Apr 30, 2012 00:00:00",24.75,23.2
24.35,48600930.0,24.95,"May 02, 2012 00:00:00",25.25,24.35
24.85,113054210.0,25.0,"May 03, 2012 00:00:00",25.35,24.7
25.0,24269820.0,24.75,"May 04, 2012 00:00:00",25.0,24.5
24.7,77512055.0,23.85,"May 07, 2012 00:00:00",24.7,23.65
23.9,105661420.0,24.9,"May 08, 2012 00:00:00",25.2,23.9
24.9,22254225.0,24.4,"May 09, 2012 00:00:00",25.0,24.4
