OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.27,785700.0,0.27,"Aug 03, 2009 00:00:00",0.27,0.27
0.27,1458000.0,0.27,"Aug 04, 2009 00:00:00",0.27,0.27
0.25,785000.0,0.26,"Aug 06, 2009 00:00:00",0.26,0.25
0.26,980600.0,0.26,"Aug 07, 2009 00:00:00",0.26,0.25
0.25,90500.0,0.26,"Aug 10, 2009 00:00:00",0.26,0.25
0.25,522400.0,0.25,"Aug 11, 2009 00:00:00",0.25,0.245
0.25,854600.0,0.245,"Aug 12, 2009 00:00:00",0.25,0.245
0.25,3533900.0,0.26,"Aug 13, 2009 00:00:00",0.26,0.25
0.26,6938800.0,0.26,"Aug 14, 2009 00:00:00",0.28,0.26
0.26,3587100.0,0.25,"Aug 17, 2009 00:00:00",0.26,0.245
0.24,2135500.0,0.245,"Aug 18, 2009 00:00:00",0.245,0.24
0.245,1418300.0,0.25,"Aug 19, 2009 00:00:00",0.25,0.24
0.245,815100.0,0.26,"Aug 20, 2009 00:00:00",0.26,0.245
0.26,1318600.0,0.26,"Aug 24, 2009 00:00:00",0.26,0.25
0.26,754000.0,0.26,"Aug 25, 2009 00:00:00",0.26,0.26
0.25,550000.0,0.25,"Aug 26, 2009 00:00:00",0.25,0.25
0.28,1244500.0,0.28,"Sep 03, 2009 00:00:00",0.28,0.27
0.29,2231900.0,0.29,"Sep 04, 2009 00:00:00",0.3,0.29
0.31,2234300.0,0.31,"Sep 16, 2009 00:00:00",0.31,0.3
0.32,3489500.0,0.31,"Sep 17, 2009 00:00:00",0.32,0.31
0.31,1817000.0,0.32,"Sep 18, 2009 00:00:00",0.32,0.31
0.31,5268900.0,0.33,"Sep 22, 2009 00:00:00",0.33,0.31
0.33,7624500.0,0.33,"Sep 23, 2009 00:00:00",0.34,0.32
0.29,711600.0,0.28,"Sep 30, 2009 00:00:00",0.29,0.28
0.28,181400.0,0.29,"Oct 01, 2009 00:00:00",0.29,0.28
0.27,2666700.0,0.27,"Oct 02, 2009 00:00:00",0.28,0.27
0.27,1555200.0,0.27,"Oct 05, 2009 00:00:00",0.27,0.27
0.28,1182000.0,0.27,"Oct 06, 2009 00:00:00",0.28,0.27
0.28,1872400.0,0.28,"Oct 07, 2009 00:00:00",0.29,0.28
0.28,61400.0,0.27,"Oct 08, 2009 00:00:00",0.28,0.27
0.28,411600.0,0.28,"Oct 09, 2009 00:00:00",0.28,0.28
0.29,1520800.0,0.27,"Oct 12, 2009 00:00:00",0.29,0.27
0.27,105300.0,0.27,"Oct 13, 2009 00:00:00",0.27,0.27
0.27,831500.0,0.27,"Oct 14, 2009 00:00:00",0.28,0.27
0.28,383000.0,0.27,"Oct 15, 2009 00:00:00",0.28,0.27
0.28,4972800.0,0.27,"Oct 16, 2009 00:00:00",0.3,0.27
0.27,3204500.0,0.27,"Oct 19, 2009 00:00:00",0.28,0.27
0.27,1169100.0,0.27,"Oct 20, 2009 00:00:00",0.27,0.27
0.27,1419700.0,0.27,"Oct 21, 2009 00:00:00",0.27,0.26
0.27,4390800.0,0.28,"Oct 22, 2009 00:00:00",0.29,0.27
0.28,1487400.0,0.27,"Oct 23, 2009 00:00:00",0.28,0.27
0.27,507600.0,0.27,"Oct 26, 2009 00:00:00",0.27,0.27
0.27,1147500.0,0.27,"Oct 27, 2009 00:00:00",0.27,0.27
0.28,43300.0,0.27,"Oct 28, 2009 00:00:00",0.28,0.27
0.27,1204300.0,0.27,"Oct 30, 2009 00:00:00",0.28,0.27
0.27,2430000.0,0.27,"Nov 03, 2009 00:00:00",0.27,0.26
0.26,895300.0,0.26,"Nov 04, 2009 00:00:00",0.26,0.25
0.26,157600.0,0.26,"Nov 05, 2009 00:00:00",0.26,0.25
