OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
23.75,46646600.0,23.0,"Aug 03, 2009 00:00:00",24.25,22.75
23.5,38443750.0,23.25,"Aug 04, 2009 00:00:00",24.0,23.0
24.0,57160050.0,24.5,"Aug 06, 2009 00:00:00",24.5,23.75
24.5,37324450.0,23.5,"Aug 07, 2009 00:00:00",24.75,23.25
23.75,27273350.0,24.5,"Aug 10, 2009 00:00:00",24.5,23.75
24.5,28769825.0,24.0,"Aug 11, 2009 00:00:00",24.5,23.75
24.0,20777350.0,23.5,"Aug 12, 2009 00:00:00",24.0,23.5
23.5,33922300.0,23.25,"Aug 13, 2009 00:00:00",23.75,23.0
23.5,26873275.0,23.25,"Aug 14, 2009 00:00:00",23.75,23.0
23.0,23990300.0,22.75,"Aug 17, 2009 00:00:00",23.0,22.75
22.0,23910750.0,22.25,"Aug 18, 2009 00:00:00",22.5,22.0
22.5,2889025.0,22.75,"Aug 19, 2009 00:00:00",22.75,22.5
23.0,6873600.0,22.75,"Aug 20, 2009 00:00:00",23.25,22.5
23.0,13021925.0,23.25,"Aug 24, 2009 00:00:00",23.75,22.75
23.0,11580550.0,23.25,"Aug 25, 2009 00:00:00",23.5,23.0
23.25,5976050.0,23.75,"Aug 26, 2009 00:00:00",23.75,23.25
23.5,14544500.0,23.5,"Sep 03, 2009 00:00:00",23.75,23.25
23.5,11888175.0,23.75,"Sep 04, 2009 00:00:00",24.0,23.5
23.5,77222775.0,23.75,"Sep 16, 2009 00:00:00",24.5,23.25
24.25,114216425.0,25.5,"Sep 17, 2009 00:00:00",26.0,24.0
26.0,91247200.0,25.5,"Sep 18, 2009 00:00:00",26.5,25.0
25.5,12164025.0,25.0,"Sep 22, 2009 00:00:00",25.5,24.75
25.0,20778200.0,25.0,"Sep 23, 2009 00:00:00",25.5,25.0
24.0,33073650.0,23.5,"Sep 30, 2009 00:00:00",24.0,23.25
23.5,12396825.0,24.0,"Oct 01, 2009 00:00:00",24.0,23.5
23.5,3933500.0,23.75,"Oct 02, 2009 00:00:00",23.75,23.25
23.5,5451925.0,23.75,"Oct 05, 2009 00:00:00",23.75,23.25
24.0,9029900.0,24.0,"Oct 06, 2009 00:00:00",24.0,23.75
24.0,52561400.0,24.5,"Oct 07, 2009 00:00:00",24.75,24.0
24.5,49970800.0,24.75,"Oct 08, 2009 00:00:00",25.0,24.5
25.0,30049975.0,24.75,"Oct 09, 2009 00:00:00",25.0,24.75
24.75,16734775.0,24.5,"Oct 12, 2009 00:00:00",25.0,24.5
24.5,11544750.0,24.25,"Oct 13, 2009 00:00:00",24.5,24.25
24.5,6988500.0,24.5,"Oct 14, 2009 00:00:00",24.75,24.25
24.75,12216425.0,24.5,"Oct 15, 2009 00:00:00",24.75,24.25
24.5,2583500.0,24.5,"Oct 16, 2009 00:00:00",24.5,24.25
24.25,6486875.0,24.25,"Oct 19, 2009 00:00:00",24.25,24.25
24.25,7150000.0,24.25,"Oct 20, 2009 00:00:00",24.5,24.0
24.25,6468100.0,24.0,"Oct 21, 2009 00:00:00",24.25,24.0
24.0,17449900.0,23.5,"Oct 22, 2009 00:00:00",24.0,23.5
23.5,18988650.0,23.5,"Oct 23, 2009 00:00:00",23.75,23.25
23.5,7246525.0,24.0,"Oct 26, 2009 00:00:00",24.0,23.5
23.5,5097075.0,23.5,"Oct 27, 2009 00:00:00",23.75,23.5
23.5,21249400.0,23.0,"Oct 28, 2009 00:00:00",23.5,23.0
23.0,2821925.0,23.25,"Oct 29, 2009 00:00:00",23.25,23.0
23.5,10532025.0,23.5,"Oct 30, 2009 00:00:00",23.5,23.25
23.5,21726675.0,23.25,"Nov 03, 2009 00:00:00",23.5,23.0
23.5,26596950.0,23.0,"Nov 04, 2009 00:00:00",23.5,22.75
22.75,16647600.0,23.0,"Nov 05, 2009 00:00:00",23.0,22.5
23.5,10644125.0,23.25,"Nov 06, 2009 00:00:00",23.5,23.0
23.25,8810750.0,23.0,"Nov 09, 2009 00:00:00",23.25,23.0
23.5,25539100.0,23.75,"Nov 10, 2009 00:00:00",23.75,23.25
23.5,7600100.0,23.5,"Nov 11, 2009 00:00:00",23.5,23.25
23.0,21185325.0,23.25,"Dec 15, 2009 00:00:00",23.25,23.0
23.0,26423675.0,23.0,"Dec 16, 2009 00:00:00",23.25,22.75
23.0,22843850.0,23.0,"Dec 17, 2009 00:00:00",23.25,23.0
