OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.8,767700.0,5.8,"Aug 03, 2009 00:00:00",5.9,5.8
5.9,625300.0,5.9,"Aug 04, 2009 00:00:00",5.9,5.7
5.8,359600.0,5.8,"Aug 06, 2009 00:00:00",5.8,5.7
5.7,296200.0,5.7,"Aug 07, 2009 00:00:00",5.7,5.6
5.7,205800.0,5.7,"Aug 10, 2009 00:00:00",5.8,5.7
5.7,79800.0,5.7,"Aug 11, 2009 00:00:00",5.7,5.7
5.6,184900.0,5.7,"Aug 12, 2009 00:00:00",5.7,5.6
5.6,393200.0,5.4,"Aug 13, 2009 00:00:00",5.7,5.2
5.6,181600.0,5.6,"Aug 14, 2009 00:00:00",5.6,5.4
5.6,599100.0,5.6,"Aug 17, 2009 00:00:00",5.6,5.5
5.2,742000.0,5.5,"Aug 18, 2009 00:00:00",5.5,5.2
5.5,613600.0,5.6,"Aug 19, 2009 00:00:00",5.6,5.5
5.6,705600.0,5.6,"Aug 20, 2009 00:00:00",5.6,5.6
5.6,444100.0,5.5,"Aug 24, 2009 00:00:00",5.6,5.5
5.5,412500.0,5.5,"Aug 25, 2009 00:00:00",5.5,5.5
5.4,1581400.0,5.3,"Aug 26, 2009 00:00:00",5.4,5.3
5.1,348000.0,5.1,"Sep 03, 2009 00:00:00",5.2,5.1
5.1,453900.0,5.1,"Sep 04, 2009 00:00:00",5.1,5.1
5.2,388200.0,5.2,"Sep 16, 2009 00:00:00",5.2,5.1
5.2,1866800.0,5.2,"Sep 17, 2009 00:00:00",5.2,5.2
5.2,2839200.0,5.2,"Sep 18, 2009 00:00:00",5.2,5.2
5.2,426700.0,5.3,"Sep 22, 2009 00:00:00",5.3,5.2
5.3,3542100.0,5.4,"Sep 23, 2009 00:00:00",5.4,5.3
5.4,1782000.0,5.4,"Sep 30, 2009 00:00:00",5.4,5.4
5.2,1685900.0,5.4,"Oct 01, 2009 00:00:00",5.4,5.2
5.2,1361400.0,5.4,"Oct 02, 2009 00:00:00",5.4,5.2
5.4,2754000.0,5.4,"Oct 05, 2009 00:00:00",5.4,5.4
5.4,1836000.0,5.4,"Oct 06, 2009 00:00:00",5.4,5.4
5.2,2283600.0,5.3,"Oct 07, 2009 00:00:00",5.4,5.2
5.3,2853000.0,5.2,"Oct 08, 2009 00:00:00",5.3,5.2
5.3,2056200.0,5.3,"Oct 09, 2009 00:00:00",5.3,5.2
5.3,1738400.0,5.3,"Oct 12, 2009 00:00:00",5.3,5.3
5.3,1726900.0,5.4,"Oct 13, 2009 00:00:00",5.4,5.3
5.3,1764900.0,5.3,"Oct 14, 2009 00:00:00",5.3,5.3
5.2,1700400.0,5.2,"Oct 15, 2009 00:00:00",5.2,5.2
5.2,1632800.0,5.2,"Oct 16, 2009 00:00:00",5.2,5.2
5.1,4060200.0,5.2,"Oct 19, 2009 00:00:00",5.2,5.0
5.2,2396100.0,5.2,"Oct 20, 2009 00:00:00",5.2,5.1
5.1,2446400.0,5.1,"Oct 21, 2009 00:00:00",5.2,5.1
5.1,2769000.0,5.2,"Oct 22, 2009 00:00:00",5.2,5.0
5.2,2669000.0,5.3,"Oct 23, 2009 00:00:00",5.4,5.2
5.2,2634000.0,5.4,"Oct 26, 2009 00:00:00",5.5,5.2
5.5,2885900.0,5.5,"Oct 27, 2009 00:00:00",5.6,5.4
5.4,2989600.0,5.5,"Oct 28, 2009 00:00:00",5.5,5.4
5.4,2534000.0,5.4,"Oct 29, 2009 00:00:00",5.4,5.3
5.4,2049000.0,5.5,"Oct 30, 2009 00:00:00",5.5,5.4
5.5,3624400.0,5.5,"Nov 03, 2009 00:00:00",5.5,5.3
5.6,3656700.0,5.7,"Nov 04, 2009 00:00:00",5.7,5.5
5.5,2101000.0,5.5,"Nov 05, 2009 00:00:00",5.5,5.5
5.5,3332200.0,5.3,"Nov 06, 2009 00:00:00",5.5,5.2
