OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.8,8000.0,0.8,"Aug 03, 2009 00:00:00",0.8,0.8
0.72,51600.0,0.78,"Aug 07, 2009 00:00:00",0.78,0.72
0.7,14000.0,0.7,"Aug 10, 2009 00:00:00",0.7,0.7
0.71,98200.0,0.7,"Aug 11, 2009 00:00:00",0.71,0.7
0.69,103500.0,0.69,"Aug 12, 2009 00:00:00",0.69,0.69
0.62,24800.0,0.62,"Aug 13, 2009 00:00:00",0.62,0.62
0.62,106300.0,0.71,"Aug 17, 2009 00:00:00",0.71,0.62
0.75,7500.0,0.75,"Aug 18, 2009 00:00:00",0.75,0.75
0.68,13400.0,0.66,"Sep 18, 2009 00:00:00",0.68,0.66
0.65,19300.0,0.64,"Sep 22, 2009 00:00:00",0.65,0.64
0.62,39000.0,0.68,"Oct 08, 2009 00:00:00",0.68,0.62
0.65,128300.0,0.64,"Oct 09, 2009 00:00:00",0.65,0.64
0.64,12800.0,0.64,"Oct 12, 2009 00:00:00",0.64,0.64
0.65,6500.0,0.65,"Oct 13, 2009 00:00:00",0.65,0.65
0.75,461100.0,0.72,"Oct 15, 2009 00:00:00",0.8,0.7
0.73,810300.0,0.81,"Oct 16, 2009 00:00:00",0.84,0.72
0.79,201700.0,0.8,"Oct 20, 2009 00:00:00",0.85,0.79
0.79,47500.0,0.79,"Oct 21, 2009 00:00:00",0.8,0.79
0.88,7798900.0,1.18,"Oct 22, 2009 00:00:00",1.18,0.82
1.28,27247760.0,1.76,"Oct 23, 2009 00:00:00",1.76,1.2
2.5,13999880.0,2.6,"Oct 26, 2009 00:00:00",2.6,2.44
3.4,62078800.0,3.0,"Oct 27, 2009 00:00:00",3.9,2.9
2.95,19453370.0,2.46,"Oct 28, 2009 00:00:00",2.95,2.3
2.3,13046620.0,2.26,"Oct 29, 2009 00:00:00",2.44,2.24
2.4,3798820.0,2.16,"Oct 30, 2009 00:00:00",2.4,2.16
2.12,12064320.0,1.9,"Nov 03, 2009 00:00:00",2.12,1.8
1.98,25442740.0,2.55,"Nov 04, 2009 00:00:00",2.65,1.98
2.75,18808220.0,2.5,"Nov 05, 2009 00:00:00",2.8,2.38
2.46,2355200.0,2.38,"Nov 06, 2009 00:00:00",2.5,2.32
2.38,2253180.0,2.36,"Nov 09, 2009 00:00:00",2.4,2.22
2.38,1059100.0,2.3,"Nov 10, 2009 00:00:00",2.38,2.3
2.36,1636920.0,2.22,"Nov 11, 2009 00:00:00",2.38,2.16
1.6,260520.0,1.58,"Dec 15, 2009 00:00:00",1.62,1.56
1.58,34720.0,1.54,"Dec 16, 2009 00:00:00",1.58,1.54
1.54,276440.0,1.48,"Dec 17, 2009 00:00:00",1.54,1.48
1.44,46280.0,1.4,"Dec 18, 2009 00:00:00",1.44,1.4
1.42,14020.0,1.4,"Dec 21, 2009 00:00:00",1.42,1.4
1.4,123200.0,1.4,"Dec 22, 2009 00:00:00",1.4,1.4
1.38,31840.0,1.38,"Dec 23, 2009 00:00:00",1.48,1.38
1.36,19180.0,1.5,"Dec 29, 2009 00:00:00",1.5,1.34
1.48,115920.0,1.48,"Jan 04, 2010 00:00:00",1.48,1.46
