OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
287.5,849275.0,285.0,"Aug 03, 2009 00:00:00",287.5,285.0
287.5,9353825.0,290.0,"Aug 04, 2009 00:00:00",290.0,282.5
290.0,3237700.0,295.0,"Aug 06, 2009 00:00:00",295.0,290.0
295.0,1047575.0,290.0,"Aug 07, 2009 00:00:00",295.0,287.5
287.5,1971475.0,290.0,"Aug 10, 2009 00:00:00",290.0,285.0
290.0,13968825.0,295.0,"Aug 11, 2009 00:00:00",295.0,290.0
292.5,564050.0,295.0,"Aug 12, 2009 00:00:00",295.0,290.0
295.0,18819300.0,300.0,"Aug 13, 2009 00:00:00",300.0,295.0
300.0,128638050.0,300.0,"Aug 14, 2009 00:00:00",300.0,295.0
300.0,64050750.0,290.0,"Aug 17, 2009 00:00:00",300.0,290.0
282.5,3856225.0,287.5,"Aug 18, 2009 00:00:00",287.5,282.5
292.5,3623250.0,297.5,"Aug 19, 2009 00:00:00",297.5,292.5
297.5,34599700.0,335.0,"Aug 20, 2009 00:00:00",340.0,297.5
330.0,8243975.0,345.0,"Aug 24, 2009 00:00:00",350.0,330.0
345.0,5602875.0,335.0,"Aug 25, 2009 00:00:00",345.0,335.0
340.0,3204575.0,337.5,"Aug 26, 2009 00:00:00",340.0,335.0
332.5,10080750.0,330.0,"Sep 03, 2009 00:00:00",335.0,330.0
330.0,9989025.0,325.0,"Sep 04, 2009 00:00:00",335.0,325.0
335.0,5228675.0,330.0,"Sep 16, 2009 00:00:00",337.5,325.0
332.5,1158875.0,330.0,"Sep 17, 2009 00:00:00",332.5,327.5
327.5,5289025.0,332.5,"Sep 18, 2009 00:00:00",332.5,327.5
330.0,3079225.0,332.5,"Sep 22, 2009 00:00:00",332.5,330.0
330.0,5395975.0,340.0,"Sep 23, 2009 00:00:00",340.0,330.0
332.5,15673825.0,327.5,"Sep 30, 2009 00:00:00",335.0,327.5
332.5,2636300.0,337.5,"Oct 01, 2009 00:00:00",337.5,327.5
327.5,624125.0,330.0,"Oct 02, 2009 00:00:00",330.0,327.5
327.5,2515250.0,330.0,"Oct 05, 2009 00:00:00",330.0,327.5
330.0,1273200.0,330.0,"Oct 06, 2009 00:00:00",330.0,327.5
330.0,32026775.0,330.0,"Oct 07, 2009 00:00:00",335.0,330.0
330.0,16321825.0,330.0,"Oct 08, 2009 00:00:00",330.0,327.5
330.0,2660600.0,322.5,"Oct 09, 2009 00:00:00",330.0,322.5
325.0,690675.0,327.5,"Oct 12, 2009 00:00:00",330.0,325.0
327.5,399650.0,327.5,"Oct 13, 2009 00:00:00",330.0,327.5
325.0,130000.0,325.0,"Oct 14, 2009 00:00:00",325.0,325.0
322.5,5933350.0,322.5,"Oct 15, 2009 00:00:00",322.5,320.0
320.0,571500.0,325.0,"Oct 16, 2009 00:00:00",325.0,320.0
327.5,1405075.0,325.0,"Oct 19, 2009 00:00:00",327.5,322.5
325.0,1984575.0,317.5,"Oct 20, 2009 00:00:00",325.0,317.5
317.5,64925.0,325.0,"Oct 21, 2009 00:00:00",325.0,317.5
320.0,4158025.0,327.5,"Oct 22, 2009 00:00:00",327.5,320.0
330.0,24393150.0,345.0,"Oct 23, 2009 00:00:00",357.5,330.0
340.0,3560325.0,335.0,"Oct 26, 2009 00:00:00",340.0,330.0
335.0,15107125.0,330.0,"Oct 27, 2009 00:00:00",335.0,327.5
