OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.0,55656440.0,8.6,"Sep 12, 2011 00:00:00",13.0,3.0
10.0,122068699.0,9.96,"Sep 13, 2011 00:00:00",11.98,9.2
10.5,87459216.0,7.5,"Sep 14, 2011 00:00:00",10.7,7.5
7.6,36298417.0,6.45,"Sep 15, 2011 00:00:00",7.9,5.2
6.45,28388653.0,7.0,"Sep 16, 2011 00:00:00",7.7,5.7
7.25,15918370.0,7.02,"Sep 19, 2011 00:00:00",7.28,6.5
6.88,7861039.0,6.5,"Sep 20, 2011 00:00:00",7.0,6.4
6.87,4285515.0,6.6,"Sep 21, 2011 00:00:00",6.9,6.55
6.61,5537302.0,6.29,"Sep 22, 2011 00:00:00",6.61,6.28
6.0,9653153.0,5.45,"Sep 23, 2011 00:00:00",6.0,5.4
5.45,4684765.0,4.48,"Sep 26, 2011 00:00:00",5.45,4.0
4.7,4656680.0,5.08,"Sep 28, 2011 00:00:00",5.3,4.7
5.08,2022298.0,5.26,"Sep 29, 2011 00:00:00",5.26,4.96
5.5,1975987.0,5.6,"Oct 03, 2011 00:00:00",5.7,5.3
5.49,1424172.0,5.58,"Oct 04, 2011 00:00:00",5.65,5.3
5.72,1227694.0,5.69,"Oct 05, 2011 00:00:00",5.72,5.6
5.95,3549015.0,6.0,"Oct 06, 2011 00:00:00",6.28,5.9
6.1,2971719.0,6.0,"Oct 07, 2011 00:00:00",6.3,6.0
6.1,782214.0,6.1,"Oct 10, 2011 00:00:00",6.2,6.1
6.3,3863354.0,6.2,"Oct 11, 2011 00:00:00",6.32,6.1
6.2,1930970.0,6.1,"Oct 12, 2011 00:00:00",6.2,6.1
6.15,1860753.0,6.15,"Oct 13, 2011 00:00:00",6.2,6.1
6.1,1445758.0,6.15,"Oct 14, 2011 00:00:00",6.25,6.02
6.2,4987893.0,6.45,"Oct 17, 2011 00:00:00",6.58,6.1
6.5,3145511.0,6.5,"Oct 18, 2011 00:00:00",6.54,6.45
6.58,1239431.0,6.31,"Oct 19, 2011 00:00:00",6.6,6.3
6.28,686188.0,6.31,"Oct 20, 2011 00:00:00",6.35,6.28
6.21,787345.0,6.3,"Oct 21, 2011 00:00:00",6.3,6.21
6.3,551251.0,6.27,"Oct 24, 2011 00:00:00",6.32,6.25
6.3,1353330.0,6.36,"Oct 25, 2011 00:00:00",6.36,6.3
6.3,528594.0,6.36,"Oct 26, 2011 00:00:00",6.36,6.3
6.5,664651.0,6.5,"Oct 27, 2011 00:00:00",6.5,6.36
6.5,1231958.0,6.38,"Oct 28, 2011 00:00:00",6.5,6.36
6.3,3464064.0,6.2,"Nov 02, 2011 00:00:00",6.3,6.17
6.14,4419278.0,6.3,"Nov 03, 2011 00:00:00",6.3,6.14
6.3,4399308.0,6.55,"Nov 04, 2011 00:00:00",7.0,6.3
6.54,2408403.0,6.55,"Nov 08, 2011 00:00:00",6.55,6.3
6.5,817182.0,6.51,"Nov 09, 2011 00:00:00",6.6,6.5
6.3,745686.0,6.32,"Nov 10, 2011 00:00:00",6.32,6.3
6.5,3089147.0,6.56,"Nov 11, 2011 00:00:00",6.57,6.32
6.9,9312725.0,6.95,"Nov 14, 2011 00:00:00",7.4,6.8
7.0,2824461.0,7.15,"Nov 15, 2011 00:00:00",7.2,6.95
7.2,2314809.0,7.12,"Nov 16, 2011 00:00:00",7.2,7.0
7.01,949507.0,7.01,"Nov 17, 2011 00:00:00",7.14,7.0
7.01,8008621.0,7.1,"Nov 18, 2011 00:00:00",7.38,7.01
7.1,2758984.0,6.9,"Nov 21, 2011 00:00:00",7.24,6.9
6.9,3091370.0,6.8,"Nov 22, 2011 00:00:00",6.9,6.5
6.8,716730.0,6.8,"Nov 23, 2011 00:00:00",6.81,6.8
6.8,3297249.0,6.7,"Nov 24, 2011 00:00:00",6.81,6.7
6.59,4841138.0,6.8,"Nov 25, 2011 00:00:00",6.85,6.59
6.6,3154855.0,7.0,"Nov 28, 2011 00:00:00",7.0,6.6
6.95,2414122.0,7.1,"Nov 29, 2011 00:00:00",7.1,6.95
7.4,1889584.0,7.1,"Dec 01, 2011 00:00:00",7.4,7.0
7.1,3447592.0,7.15,"Dec 02, 2011 00:00:00",7.15,7.07
7.09,1071626.0,7.15,"Dec 05, 2011 00:00:00",7.15,6.91
7.15,795980.0,7.01,"Dec 06, 2011 00:00:00",7.15,7.01
7.0,2992697.0,6.99,"Dec 07, 2011 00:00:00",7.14,6.89
7.0,10142068.0,7.4,"Dec 08, 2011 00:00:00",7.49,6.99
7.42,2190261.0,7.49,"Dec 09, 2011 00:00:00",7.59,7.3
7.4,2041883.0,7.31,"Dec 12, 2011 00:00:00",7.5,7.31
7.31,670102.0,7.28,"Dec 13, 2011 00:00:00",7.4,7.28
7.3,3670170.0,7.07,"Dec 14, 2011 00:00:00",7.3,7.05
7.07,3142225.0,7.01,"Dec 15, 2011 00:00:00",7.2,6.91
7.1,1688335.0,7.0,"Dec 16, 2011 00:00:00",7.1,6.9
