OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.5,194900.0,0.48,"Aug 03, 2009 00:00:00",0.5,0.48
0.49,584000.0,0.47,"Aug 04, 2009 00:00:00",0.49,0.47
0.47,28200.0,0.47,"Aug 06, 2009 00:00:00",0.47,0.47
0.47,155100.0,0.47,"Aug 07, 2009 00:00:00",0.47,0.47
0.5,2430900.0,0.5,"Aug 10, 2009 00:00:00",0.52,0.49
0.51,1413300.0,0.5,"Aug 11, 2009 00:00:00",0.51,0.5
0.49,593900.0,0.5,"Aug 12, 2009 00:00:00",0.5,0.49
0.49,402000.0,0.49,"Aug 13, 2009 00:00:00",0.5,0.49
0.49,348600.0,0.49,"Aug 14, 2009 00:00:00",0.5,0.49
0.48,23600.0,0.47,"Aug 17, 2009 00:00:00",0.48,0.47
0.47,630100.0,0.47,"Aug 18, 2009 00:00:00",0.47,0.45
0.47,145700.0,0.47,"Aug 19, 2009 00:00:00",0.47,0.47
0.48,38400.0,0.48,"Aug 24, 2009 00:00:00",0.48,0.48
0.48,744900.0,0.47,"Aug 25, 2009 00:00:00",0.48,0.46
0.47,623300.0,0.48,"Aug 26, 2009 00:00:00",0.48,0.47
0.49,377300.0,0.49,"Sep 03, 2009 00:00:00",0.49,0.49
0.48,772400.0,0.48,"Sep 04, 2009 00:00:00",0.48,0.47
0.52,266200.0,0.51,"Sep 16, 2009 00:00:00",0.52,0.5
0.53,53000.0,0.53,"Sep 17, 2009 00:00:00",0.53,0.53
0.51,208600.0,0.51,"Sep 18, 2009 00:00:00",0.51,0.5
0.5,5000.0,0.5,"Sep 22, 2009 00:00:00",0.5,0.5
0.49,465500.0,0.5,"Sep 23, 2009 00:00:00",0.51,0.49
0.5,5000.0,0.5,"Sep 30, 2009 00:00:00",0.5,0.5
0.48,273600.0,0.48,"Oct 02, 2009 00:00:00",0.48,0.48
0.47,195300.0,0.47,"Oct 05, 2009 00:00:00",0.48,0.47
0.48,190100.0,0.49,"Oct 06, 2009 00:00:00",0.49,0.48
0.49,68900.0,0.5,"Oct 07, 2009 00:00:00",0.5,0.49
0.5,50000.0,0.5,"Oct 08, 2009 00:00:00",0.5,0.5
