OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.33,5475300.0,0.33,"Aug 03, 2009 00:00:00",0.36,0.32
0.35,3729700.0,0.36,"Aug 04, 2009 00:00:00",0.36,0.35
0.35,3179000.0,0.37,"Aug 06, 2009 00:00:00",0.37,0.35
0.37,23872900.0,0.37,"Aug 07, 2009 00:00:00",0.4,0.37
0.39,13275200.0,0.43,"Aug 10, 2009 00:00:00",0.44,0.39
0.44,4319600.0,0.4,"Aug 11, 2009 00:00:00",0.44,0.4
0.41,650200.0,0.4,"Aug 12, 2009 00:00:00",0.41,0.4
0.41,1612200.0,0.4,"Aug 13, 2009 00:00:00",0.41,0.4
0.39,2444100.0,0.38,"Aug 14, 2009 00:00:00",0.39,0.38
0.37,37000.0,0.37,"Aug 17, 2009 00:00:00",0.37,0.37
0.35,782400.0,0.37,"Aug 18, 2009 00:00:00",0.37,0.34
0.38,7410500.0,0.43,"Aug 19, 2009 00:00:00",0.43,0.38
0.43,10438200.0,0.42,"Aug 20, 2009 00:00:00",0.43,0.41
0.43,1309900.0,0.42,"Aug 24, 2009 00:00:00",0.44,0.42
0.4,711400.0,0.42,"Aug 25, 2009 00:00:00",0.42,0.4
0.42,806800.0,0.43,"Aug 26, 2009 00:00:00",0.43,0.41
0.41,194000.0,0.4,"Sep 03, 2009 00:00:00",0.41,0.4
0.4,16000.0,0.4,"Sep 04, 2009 00:00:00",0.4,0.4
0.4,4000.0,0.4,"Sep 16, 2009 00:00:00",0.4,0.4
0.39,99000.0,0.4,"Sep 18, 2009 00:00:00",0.4,0.39
0.4,20000.0,0.4,"Sep 22, 2009 00:00:00",0.4,0.4
0.4,200000.0,0.4,"Sep 23, 2009 00:00:00",0.4,0.4
0.4,64000.0,0.4,"Sep 30, 2009 00:00:00",0.4,0.4
0.39,39000.0,0.39,"Oct 02, 2009 00:00:00",0.39,0.39
0.39,975000.0,0.39,"Oct 05, 2009 00:00:00",0.39,0.39
0.4,600000.0,0.4,"Oct 06, 2009 00:00:00",0.4,0.4
0.4,8000.0,0.4,"Oct 07, 2009 00:00:00",0.4,0.4
0.4,2230100.0,0.43,"Oct 08, 2009 00:00:00",0.46,0.4
0.43,25800.0,0.43,"Oct 09, 2009 00:00:00",0.43,0.43
0.42,29900.0,0.43,"Oct 12, 2009 00:00:00",0.43,0.42
0.41,41000.0,0.41,"Oct 13, 2009 00:00:00",0.41,0.41
0.4,160000.0,0.4,"Oct 14, 2009 00:00:00",0.4,0.4
0.4,77800.0,0.41,"Oct 16, 2009 00:00:00",0.41,0.4
0.43,110700.0,0.42,"Oct 19, 2009 00:00:00",0.44,0.42
0.43,114100.0,0.42,"Oct 20, 2009 00:00:00",0.43,0.42
0.43,13753300.0,0.44,"Oct 21, 2009 00:00:00",0.47,0.42
0.46,26487500.0,0.52,"Oct 22, 2009 00:00:00",0.52,0.44
0.52,12234700.0,0.5,"Oct 23, 2009 00:00:00",0.53,0.48
0.48,3459700.0,0.5,"Oct 26, 2009 00:00:00",0.5,0.48
0.5,1946000.0,0.49,"Oct 27, 2009 00:00:00",0.5,0.49
0.49,2715900.0,0.49,"Oct 28, 2009 00:00:00",0.49,0.48
0.49,1685200.0,0.49,"Oct 29, 2009 00:00:00",0.49,0.48
0.5,14883400.0,0.55,"Oct 30, 2009 00:00:00",0.55,0.5
0.56,2765800.0,0.51,"Nov 03, 2009 00:00:00",0.56,0.5
0.51,5076200.0,0.52,"Nov 04, 2009 00:00:00",0.52,0.51
0.51,4631300.0,0.54,"Nov 05, 2009 00:00:00",0.56,0.51
0.54,2462700.0,0.52,"Nov 06, 2009 00:00:00",0.54,0.52
0.53,1361500.0,0.51,"Nov 09, 2009 00:00:00",0.53,0.51
0.52,2309200.0,0.52,"Nov 10, 2009 00:00:00",0.53,0.52
