OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.9,2900.0,2.9,"Aug 03, 2009 00:00:00",2.9,2.9
3.0,18000.0,3.0,"Aug 12, 2009 00:00:00",3.0,3.0
3.0,6000.0,3.0,"Aug 13, 2009 00:00:00",3.0,3.0
3.0,30000.0,3.0,"Aug 20, 2009 00:00:00",3.0,3.0
2.9,20300.0,2.9,"Aug 24, 2009 00:00:00",2.9,2.9
3.3,13400.0,3.5,"Sep 16, 2009 00:00:00",3.5,3.3
3.5,7000.0,3.5,"Sep 17, 2009 00:00:00",3.5,3.5
3.1,19000.0,3.5,"Sep 23, 2009 00:00:00",3.5,3.1
3.1,34500.0,3.5,"Sep 30, 2009 00:00:00",3.5,3.1
3.4,6900.0,3.5,"Oct 01, 2009 00:00:00",3.5,3.4
3.3,894500.0,3.3,"Oct 05, 2009 00:00:00",3.5,3.3
3.3,46400.0,3.5,"Oct 06, 2009 00:00:00",3.5,3.3
3.5,24500.0,3.5,"Oct 07, 2009 00:00:00",3.5,3.5
3.4,10200.0,3.4,"Oct 09, 2009 00:00:00",3.4,3.4
3.5,20400.0,3.4,"Oct 12, 2009 00:00:00",3.5,3.3
3.2,9900.0,3.5,"Oct 14, 2009 00:00:00",3.5,3.2
3.4,44200.0,3.4,"Oct 15, 2009 00:00:00",3.4,3.4
3.2,55700.0,3.3,"Oct 16, 2009 00:00:00",3.4,3.2
3.2,160350.0,3.35,"Oct 19, 2009 00:00:00",3.35,3.2
3.4,291400.0,3.5,"Oct 20, 2009 00:00:00",3.5,3.4
3.15,93150.0,3.45,"Oct 23, 2009 00:00:00",3.45,3.15
3.45,69000.0,3.45,"Oct 26, 2009 00:00:00",3.45,3.45
3.4,27200.0,3.4,"Oct 28, 2009 00:00:00",3.4,3.4
3.3,103100.0,3.35,"Oct 30, 2009 00:00:00",3.35,3.3
2.55,141700.0,3.1,"Nov 05, 2009 00:00:00",3.1,2.55
3.1,261500.0,3.1,"Nov 06, 2009 00:00:00",3.2,2.85
3.0,38000.0,2.9,"Nov 09, 2009 00:00:00",3.0,2.9
2.8,14000.0,2.8,"Nov 10, 2009 00:00:00",2.8,2.8
2.85,42750.0,2.85,"Dec 16, 2009 00:00:00",2.85,2.85
2.85,22550.0,2.8,"Dec 17, 2009 00:00:00",2.85,2.8
2.9,58000.0,2.9,"Dec 18, 2009 00:00:00",2.9,2.9
3.1,56150.0,3.15,"Jan 08, 2010 00:00:00",3.15,3.1
3.25,9750.0,3.25,"Jan 12, 2010 00:00:00",3.25,3.25
3.25,26000.0,3.25,"Jan 13, 2010 00:00:00",3.25,3.25
3.3,38400.0,3.1,"Jan 14, 2010 00:00:00",3.3,3.1
3.1,3100.0,3.1,"Jan 20, 2010 00:00:00",3.1,3.1
3.1,3100.0,3.1,"Jan 21, 2010 00:00:00",3.1,3.1
