OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
39.0,354400.0,40.0,"Aug 03, 2009 00:00:00",40.0,39.0
41.0,4558250.0,40.5,"Aug 04, 2009 00:00:00",42.0,40.5
41.0,1002650.0,41.0,"Aug 06, 2009 00:00:00",41.0,39.5
40.0,8520000.0,40.0,"Aug 07, 2009 00:00:00",40.0,40.0
40.0,278400.0,40.0,"Aug 10, 2009 00:00:00",40.0,39.5
40.0,405150.0,40.5,"Aug 11, 2009 00:00:00",40.5,40.0
40.0,44122750.0,40.0,"Aug 12, 2009 00:00:00",40.0,39.5
40.0,4558750.0,39.5,"Aug 13, 2009 00:00:00",40.0,39.5
39.5,1847350.0,39.0,"Aug 14, 2009 00:00:00",39.5,39.0
38.5,1699000.0,39.0,"Aug 17, 2009 00:00:00",39.0,38.0
38.5,1754200.0,39.0,"Aug 18, 2009 00:00:00",39.0,38.5
43.0,4121050.0,40.5,"Aug 19, 2009 00:00:00",43.0,40.0
40.5,234700.0,40.5,"Aug 20, 2009 00:00:00",40.5,40.0
40.5,109350.0,40.5,"Aug 24, 2009 00:00:00",40.5,40.5
40.5,1344400.0,40.5,"Aug 25, 2009 00:00:00",40.5,40.0
39.5,5369300.0,39.0,"Sep 03, 2009 00:00:00",39.5,38.5
39.5,17227400.0,38.5,"Sep 04, 2009 00:00:00",39.5,38.0
38.5,604450.0,38.5,"Sep 16, 2009 00:00:00",38.5,38.5
38.5,1355200.0,38.5,"Sep 17, 2009 00:00:00",38.5,38.5
38.5,570050.0,39.0,"Sep 18, 2009 00:00:00",39.0,38.5
38.5,7788550.0,38.5,"Sep 22, 2009 00:00:00",38.5,38.5
38.5,22260700.0,38.5,"Sep 23, 2009 00:00:00",38.5,38.5
38.5,1140600.0,39.0,"Sep 30, 2009 00:00:00",39.0,38.5
38.5,392700.0,38.5,"Oct 01, 2009 00:00:00",38.5,38.5
38.0,30191000.0,38.0,"Oct 02, 2009 00:00:00",38.0,38.0
38.0,190000.0,38.0,"Oct 05, 2009 00:00:00",38.0,38.0
38.0,125150.0,38.0,"Oct 06, 2009 00:00:00",38.0,37.5
38.0,839800.0,38.0,"Oct 07, 2009 00:00:00",38.0,38.0
37.5,840000.0,37.5,"Oct 08, 2009 00:00:00",37.5,37.5
38.0,4696800.0,38.0,"Oct 09, 2009 00:00:00",38.0,38.0
38.5,1848000.0,38.5,"Oct 13, 2009 00:00:00",38.5,38.5
38.5,2367500.0,39.0,"Oct 14, 2009 00:00:00",39.0,38.5
39.5,1738000.0,39.5,"Oct 15, 2009 00:00:00",39.5,39.5
39.5,6057850.0,41.0,"Oct 16, 2009 00:00:00",42.0,39.5
41.0,7343100.0,41.0,"Oct 19, 2009 00:00:00",41.0,41.0
41.0,5789350.0,40.5,"Oct 20, 2009 00:00:00",41.0,40.5
40.0,200000.0,40.0,"Oct 21, 2009 00:00:00",40.0,40.0
40.0,2300450.0,40.5,"Oct 22, 2009 00:00:00",41.0,40.0
41.0,4485900.0,41.0,"Oct 23, 2009 00:00:00",41.5,41.0
40.5,716850.0,40.5,"Oct 26, 2009 00:00:00",40.5,40.5
40.5,2836400.0,40.0,"Oct 27, 2009 00:00:00",40.5,40.0
39.5,829500.0,39.5,"Oct 28, 2009 00:00:00",39.5,39.5
39.5,1354850.0,39.5,"Oct 29, 2009 00:00:00",39.5,39.5
39.5,2572500.0,40.0,"Oct 30, 2009 00:00:00",40.0,39.5
39.0,117000.0,39.0,"Nov 03, 2009 00:00:00",39.0,39.0
