OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.69,406800.0,0.69,"Aug 03, 2009 00:00:00",0.7,0.68
0.71,684100.0,0.66,"Aug 04, 2009 00:00:00",0.71,0.66
0.67,304500.0,0.68,"Aug 06, 2009 00:00:00",0.69,0.67
0.68,127400.0,0.67,"Aug 07, 2009 00:00:00",0.68,0.67
0.67,344900.0,0.69,"Aug 10, 2009 00:00:00",0.69,0.67
0.68,736300.0,0.67,"Aug 11, 2009 00:00:00",0.68,0.67
0.68,20400.0,0.68,"Aug 12, 2009 00:00:00",0.68,0.68
0.68,68900.0,0.69,"Aug 13, 2009 00:00:00",0.69,0.68
0.69,319500.0,0.66,"Aug 14, 2009 00:00:00",0.69,0.66
0.64,243200.0,0.64,"Aug 17, 2009 00:00:00",0.64,0.64
0.63,1161700.0,0.6,"Aug 18, 2009 00:00:00",0.63,0.6
0.64,309200.0,0.63,"Aug 19, 2009 00:00:00",0.64,0.63
0.63,421200.0,0.61,"Aug 20, 2009 00:00:00",0.63,0.61
0.62,49600.0,0.62,"Aug 24, 2009 00:00:00",0.62,0.62
0.62,395900.0,0.62,"Aug 25, 2009 00:00:00",0.62,0.61
0.62,322600.0,0.62,"Aug 26, 2009 00:00:00",0.64,0.62
0.61,1692000.0,0.6,"Sep 03, 2009 00:00:00",0.61,0.6
0.6,18000.0,0.6,"Sep 04, 2009 00:00:00",0.6,0.6
0.65,214000.0,0.64,"Sep 16, 2009 00:00:00",0.65,0.64
0.64,96000.0,0.64,"Sep 17, 2009 00:00:00",0.64,0.64
0.67,6700.0,0.67,"Sep 22, 2009 00:00:00",0.67,0.67
0.67,301100.0,0.67,"Sep 23, 2009 00:00:00",0.67,0.66
0.64,166400.0,0.64,"Sep 30, 2009 00:00:00",0.64,0.64
0.64,672000.0,0.64,"Oct 01, 2009 00:00:00",0.64,0.64
0.64,192000.0,0.64,"Oct 06, 2009 00:00:00",0.64,0.64
0.64,827500.0,0.67,"Oct 07, 2009 00:00:00",0.67,0.64
0.68,6800.0,0.68,"Oct 08, 2009 00:00:00",0.68,0.68
0.67,658700.0,0.68,"Oct 14, 2009 00:00:00",0.68,0.67
0.67,134000.0,0.67,"Oct 15, 2009 00:00:00",0.67,0.67
0.68,5201000.0,0.71,"Oct 16, 2009 00:00:00",0.75,0.68
0.71,156200.0,0.71,"Oct 19, 2009 00:00:00",0.71,0.71
0.7,482400.0,0.68,"Oct 20, 2009 00:00:00",0.7,0.68
0.68,532100.0,0.68,"Oct 21, 2009 00:00:00",0.69,0.68
0.69,205000.0,0.68,"Oct 22, 2009 00:00:00",0.69,0.68
0.69,494500.0,0.7,"Oct 23, 2009 00:00:00",0.7,0.69
0.7,2175400.0,0.74,"Oct 26, 2009 00:00:00",0.75,0.7
0.74,5260000.0,0.73,"Oct 27, 2009 00:00:00",0.78,0.73
0.74,1568900.0,0.72,"Oct 28, 2009 00:00:00",0.74,0.72
0.74,233200.0,0.72,"Oct 29, 2009 00:00:00",0.74,0.72
0.72,128300.0,0.71,"Oct 30, 2009 00:00:00",0.72,0.71
0.74,506200.0,0.74,"Nov 03, 2009 00:00:00",0.75,0.73
0.76,3356300.0,0.78,"Nov 04, 2009 00:00:00",0.79,0.76
0.79,16891900.0,0.88,"Nov 05, 2009 00:00:00",0.93,0.79
0.9,16780700.0,0.94,"Nov 06, 2009 00:00:00",0.98,0.9
0.94,20754000.0,1.02,"Nov 09, 2009 00:00:00",1.04,0.94
1.06,10328380.0,1.02,"Nov 10, 2009 00:00:00",1.08,1.0
1.04,2025900.0,0.98,"Nov 11, 2009 00:00:00",1.04,0.98
0.85,17000.0,0.85,"Dec 15, 2009 00:00:00",0.85,0.85
0.88,8800.0,0.88,"Dec 16, 2009 00:00:00",0.88,0.88
0.87,473300.0,0.86,"Dec 18, 2009 00:00:00",0.87,0.86
0.86,1744000.0,0.88,"Dec 21, 2009 00:00:00",0.91,0.86
0.88,248400.0,0.89,"Dec 22, 2009 00:00:00",0.89,0.88
0.88,8800.0,0.88,"Dec 23, 2009 00:00:00",0.88,0.88
0.88,378400.0,0.88,"Dec 29, 2009 00:00:00",0.88,0.88
0.88,624800.0,0.88,"Jan 05, 2010 00:00:00",0.88,0.88
0.88,328300.0,0.89,"Jan 06, 2010 00:00:00",0.89,0.88
0.87,184300.0,0.88,"Jan 07, 2010 00:00:00",0.88,0.87
0.87,626400.0,0.87,"Jan 11, 2010 00:00:00",0.87,0.87
0.88,114400.0,0.88,"Jan 12, 2010 00:00:00",0.88,0.88
0.87,104400.0,0.87,"Jan 18, 2010 00:00:00",0.87,0.87
0.87,334100.0,0.88,"Jan 19, 2010 00:00:00",0.88,0.87
0.88,343200.0,0.88,"Jan 20, 2010 00:00:00",0.88,0.88
0.88,383100.0,0.87,"Jan 21, 2010 00:00:00",0.88,0.87
0.86,689600.0,0.85,"Jan 22, 2010 00:00:00",0.86,0.85
0.85,595000.0,0.85,"Jan 26, 2010 00:00:00",0.85,0.85
