OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.75,112500.0,3.75,"Sep 20, 2010 00:00:00",3.75,3.75
5.62,11240.0,5.62,"Sep 21, 2010 00:00:00",5.62,5.62
8.43,8430.0,8.43,"Sep 23, 2010 00:00:00",8.43,8.43
12.64,12640.0,12.64,"Sep 24, 2010 00:00:00",12.64,12.64
18.96,56880.0,18.96,"Sep 27, 2010 00:00:00",18.96,18.96
28.4,113600.0,28.4,"Sep 28, 2010 00:00:00",28.4,28.4
42.6,340800.0,42.6,"Sep 29, 2010 00:00:00",42.6,42.6
63.8,265550.0,60.0,"Oct 01, 2010 00:00:00",63.8,60.0
59.5,189315.0,55.5,"Oct 04, 2010 00:00:00",59.5,54.0
50.0,36600.0,42.0,"Oct 05, 2010 00:00:00",50.0,42.0
42.5,27150.0,48.0,"Oct 07, 2010 00:00:00",48.0,42.5
41.0,4100.0,41.0,"Oct 08, 2010 00:00:00",41.0,41.0
41.0,3690.0,41.0,"Oct 12, 2010 00:00:00",41.0,41.0
55.0,124540.0,61.45,"Oct 13, 2010 00:00:00",61.45,55.0
61.5,29780.0,65.0,"Oct 14, 2010 00:00:00",65.0,60.0
63.5,6325.0,63.0,"Oct 15, 2010 00:00:00",63.5,63.0
60.0,209163.0,83.9,"Oct 18, 2010 00:00:00",94.0,57.0
83.0,25980.0,70.0,"Oct 19, 2010 00:00:00",83.0,70.0
69.0,106860.0,80.0,"Oct 20, 2010 00:00:00",80.0,60.0
90.0,144990.0,65.0,"Oct 21, 2010 00:00:00",95.0,65.0
64.5,130325.0,69.0,"Oct 22, 2010 00:00:00",69.0,55.0
57.0,69950.0,60.0,"Oct 26, 2010 00:00:00",65.0,57.0
61.0,1880.0,65.0,"Oct 27, 2010 00:00:00",65.0,61.0
57.0,71040.0,65.0,"Oct 29, 2010 00:00:00",65.0,57.0
53.0,4240.0,53.0,"Nov 03, 2010 00:00:00",53.0,53.0
97.5,127725.0,97.5,"Nov 18, 2010 00:00:00",97.5,97.5
112.1,106164.0,145.0,"Nov 19, 2010 00:00:00",145.0,110.0
195.0,397480.0,217.4,"Nov 22, 2010 00:00:00",217.4,195.0
326.0,133660.0,326.0,"May 31, 2011 00:00:00",326.0,326.0
489.0,498780.0,489.0,"Jun 01, 2011 00:00:00",489.0,489.0
1100.0,2298490.0,1049.0,"Jun 03, 2011 00:00:00",1100.0,1000.0
760.0,274600.0,700.0,"Jun 06, 2011 00:00:00",760.0,700.0
700.0,184200.0,600.0,"Jun 07, 2011 00:00:00",700.0,600.0
580.5,550250.0,700.0,"Jun 08, 2011 00:00:00",700.0,540.0
750.0,95900.0,740.0,"Jun 09, 2011 00:00:00",750.0,720.0
670.0,20100.0,670.0,"Jun 10, 2011 00:00:00",670.0,670.0
670.0,120850.0,570.5,"Jun 13, 2011 00:00:00",670.0,570.5
580.5,271250.0,610.0,"Jun 14, 2011 00:00:00",610.0,550.0
591.5,112975.0,600.0,"Jun 16, 2011 00:00:00",600.0,580.0
600.0,42000.0,600.0,"Jun 22, 2011 00:00:00",600.0,600.0
600.0,58500.0,570.0,"Jun 23, 2011 00:00:00",600.0,570.0
578.0,139500.0,560.0,"Jun 27, 2011 00:00:00",578.0,540.0
579.5,5795.0,579.5,"Jun 30, 2011 00:00:00",579.5,579.5
560.0,107020.0,530.0,"Jul 04, 2011 00:00:00",560.0,530.0
520.5,218520.0,520.0,"Jul 06, 2011 00:00:00",520.5,500.0
501.5,111195.0,609.5,"Jul 08, 2011 00:00:00",609.5,500.0
498.2,10182.0,520.0,"Jul 11, 2011 00:00:00",520.0,498.2
500.0,35000.0,500.0,"Jul 13, 2011 00:00:00",500.0,500.0
500.0,15000.0,500.0,"Jul 14, 2011 00:00:00",500.0,500.0
500.0,25000.0,500.0,"Jul 15, 2011 00:00:00",500.0,500.0
589.0,35530.0,595.0,"Jul 18, 2011 00:00:00",595.0,589.0
505.5,50540.0,505.0,"Jul 21, 2011 00:00:00",506.0,505.0
600.0,6000.0,600.0,"Jul 22, 2011 00:00:00",600.0,600.0
558.0,11160.0,558.0,"Jul 25, 2011 00:00:00",558.0,558.0
530.0,15900.0,530.0,"Jul 28, 2011 00:00:00",530.0,530.0
554.5,16625.0,553.5,"Jul 29, 2011 00:00:00",554.5,553.5
530.0,10600.0,530.0,"Aug 03, 2011 00:00:00",530.0,530.0
501.0,29960.0,491.0,"Aug 08, 2011 00:00:00",501.0,491.0
495.0,106370.0,480.2,"Aug 09, 2011 00:00:00",495.0,480.0
483.0,4830.0,483.0,"Aug 10, 2011 00:00:00",483.0,483.0
485.2,9704.0,485.2,"Aug 12, 2011 00:00:00",485.2,485.2
599.5,5995.0,599.5,"Aug 15, 2011 00:00:00",599.5,599.5
599.5,346990.0,799.5,"Aug 16, 2011 00:00:00",850.0,599.5
779.0,38950.0,779.0,"Aug 17, 2011 00:00:00",779.0,779.0
550.0,600530.0,500.0,"Aug 18, 2011 00:00:00",550.0,500.0
550.0,33600.0,580.0,"Aug 19, 2011 00:00:00",580.0,550.0
650.0,12500.0,600.0,"Aug 22, 2011 00:00:00",650.0,600.0
599.5,184245.0,501.0,"Aug 23, 2011 00:00:00",600.0,500.0
597.5,29890.0,598.0,"Aug 24, 2011 00:00:00",598.0,597.5
605.0,36380.0,607.0,"Aug 31, 2011 00:00:00",607.0,605.0
550.0,358905.0,516.0,"Sep 01, 2011 00:00:00",550.0,515.0
525.0,4238350.0,520.0,"Sep 02, 2011 00:00:00",530.0,516.0
516.0,1575480.0,520.0,"Sep 06, 2011 00:00:00",520.0,516.0
516.5,41270.0,515.5,"Sep 12, 2011 00:00:00",516.5,515.5
599.5,5995.0,599.5,"Sep 15, 2011 00:00:00",599.5,599.5
519.0,103225.0,514.0,"Sep 20, 2011 00:00:00",519.0,514.0
515.0,30900.0,515.0,"Sep 23, 2011 00:00:00",515.0,515.0
514.0,41055.0,512.5,"Sep 26, 2011 00:00:00",514.0,512.5
516.0,46370.0,515.0,"Sep 28, 2011 00:00:00",516.0,515.0
515.0,10300.0,515.0,"Sep 29, 2011 00:00:00",515.0,515.0
513.0,51140.0,510.0,"Oct 03, 2011 00:00:00",513.0,510.0
509.0,61005.0,508.0,"Oct 04, 2011 00:00:00",509.0,508.0
512.0,45830.0,508.0,"Oct 10, 2011 00:00:00",512.0,508.0
507.5,297260.0,501.0,"Oct 12, 2011 00:00:00",507.5,501.0
505.5,5055.0,505.5,"Nov 02, 2011 00:00:00",505.5,505.5
503.0,5030.0,503.0,"Nov 14, 2011 00:00:00",503.0,503.0
