OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
67.0,2089445342.5,67.2,"Nov 03, 2016 00:00:00",67.2,66.6
67.4,486383756.0,69.5,"Nov 04, 2016 00:00:00",69.5,67.25
70.0,333802453.0,70.6,"Nov 07, 2016 00:00:00",70.8,69.7
70.95,279589151.0,72.0,"Nov 08, 2016 00:00:00",72.15,70.6
72.1,250979626.5,69.8,"Nov 09, 2016 00:00:00",73.0,68.4
70.3,152293715.5,70.75,"Nov 10, 2016 00:00:00",71.2,70.3
70.75,174416714.0,69.5,"Nov 11, 2016 00:00:00",70.75,69.3
69.55,49924521.5,69.0,"Nov 14, 2016 00:00:00",69.55,68.0
69.0,98831416.0,68.8,"Nov 15, 2016 00:00:00",69.4,68.2
69.2,93494888.5,68.95,"Nov 16, 2016 00:00:00",69.2,68.7
68.95,59080463.0,68.5,"Nov 17, 2016 00:00:00",69.0,68.25
68.5,13113127.5,68.5,"Nov 18, 2016 00:00:00",68.7,68.1
68.5,25250241.5,68.4,"Nov 21, 2016 00:00:00",68.5,68.2
68.3,142799655.5,67.0,"Nov 22, 2016 00:00:00",69.1,67.0
67.5,139937855.0,67.4,"Nov 23, 2016 00:00:00",68.2,67.2
67.4,67319138.5,67.6,"Nov 24, 2016 00:00:00",68.0,67.1
67.4,67319138.5,67.6,"Nov 24, 2016 00:00:00",68.0,67.1
67.4,67319138.5,67.6,"Nov 24, 2016 00:00:00",68.0,67.1
67.6,41608325.0,67.6,"Nov 25, 2016 00:00:00",67.75,67.35
67.6,62786074.0,67.4,"Nov 28, 2016 00:00:00",67.6,67.25
67.5,63519134.5,67.0,"Nov 29, 2016 00:00:00",67.5,67.0
68.0,109194942.0,68.35,"Dec 01, 2016 00:00:00",68.35,67.8
68.4,84563882.0,68.1,"Dec 02, 2016 00:00:00",68.5,67.5
68.1,62124826.0,67.15,"Dec 05, 2016 00:00:00",68.1,67.0
67.15,18724961.5,67.65,"Dec 06, 2016 00:00:00",67.7,67.1
67.65,47948339.5,67.5,"Dec 07, 2016 00:00:00",67.65,67.35
67.5,38697093.5,67.75,"Dec 08, 2016 00:00:00",67.8,67.4
67.75,39907980.5,67.7,"Dec 09, 2016 00:00:00",67.75,67.4
67.7,193793562.5,68.05,"Dec 12, 2016 00:00:00",68.4,67.6
68.0,37163176.5,68.0,"Dec 13, 2016 00:00:00",68.0,67.3
68.0,59111573.5,68.2,"Dec 14, 2016 00:00:00",68.3,67.9
68.1,62190496.5,68.25,"Dec 15, 2016 00:00:00",68.25,67.9
68.25,154301653.0,70.0,"Dec 16, 2016 00:00:00",70.0,68.1
69.9,55497019.5,69.6,"Dec 19, 2016 00:00:00",69.9,69.0
69.7,34258892.0,69.6,"Dec 20, 2016 00:00:00",69.7,69.05
69.6,50280919.0,69.5,"Dec 21, 2016 00:00:00",70.0,69.25
69.5,20953824.5,69.15,"Dec 22, 2016 00:00:00",69.5,69.05
69.15,77981941.5,69.8,"Dec 23, 2016 00:00:00",69.8,69.05
69.75,91587462.0,69.65,"Dec 27, 2016 00:00:00",69.85,69.05
69.7,50977821.0,69.7,"Dec 28, 2016 00:00:00",69.8,69.6
69.2,102663776.5,69.8,"Dec 29, 2016 00:00:00",70.0,69.2
69.8,117051564.5,70.65,"Jan 03, 2017 00:00:00",70.65,69.5
70.55,52148884.5,70.85,"Jan 04, 2017 00:00:00",71.2,70.15
71.1,127472879.5,71.95,"Jan 05, 2017 00:00:00",72.05,71.0
71.95,57528536.0,71.45,"Jan 06, 2017 00:00:00",71.95,71.05
71.45,75680566.5,71.4,"Jan 09, 2017 00:00:00",71.55,71.15
71.4,83738164.0,72.5,"Jan 10, 2017 00:00:00",72.7,71.4
72.45,251197744.5,75.3,"Jan 11, 2017 00:00:00",75.35,72.45
75.25,93972627.5,74.3,"Jan 12, 2017 00:00:00",75.25,74.0
74.95,83112516.0,75.2,"Jan 13, 2017 00:00:00",75.2,74.3
75.1,50147182.5,75.3,"Jan 16, 2017 00:00:00",75.35,74.5
75.3,81333037.5,74.5,"Jan 17, 2017 00:00:00",75.5,74.3
74.5,73643050.0,75.5,"Jan 18, 2017 00:00:00",75.7,74.3
75.8,83265886.0,75.9,"Jan 19, 2017 00:00:00",76.2,75.4
75.9,17903491.5,75.0,"Jan 20, 2017 00:00:00",76.0,75.0
75.0,80059212.0,77.3,"Jan 23, 2017 00:00:00",77.4,75.0
77.2,22493107.0,77.25,"Jan 24, 2017 00:00:00",77.25,76.8
77.0,55740246.5,77.3,"Jan 25, 2017 00:00:00",77.5,77.0
77.3,86323538.0,77.95,"Jan 26, 2017 00:00:00",78.0,76.95
78.0,38020258.5,78.05,"Jan 27, 2017 00:00:00",78.1,77.5
78.1,24555490.0,78.05,"Jan 30, 2017 00:00:00",78.1,77.7
78.05,38206547.0,78.7,"Jan 31, 2017 00:00:00",78.95,77.85
78.5,36827674.0,79.75,"Feb 01, 2017 00:00:00",79.75,78.0
79.75,41154796.0,78.5,"Feb 02, 2017 00:00:00",80.0,78.05
79.0,14156160.5,78.6,"Feb 03, 2017 00:00:00",79.0,78.1
78.5,36201625.0,78.6,"Feb 06, 2017 00:00:00",79.0,77.9
78.5,19768353.5,78.55,"Feb 07, 2017 00:00:00",78.65,78.2
78.2,87164149.5,77.9,"Feb 08, 2017 00:00:00",78.55,77.5
77.65,72136712.5,78.2,"Feb 09, 2017 00:00:00",78.4,77.45
78.2,34192745.0,78.35,"Feb 10, 2017 00:00:00",78.4,78.15
78.2,34192745.0,78.35,"Feb 10, 2017 00:00:00",78.4,78.15
78.35,46660395.5,78.5,"Feb 13, 2017 00:00:00",78.5,78.25
78.35,46660395.5,78.5,"Feb 13, 2017 00:00:00",78.5,78.25
78.5,37323809.0,79.5,"Feb 14, 2017 00:00:00",79.5,78.5
79.5,28427588.5,79.4,"Feb 15, 2017 00:00:00",79.9,79.1
78.6,37426149.0,79.15,"Feb 16, 2017 00:00:00",79.8,78.6
79.15,6862416.5,78.6,"Feb 17, 2017 00:00:00",79.5,78.6
78.6,141156077.5,80.0,"Feb 20, 2017 00:00:00",80.0,78.6
80.0,14032753.5,79.35,"Feb 21, 2017 00:00:00",80.0,78.7
79.35,35015491.0,79.0,"Feb 22, 2017 00:00:00",79.35,79.0
78.5,25270981.0,78.65,"Feb 23, 2017 00:00:00",79.0,78.5
78.65,75328199.5,78.6,"Feb 24, 2017 00:00:00",78.95,78.4
78.4,15196187.0,77.85,"Feb 27, 2017 00:00:00",78.5,77.6
78.0,31242701.5,78.0,"Feb 28, 2017 00:00:00",78.0,77.75
