OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.38,162840.0,1.38,"Aug 03, 2009 00:00:00",1.38,1.38
1.38,714800.0,1.4,"Aug 04, 2009 00:00:00",1.4,1.38
1.42,198800.0,1.42,"Aug 07, 2009 00:00:00",1.42,1.42
1.38,189060.0,1.38,"Aug 10, 2009 00:00:00",1.38,1.38
1.38,383460.0,1.4,"Aug 11, 2009 00:00:00",1.4,1.38
1.4,247780.0,1.4,"Aug 12, 2009 00:00:00",1.4,1.38
1.38,227700.0,1.38,"Aug 13, 2009 00:00:00",1.38,1.38
1.4,54600.0,1.4,"Aug 14, 2009 00:00:00",1.4,1.4
1.36,187800.0,1.36,"Aug 17, 2009 00:00:00",1.4,1.36
1.36,195840.0,1.36,"Aug 18, 2009 00:00:00",1.36,1.36
1.38,166080.0,1.38,"Aug 19, 2009 00:00:00",1.38,1.36
1.38,223000.0,1.42,"Aug 20, 2009 00:00:00",1.48,1.38
1.44,1079220.0,1.68,"Aug 24, 2009 00:00:00",1.68,1.44
1.68,110260.0,1.66,"Aug 25, 2009 00:00:00",1.68,1.66
1.68,240400.0,1.7,"Aug 26, 2009 00:00:00",1.7,1.68
1.6,22400.0,1.6,"Sep 03, 2009 00:00:00",1.6,1.6
1.64,186760.0,1.72,"Sep 16, 2009 00:00:00",1.72,1.64
1.68,1680.0,1.68,"Sep 18, 2009 00:00:00",1.68,1.68
1.66,46480.0,1.66,"Sep 22, 2009 00:00:00",1.66,1.66
1.68,155940.0,1.68,"Sep 23, 2009 00:00:00",1.68,1.66
1.74,3480.0,1.74,"Sep 30, 2009 00:00:00",1.74,1.74
1.68,11760.0,1.68,"Oct 01, 2009 00:00:00",1.68,1.68
1.68,436900.0,1.7,"Oct 05, 2009 00:00:00",1.7,1.68
1.7,318920.0,1.72,"Oct 06, 2009 00:00:00",1.72,1.7
1.72,83320.0,1.74,"Oct 07, 2009 00:00:00",1.74,1.72
1.7,17181900.0,1.7,"Oct 08, 2009 00:00:00",1.7,1.7
1.7,6800.0,1.7,"Oct 09, 2009 00:00:00",1.7,1.7
1.72,503300.0,1.72,"Oct 12, 2009 00:00:00",1.72,1.7
1.72,34400.0,1.72,"Oct 13, 2009 00:00:00",1.72,1.72
1.7,40800.0,1.7,"Oct 14, 2009 00:00:00",1.7,1.7
1.72,1720.0,1.72,"Oct 15, 2009 00:00:00",1.72,1.72
1.8,41400.0,1.8,"Oct 16, 2009 00:00:00",1.8,1.8
1.78,12220.0,1.74,"Oct 20, 2009 00:00:00",1.78,1.74
1.74,87000.0,1.74,"Oct 21, 2009 00:00:00",1.74,1.74
1.74,41960.0,1.76,"Oct 22, 2009 00:00:00",1.76,1.74
1.76,1760.0,1.76,"Oct 23, 2009 00:00:00",1.76,1.76
1.78,94340.0,1.78,"Oct 26, 2009 00:00:00",1.78,1.78
1.74,87000.0,1.74,"Oct 27, 2009 00:00:00",1.74,1.74
1.74,1740.0,1.74,"Oct 29, 2009 00:00:00",1.74,1.74
1.74,321900.0,1.74,"Oct 30, 2009 00:00:00",1.74,1.74
1.72,29240.0,1.72,"Nov 05, 2009 00:00:00",1.72,1.72
1.76,97560.0,1.74,"Nov 06, 2009 00:00:00",1.76,1.74
1.74,224460.0,1.74,"Nov 09, 2009 00:00:00",1.74,1.74
1.72,22360.0,1.72,"Nov 10, 2009 00:00:00",1.72,1.72
1.74,683820.0,1.74,"Dec 15, 2009 00:00:00",1.74,1.74
1.74,15660.0,1.74,"Dec 16, 2009 00:00:00",1.74,1.74
1.74,211000.0,1.76,"Dec 17, 2009 00:00:00",1.76,1.74
1.76,176000.0,1.76,"Dec 18, 2009 00:00:00",1.76,1.76
