OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
330.0,59994650.0,330.0,"Aug 03, 2009 00:00:00",332.5,325.0
335.0,109239750.0,342.5,"Aug 04, 2009 00:00:00",342.5,335.0
342.5,59045250.0,330.0,"Aug 06, 2009 00:00:00",342.5,327.5
325.0,88201975.0,317.5,"Aug 07, 2009 00:00:00",330.0,317.5
327.5,42889725.0,325.0,"Aug 10, 2009 00:00:00",330.0,322.5
325.0,29614800.0,327.5,"Aug 11, 2009 00:00:00",327.5,325.0
327.5,19984125.0,317.5,"Aug 12, 2009 00:00:00",327.5,317.5
315.0,12308475.0,322.5,"Aug 13, 2009 00:00:00",325.0,315.0
325.0,27154975.0,325.0,"Aug 14, 2009 00:00:00",327.5,322.5
322.5,18169425.0,317.5,"Aug 17, 2009 00:00:00",325.0,317.5
317.5,4988475.0,317.5,"Aug 18, 2009 00:00:00",320.0,312.5
322.5,18371475.0,322.5,"Aug 19, 2009 00:00:00",322.5,317.5
322.5,75758350.0,312.5,"Aug 20, 2009 00:00:00",322.5,312.5
320.0,153258325.0,330.0,"Aug 24, 2009 00:00:00",332.5,320.0
330.0,73792350.0,325.0,"Aug 25, 2009 00:00:00",330.0,325.0
325.0,74377800.0,327.5,"Aug 26, 2009 00:00:00",327.5,325.0
320.0,31267625.0,320.0,"Sep 03, 2009 00:00:00",320.0,315.0
320.0,37203025.0,322.5,"Sep 04, 2009 00:00:00",322.5,320.0
317.5,32052225.0,317.5,"Sep 16, 2009 00:00:00",320.0,317.5
320.0,98230550.0,322.5,"Sep 17, 2009 00:00:00",322.5,320.0
322.5,120132875.0,322.5,"Sep 18, 2009 00:00:00",322.5,320.0
322.5,66465675.0,325.0,"Sep 22, 2009 00:00:00",325.0,320.0
325.0,158759200.0,327.5,"Sep 23, 2009 00:00:00",327.5,325.0
325.0,96308900.0,325.0,"Sep 30, 2009 00:00:00",325.0,322.5
325.0,32997500.0,325.0,"Oct 01, 2009 00:00:00",327.5,325.0
325.0,82873725.0,327.5,"Oct 02, 2009 00:00:00",327.5,322.5
325.0,71339975.0,325.0,"Oct 05, 2009 00:00:00",327.5,325.0
327.5,179572700.0,325.0,"Oct 06, 2009 00:00:00",327.5,325.0
327.5,134648900.0,325.0,"Oct 07, 2009 00:00:00",327.5,325.0
325.0,304803725.0,325.0,"Oct 08, 2009 00:00:00",327.5,322.5
325.0,33505025.0,322.5,"Oct 09, 2009 00:00:00",325.0,322.5
325.0,2020750.0,322.5,"Oct 12, 2009 00:00:00",325.0,320.0
325.0,75992275.0,325.0,"Oct 13, 2009 00:00:00",325.0,322.5
322.5,201664675.0,322.5,"Oct 14, 2009 00:00:00",322.5,317.5
322.5,41990250.0,322.5,"Oct 15, 2009 00:00:00",322.5,320.0
322.5,28893025.0,320.0,"Oct 16, 2009 00:00:00",322.5,320.0
322.5,103398875.0,317.5,"Oct 19, 2009 00:00:00",322.5,317.5
320.0,522488650.0,315.0,"Oct 20, 2009 00:00:00",320.0,315.0
315.0,195793575.0,300.0,"Oct 21, 2009 00:00:00",315.0,300.0
295.0,999491125.0,295.0,"Oct 22, 2009 00:00:00",297.5,290.0
300.0,358548100.0,307.5,"Oct 23, 2009 00:00:00",310.0,300.0
307.5,59111775.0,315.0,"Oct 26, 2009 00:00:00",315.0,307.5
312.5,76831150.0,320.0,"Oct 27, 2009 00:00:00",320.0,312.5
317.5,88080475.0,317.5,"Oct 28, 2009 00:00:00",320.0,315.0
315.0,24641650.0,315.0,"Oct 29, 2009 00:00:00",315.0,312.5
320.0,84340150.0,315.0,"Oct 30, 2009 00:00:00",325.0,307.5
315.0,537184525.0,305.0,"Nov 03, 2009 00:00:00",315.0,305.0
307.5,26646325.0,310.0,"Nov 04, 2009 00:00:00",310.0,305.0
315.0,12333500.0,312.5,"Nov 05, 2009 00:00:00",315.0,307.5
315.0,8174850.0,315.0,"Nov 06, 2009 00:00:00",315.0,310.0
317.5,40392700.0,315.0,"Nov 09, 2009 00:00:00",317.5,315.0
320.0,31457250.0,320.0,"Nov 10, 2009 00:00:00",320.0,317.5
320.0,500580700.0,325.0,"Nov 11, 2009 00:00:00",325.0,320.0
312.5,108918825.0,307.5,"Dec 15, 2009 00:00:00",312.5,305.0
305.0,523426000.0,302.5,"Dec 16, 2009 00:00:00",305.0,300.0
305.0,63720875.0,310.0,"Dec 17, 2009 00:00:00",310.0,300.0
305.0,486735825.0,312.5,"Dec 18, 2009 00:00:00",315.0,305.0
317.5,265107750.0,315.0,"Dec 21, 2009 00:00:00",317.5,312.5
315.0,485293050.0,315.0,"Dec 22, 2009 00:00:00",315.0,312.5
317.5,109405875.0,322.5,"Dec 23, 2009 00:00:00",325.0,315.0
327.5,59810825.0,325.0,"Dec 29, 2009 00:00:00",327.5,325.0
327.5,124975700.0,325.0,"Jan 04, 2010 00:00:00",327.5,322.5
325.0,39927025.0,320.0,"Jan 05, 2010 00:00:00",325.0,320.0
322.5,28541100.0,325.0,"Jan 06, 2010 00:00:00",325.0,320.0
325.0,56362300.0,322.5,"Jan 07, 2010 00:00:00",325.0,322.5
325.0,71586500.0,325.0,"Jan 08, 2010 00:00:00",327.5,322.5
325.0,107111325.0,327.5,"Jan 11, 2010 00:00:00",327.5,322.5
327.5,47260850.0,325.0,"Jan 12, 2010 00:00:00",327.5,325.0
327.5,82118075.0,325.0,"Jan 13, 2010 00:00:00",327.5,322.5
327.5,851525.0,325.0,"Jan 14, 2010 00:00:00",327.5,325.0
325.0,464305675.0,325.0,"Jan 15, 2010 00:00:00",325.0,320.0
322.5,12578925.0,322.5,"Jan 18, 2010 00:00:00",325.0,322.5
