OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
64.0,10776400.0,65.0,"Aug 03, 2009 00:00:00",65.0,63.0
66.0,6548900.0,65.5,"Aug 04, 2009 00:00:00",66.0,65.0
65.0,7841000.0,66.0,"Aug 06, 2009 00:00:00",66.0,65.0
66.5,5288250.0,65.0,"Aug 07, 2009 00:00:00",66.5,65.0
65.0,7557100.0,65.0,"Aug 10, 2009 00:00:00",65.5,64.5
64.0,10800150.0,65.0,"Aug 11, 2009 00:00:00",65.5,64.0
65.0,6230850.0,65.0,"Aug 12, 2009 00:00:00",65.5,64.5
65.0,5882500.0,65.0,"Aug 13, 2009 00:00:00",65.0,65.0
64.5,4045100.0,65.5,"Aug 14, 2009 00:00:00",65.5,64.5
64.5,7697000.0,65.0,"Aug 17, 2009 00:00:00",65.0,64.0
63.5,6567400.0,64.0,"Aug 18, 2009 00:00:00",64.0,63.0
64.0,9988500.0,64.0,"Aug 19, 2009 00:00:00",64.5,63.5
64.0,8037300.0,64.0,"Aug 20, 2009 00:00:00",64.5,63.5
65.0,7501500.0,65.0,"Aug 24, 2009 00:00:00",65.5,65.0
65.0,4022150.0,65.5,"Aug 25, 2009 00:00:00",65.5,65.0
65.0,4095000.0,65.0,"Aug 26, 2009 00:00:00",65.0,65.0
64.5,14975850.0,65.0,"Sep 03, 2009 00:00:00",65.5,64.0
65.5,14958700.0,66.0,"Sep 04, 2009 00:00:00",66.5,65.5
66.5,18379400.0,66.5,"Sep 16, 2009 00:00:00",67.0,66.5
67.0,31318200.0,67.0,"Sep 17, 2009 00:00:00",67.5,67.0
67.5,41625300.0,68.5,"Sep 18, 2009 00:00:00",69.0,67.5
68.5,19082600.0,68.0,"Sep 22, 2009 00:00:00",69.5,67.5
67.5,9257800.0,67.5,"Sep 23, 2009 00:00:00",67.5,67.0
66.0,7750450.0,66.0,"Sep 30, 2009 00:00:00",66.5,66.0
66.0,4672850.0,66.0,"Oct 01, 2009 00:00:00",66.0,65.0
65.5,3943100.0,65.5,"Oct 02, 2009 00:00:00",65.5,65.5
66.0,7647600.0,66.0,"Oct 05, 2009 00:00:00",67.5,66.0
66.0,2679600.0,66.0,"Oct 06, 2009 00:00:00",66.0,66.0
66.0,4565100.0,65.5,"Oct 07, 2009 00:00:00",66.0,65.5
65.5,923550.0,65.5,"Oct 08, 2009 00:00:00",65.5,65.5
65.5,2580700.0,65.5,"Oct 09, 2009 00:00:00",65.5,65.5
65.5,6569250.0,65.5,"Oct 12, 2009 00:00:00",65.5,65.0
65.0,6111200.0,65.5,"Oct 13, 2009 00:00:00",66.0,65.0
65.5,5968650.0,66.0,"Oct 14, 2009 00:00:00",66.5,65.5
66.0,1260600.0,66.0,"Oct 15, 2009 00:00:00",66.0,66.0
66.0,6771600.0,66.5,"Oct 16, 2009 00:00:00",66.5,65.5
66.0,2225800.0,66.5,"Oct 19, 2009 00:00:00",66.5,66.0
66.5,2670350.0,66.0,"Oct 20, 2009 00:00:00",66.5,65.5
65.5,5121600.0,66.0,"Oct 21, 2009 00:00:00",66.0,65.5
65.5,1900500.0,66.0,"Oct 22, 2009 00:00:00",66.0,65.5
66.0,5381400.0,66.0,"Oct 23, 2009 00:00:00",66.0,65.5
65.5,1395900.0,66.0,"Oct 26, 2009 00:00:00",66.0,65.5
65.5,13547400.0,66.0,"Oct 27, 2009 00:00:00",66.5,65.0
66.0,1509650.0,66.0,"Oct 28, 2009 00:00:00",66.0,65.5
65.5,1724500.0,65.5,"Oct 29, 2009 00:00:00",65.5,65.0
63.0,1428250.0,65.5,"Oct 30, 2009 00:00:00",65.5,63.0
66.0,1728700.0,65.0,"Nov 03, 2009 00:00:00",66.0,65.0
65.0,2565500.0,64.5,"Nov 04, 2009 00:00:00",65.0,64.5
64.0,8156900.0,66.5,"Nov 05, 2009 00:00:00",67.0,64.0
66.5,7125500.0,66.5,"Nov 06, 2009 00:00:00",66.5,65.5
65.5,2493550.0,65.0,"Nov 09, 2009 00:00:00",65.5,65.0
65.0,7527300.0,65.5,"Nov 10, 2009 00:00:00",65.5,65.0
65.5,5569650.0,65.5,"Nov 11, 2009 00:00:00",65.5,65.0
69.0,4309300.0,69.0,"Dec 15, 2009 00:00:00",69.0,68.5
68.5,3022300.0,68.5,"Dec 16, 2009 00:00:00",69.0,68.5
68.5,1356300.0,68.5,"Dec 17, 2009 00:00:00",68.5,68.5
68.5,8895850.0,68.5,"Dec 18, 2009 00:00:00",68.5,68.0
68.5,363050.0,68.5,"Dec 21, 2009 00:00:00",68.5,68.5
68.5,7679500.0,68.5,"Dec 22, 2009 00:00:00",68.5,68.0
68.5,1890600.0,68.5,"Dec 23, 2009 00:00:00",68.5,68.5
68.5,2074900.0,68.5,"Dec 29, 2009 00:00:00",69.0,68.5
69.0,3610900.0,68.0,"Jan 04, 2010 00:00:00",69.0,68.0
68.0,4797550.0,67.5,"Jan 05, 2010 00:00:00",68.0,67.5
67.5,5399050.0,67.0,"Jan 06, 2010 00:00:00",67.5,66.5
70.5,44930300.0,72.0,"Jan 07, 2010 00:00:00",72.0,70.5
72.0,20224950.0,72.0,"Jan 08, 2010 00:00:00",72.5,72.0
72.0,15026400.0,72.0,"Jan 11, 2010 00:00:00",72.0,72.0
72.0,4291250.0,72.5,"Jan 12, 2010 00:00:00",72.5,72.0
72.5,15156250.0,72.0,"Jan 13, 2010 00:00:00",72.5,72.0
72.0,37382400.0,72.0,"Jan 14, 2010 00:00:00",72.0,72.0
72.0,6192000.0,72.0,"Jan 15, 2010 00:00:00",72.0,72.0
72.0,13377600.0,72.0,"Jan 18, 2010 00:00:00",72.0,72.0
72.0,7672800.0,71.5,"Jan 19, 2010 00:00:00",72.0,71.5
71.5,3649400.0,71.5,"Jan 20, 2010 00:00:00",72.0,71.5
72.0,6331000.0,72.0,"Jan 21, 2010 00:00:00",72.0,71.5
72.0,9640150.0,72.0,"Jan 22, 2010 00:00:00",72.0,71.5
71.5,33447700.0,71.5,"Jan 25, 2010 00:00:00",71.5,71.5
72.0,26056350.0,71.5,"Jan 26, 2010 00:00:00",72.0,71.5
71.5,593450.0,71.5,"Jan 27, 2010 00:00:00",71.5,71.5
71.5,5820100.0,71.5,"Jan 28, 2010 00:00:00",71.5,71.5
71.0,3523000.0,71.5,"Jan 29, 2010 00:00:00",71.5,71.0
71.0,16159700.0,71.0,"Feb 01, 2010 00:00:00",71.5,71.0
71.0,4011850.0,70.5,"Feb 02, 2010 00:00:00",71.0,70.5
71.0,8621650.0,71.5,"Feb 03, 2010 00:00:00",71.5,71.0
71.5,2638350.0,71.5,"Feb 04, 2010 00:00:00",71.5,71.5
71.5,13072600.0,71.0,"Feb 05, 2010 00:00:00",71.5,71.0
71.5,19477800.0,71.0,"Feb 08, 2010 00:00:00",71.5,71.0
71.0,21126100.0,70.0,"Feb 09, 2010 00:00:00",71.0,70.0
70.0,22149000.0,70.0,"Feb 10, 2010 00:00:00",71.0,70.0
70.0,15400250.0,70.5,"Feb 11, 2010 00:00:00",70.5,70.0
71.0,16904600.0,71.0,"Mar 08, 2010 00:00:00",71.5,71.0
74.0,28580300.0,73.5,"Mar 12, 2010 00:00:00",74.0,73.5
74.0,14733200.0,74.0,"Mar 15, 2010 00:00:00",74.5,74.0
74.0,8406400.0,74.0,"Mar 16, 2010 00:00:00",74.0,74.0
74.0,3574200.0,74.0,"Mar 17, 2010 00:00:00",74.0,74.0
74.0,2890350.0,74.0,"Mar 31, 2010 00:00:00",74.0,73.5
74.5,2255300.0,74.0,"Apr 20, 2010 00:00:00",75.0,74.0
74.0,2123800.0,74.0,"Apr 21, 2010 00:00:00",74.0,74.0
74.0,868300.0,73.5,"Apr 22, 2010 00:00:00",74.0,73.5
74.0,2186950.0,73.5,"Apr 23, 2010 00:00:00",74.0,73.5
74.0,3032500.0,73.5,"Apr 29, 2010 00:00:00",74.0,73.5
73.5,8019700.0,74.0,"Apr 30, 2010 00:00:00",74.0,73.5
73.5,2829750.0,73.5,"May 04, 2010 00:00:00",73.5,73.5
73.5,7901050.0,73.5,"May 05, 2010 00:00:00",73.5,73.0
73.5,352800.0,73.5,"May 13, 2010 00:00:00",73.5,73.5
73.5,10642800.0,73.5,"May 14, 2010 00:00:00",73.5,73.5
73.5,3939200.0,73.0,"May 17, 2010 00:00:00",73.5,73.0
73.5,3391800.0,73.0,"May 18, 2010 00:00:00",73.5,73.0
72.5,3192150.0,72.0,"May 19, 2010 00:00:00",73.0,72.0
72.5,500250.0,72.5,"May 20, 2010 00:00:00",72.5,72.5
72.5,3657700.0,72.0,"May 21, 2010 00:00:00",72.5,72.0
72.0,2522300.0,71.0,"May 24, 2010 00:00:00",72.0,71.0
71.0,3692650.0,70.5,"May 25, 2010 00:00:00",71.5,70.0
70.0,2006300.0,70.0,"May 26, 2010 00:00:00",70.5,69.5
70.0,792900.0,70.5,"May 27, 2010 00:00:00",70.5,70.0
71.0,4890050.0,72.5,"May 28, 2010 00:00:00",72.5,69.5
72.0,7132050.0,74.0,"May 31, 2010 00:00:00",74.0,72.0
74.0,999000.0,74.0,"Jun 01, 2010 00:00:00",74.0,74.0
74.0,855750.0,74.0,"Jun 02, 2010 00:00:00",74.0,73.5
74.0,1702000.0,74.0,"Jun 03, 2010 00:00:00",74.0,73.5
74.0,807650.0,73.5,"Jun 04, 2010 00:00:00",74.0,73.0
73.5,2703750.0,73.0,"Jun 07, 2010 00:00:00",73.5,72.0
73.0,1796250.0,72.5,"Jun 08, 2010 00:00:00",73.0,72.5
72.5,422650.0,72.5,"Jun 09, 2010 00:00:00",73.0,72.5
72.5,1655850.0,72.5,"Jun 10, 2010 00:00:00",72.5,72.0
72.5,1172500.0,72.5,"Jun 11, 2010 00:00:00",73.5,72.5
72.5,217500.0,72.5,"Jun 15, 2010 00:00:00",72.5,72.5
72.5,319000.0,72.5,"Jun 16, 2010 00:00:00",72.5,72.5
71.0,28496500.0,71.0,"Jun 21, 2010 00:00:00",71.0,70.5
71.0,3263300.0,71.0,"Jun 22, 2010 00:00:00",71.0,70.5
71.0,1227900.0,70.5,"Jun 23, 2010 00:00:00",71.0,70.5
70.5,2564400.0,70.0,"Jun 24, 2010 00:00:00",71.0,70.0
70.0,4410000.0,70.0,"Jun 25, 2010 00:00:00",70.0,70.0
70.0,2650900.0,70.0,"Jun 28, 2010 00:00:00",70.0,69.5
70.0,3491250.0,70.0,"Jun 29, 2010 00:00:00",71.0,70.0
70.0,454950.0,70.0,"Jul 01, 2010 00:00:00",70.0,69.5
69.5,2173900.0,69.0,"Jul 02, 2010 00:00:00",69.5,69.0
68.5,2783250.0,68.0,"Jul 06, 2010 00:00:00",68.5,68.0
68.0,1335650.0,67.5,"Jul 07, 2010 00:00:00",68.0,67.5
67.5,2206800.0,67.5,"Jul 08, 2010 00:00:00",68.0,67.0
67.5,2177550.0,67.0,"Jul 09, 2010 00:00:00",68.0,67.0
68.0,4205700.0,68.0,"Jul 13, 2010 00:00:00",68.5,68.0
68.0,2361600.0,69.0,"Jul 14, 2010 00:00:00",69.5,68.0
69.0,8347650.0,68.5,"Jul 15, 2010 00:00:00",69.0,67.5
68.0,3188900.0,68.0,"Jul 16, 2010 00:00:00",68.0,67.5
68.0,2479000.0,68.0,"Jul 19, 2010 00:00:00",68.0,67.5
68.0,749950.0,67.5,"Jul 20, 2010 00:00:00",68.0,67.5
67.5,2193750.0,67.5,"Jul 21, 2010 00:00:00",67.5,67.5
67.5,3938800.0,67.0,"Jul 22, 2010 00:00:00",67.5,67.0
67.5,10120550.0,67.5,"Jul 23, 2010 00:00:00",67.5,67.0
72.0,31970808.0,72.5,"Sep 20, 2010 00:00:00",73.9,72.0
72.5,10541109.0,72.1,"Sep 21, 2010 00:00:00",72.5,72.0
72.3,5229088.5,71.6,"Sep 22, 2010 00:00:00",72.3,71.5
72.0,5419850.0,72.0,"Sep 23, 2010 00:00:00",72.0,71.6
72.0,6733976.0,72.5,"Sep 24, 2010 00:00:00",72.5,71.7
72.5,14122306.0,73.0,"Sep 27, 2010 00:00:00",73.3,72.5
73.1,11907197.0,73.5,"Sep 28, 2010 00:00:00",74.0,72.5
74.0,57316449.5,74.8,"Sep 29, 2010 00:00:00",75.0,74.0
74.8,15053259.5,73.9,"Sep 30, 2010 00:00:00",74.9,73.5
73.5,5768426.0,74.0,"Oct 01, 2010 00:00:00",74.25,73.5
73.95,16356997.0,74.1,"Oct 04, 2010 00:00:00",75.1,73.95
74.15,5118113.5,74.1,"Oct 05, 2010 00:00:00",74.2,74.0
74.25,7517576.5,74.1,"Oct 06, 2010 00:00:00",74.4,74.1
74.0,6149290.5,73.8,"Oct 07, 2010 00:00:00",74.15,73.8
73.8,10118387.0,74.2,"Oct 08, 2010 00:00:00",74.3,73.8
75.0,16485712.5,74.95,"Oct 12, 2010 00:00:00",75.0,74.55
74.9,8667602.5,74.5,"Oct 13, 2010 00:00:00",74.95,74.5
74.7,5183859.5,74.75,"Oct 14, 2010 00:00:00",74.8,74.5
74.95,3798154.5,74.4,"Oct 15, 2010 00:00:00",74.95,74.4
74.4,2753415.0,74.3,"Oct 18, 2010 00:00:00",74.4,74.1
74.0,4938514.5,74.05,"Oct 19, 2010 00:00:00",74.25,74.0
74.6,1932462.0,74.3,"Oct 20, 2010 00:00:00",74.6,74.05
74.2,5573324.0,74.7,"Oct 21, 2010 00:00:00",74.75,74.1
74.6,4758885.0,74.5,"Oct 22, 2010 00:00:00",74.7,74.5
74.65,52706495.0,78.5,"Oct 26, 2010 00:00:00",78.5,74.65
80.5,132254326.0,88.2,"Oct 27, 2010 00:00:00",92.0,80.5
88.0,32411415.0,83.5,"Oct 28, 2010 00:00:00",89.5,83.5
83.0,26170090.0,81.95,"Oct 29, 2010 00:00:00",83.0,80.0
82.0,35336985.5,84.0,"Nov 02, 2010 00:00:00",84.0,82.0
84.0,56073002.5,88.1,"Nov 03, 2010 00:00:00",90.0,84.0
89.95,145505269.5,92.0,"Nov 04, 2010 00:00:00",94.0,88.0
101.0,128339318.0,100.0,"Nov 08, 2010 00:00:00",106.0,99.7
100.0,112940221.5,99.0,"Nov 09, 2010 00:00:00",100.0,95.0
98.0,50589170.0,96.0,"Nov 10, 2010 00:00:00",98.0,95.0
96.0,39870534.5,96.0,"Nov 11, 2010 00:00:00",99.0,94.5
99.0,51856173.0,96.3,"Nov 12, 2010 00:00:00",99.0,93.0
96.4,73463894.0,99.0,"Nov 15, 2010 00:00:00",99.5,96.4
98.0,58779374.0,99.7,"Nov 17, 2010 00:00:00",100.0,98.0
100.0,163964783.0,105.0,"Nov 18, 2010 00:00:00",105.0,99.75
107.5,296179090.0,114.2,"Nov 19, 2010 00:00:00",119.5,107.1
118.1,94316919.0,118.0,"Nov 22, 2010 00:00:00",121.0,116.5
119.8,183417212.0,123.0,"Nov 23, 2010 00:00:00",123.2,117.5
121.0,145216432.0,117.8,"Nov 24, 2010 00:00:00",124.9,115.0
123.1,86604993.0,120.9,"Nov 25, 2010 00:00:00",125.0,119.5
121.1,70697716.0,120.9,"Nov 26, 2010 00:00:00",125.0,119.2
120.9,68937085.0,119.9,"Nov 30, 2010 00:00:00",120.9,115.0
119.9,64100903.0,116.9,"Dec 01, 2010 00:00:00",120.0,115.2
118.0,158493219.0,119.9,"Dec 02, 2010 00:00:00",119.9,116.9
120.5,82090443.0,121.3,"Dec 03, 2010 00:00:00",124.8,120.5
122.2,57476004.0,121.9,"Dec 06, 2010 00:00:00",123.4,121.5
123.0,73644050.0,122.0,"Dec 07, 2010 00:00:00",124.8,121.6
122.9,153773501.0,129.0,"Dec 08, 2010 00:00:00",129.0,122.6
136.0,26817680.0,133.7,"Dec 16, 2010 00:00:00",136.5,132.0
149.0,76161949.0,146.4,"Dec 22, 2010 00:00:00",150.0,145.0
147.0,54298483.0,146.5,"Dec 23, 2010 00:00:00",149.0,146.0
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
147.3,171485194.0,158.5,"Dec 28, 2010 00:00:00",160.5,147.3
162.0,122079598.0,167.2,"Dec 29, 2010 00:00:00",167.4,162.0
162.0,122079598.0,167.2,"Dec 29, 2010 00:00:00",167.4,162.0
168.9,183459970.0,185.0,"Jan 03, 2011 00:00:00",186.5,165.6
168.9,183459970.0,185.0,"Jan 03, 2011 00:00:00",186.5,165.6
168.9,183459970.0,185.0,"Jan 03, 2011 00:00:00",186.5,165.6
188.0,188995769.0,176.0,"Jan 04, 2011 00:00:00",189.5,174.0
179.0,122940031.0,175.0,"Jan 05, 2011 00:00:00",179.0,168.1
175.0,75044247.0,171.3,"Jan 06, 2011 00:00:00",177.0,169.5
171.1,143090067.0,173.1,"Jan 07, 2011 00:00:00",176.7,171.0
174.0,176467904.0,174.0,"Jan 10, 2011 00:00:00",174.5,165.0
175.0,149407984.0,170.0,"Jan 11, 2011 00:00:00",178.0,169.0
175.0,149407984.0,170.0,"Jan 11, 2011 00:00:00",178.0,169.0
171.1,214824082.0,180.2,"Jan 12, 2011 00:00:00",183.0,169.1
185.5,182584872.0,182.5,"Jan 13, 2011 00:00:00",186.5,182.5
182.0,133456466.0,181.3,"Jan 14, 2011 00:00:00",189.0,172.0
180.0,56362279.0,180.0,"Jan 17, 2011 00:00:00",183.0,178.0
178.0,148585234.0,169.0,"Jan 18, 2011 00:00:00",181.0,168.0
172.3,108670532.0,169.9,"Jan 19, 2011 00:00:00",172.3,161.0
172.3,108670532.0,169.9,"Jan 19, 2011 00:00:00",172.3,161.0
169.5,31948349.0,169.5,"Jan 20, 2011 00:00:00",173.0,164.0
169.5,31948349.0,169.5,"Jan 20, 2011 00:00:00",173.0,164.0
166.0,158338722.0,152.5,"Jan 24, 2011 00:00:00",166.0,150.0
157.0,126964777.0,160.5,"Jan 25, 2011 00:00:00",161.0,155.0
160.0,79018218.0,160.5,"Jan 26, 2011 00:00:00",160.5,157.0
180.0,482742190.0,178.0,"Jan 27, 2011 00:00:00",184.0,175.0
179.9,183642528.0,178.0,"Jan 28, 2011 00:00:00",182.0,176.0
179.9,183642528.0,178.0,"Jan 28, 2011 00:00:00",182.0,176.0
174.0,93667079.0,168.8,"Jan 31, 2011 00:00:00",174.0,167.7
174.0,93667079.0,168.8,"Jan 31, 2011 00:00:00",174.0,167.7
170.0,91595807.0,163.0,"Feb 01, 2011 00:00:00",173.0,162.7
170.0,91595807.0,163.0,"Feb 01, 2011 00:00:00",173.0,162.7
168.8,38917293.0,168.5,"Feb 02, 2011 00:00:00",169.9,164.5
169.0,186918477.0,179.2,"Feb 03, 2011 00:00:00",179.5,169.0
179.9,29740827.0,179.6,"Feb 14, 2011 00:00:00",179.9,179.0
177.4,101066133.0,177.5,"Feb 16, 2011 00:00:00",177.9,174.5
177.4,101066133.0,177.5,"Feb 16, 2011 00:00:00",177.9,174.5
177.5,282271431.0,177.5,"Feb 17, 2011 00:00:00",177.5,170.4
177.4,39859364.0,177.5,"Feb 18, 2011 00:00:00",177.5,175.1
177.4,69015923.0,175.0,"Feb 21, 2011 00:00:00",177.4,174.0
177.4,69015923.0,175.0,"Feb 21, 2011 00:00:00",177.4,174.0
173.9,54242395.0,172.5,"Feb 22, 2011 00:00:00",174.9,171.0
173.9,54242395.0,172.5,"Feb 22, 2011 00:00:00",174.9,171.0
171.5,142164518.0,170.0,"Feb 23, 2011 00:00:00",172.0,169.0
171.5,142164518.0,170.0,"Feb 23, 2011 00:00:00",172.0,169.0
