OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.8,1269720.0,1.96,"Aug 03, 2009 00:00:00",1.96,1.8
1.98,913000.0,1.88,"Aug 04, 2009 00:00:00",2.0,1.88
1.78,350520.0,1.82,"Aug 06, 2009 00:00:00",1.88,1.78
1.82,363600.0,1.8,"Aug 07, 2009 00:00:00",1.82,1.8
1.82,1667760.0,1.88,"Aug 10, 2009 00:00:00",1.9,1.82
1.9,396200.0,1.88,"Aug 11, 2009 00:00:00",1.9,1.88
1.88,178600.0,1.88,"Aug 12, 2009 00:00:00",1.88,1.88
1.88,131600.0,1.88,"Aug 13, 2009 00:00:00",1.88,1.88
1.88,26320.0,1.88,"Aug 14, 2009 00:00:00",1.88,1.88
1.86,364800.0,1.82,"Aug 17, 2009 00:00:00",1.86,1.82
1.84,349720.0,1.86,"Aug 18, 2009 00:00:00",1.86,1.84
1.84,414680.0,1.84,"Aug 19, 2009 00:00:00",1.84,1.82
1.8,470400.0,1.84,"Aug 20, 2009 00:00:00",1.84,1.8
1.86,463740.0,1.88,"Aug 24, 2009 00:00:00",1.88,1.86
1.88,1052200.0,1.9,"Aug 25, 2009 00:00:00",1.9,1.88
1.9,180080.0,1.92,"Aug 26, 2009 00:00:00",1.92,1.9
1.96,3239400.0,2.04,"Sep 03, 2009 00:00:00",2.12,1.96
2.14,2065960.0,2.08,"Sep 04, 2009 00:00:00",2.14,2.08
2.0,416820.0,1.98,"Sep 16, 2009 00:00:00",2.0,1.98
1.98,1340400.0,1.96,"Sep 17, 2009 00:00:00",1.98,1.96
2.0,798000.0,1.98,"Sep 18, 2009 00:00:00",2.0,1.98
1.96,842800.0,1.96,"Sep 22, 2009 00:00:00",1.96,1.96
1.96,719760.0,1.94,"Sep 23, 2009 00:00:00",1.96,1.94
1.94,19400.0,1.94,"Sep 30, 2009 00:00:00",1.94,1.94
1.92,380400.0,1.9,"Oct 01, 2009 00:00:00",1.92,1.9
1.9,206960.0,1.92,"Oct 02, 2009 00:00:00",1.92,1.9
1.94,811460.0,1.98,"Oct 06, 2009 00:00:00",2.0,1.94
1.96,15680.0,1.96,"Oct 07, 2009 00:00:00",1.96,1.96
1.92,48000.0,1.92,"Oct 08, 2009 00:00:00",1.92,1.92
1.98,542340.0,1.92,"Oct 09, 2009 00:00:00",1.98,1.92
1.9,95000.0,1.9,"Oct 12, 2009 00:00:00",1.9,1.9
1.84,184000.0,1.84,"Oct 15, 2009 00:00:00",1.84,1.84
1.9,664320.0,1.96,"Oct 16, 2009 00:00:00",1.96,1.9
1.88,7520.0,1.88,"Oct 21, 2009 00:00:00",1.88,1.88
1.86,461600.0,1.82,"Oct 26, 2009 00:00:00",1.86,1.82
1.84,57040.0,1.88,"Oct 27, 2009 00:00:00",1.88,1.82
1.74,854520.0,1.84,"Oct 30, 2009 00:00:00",1.84,1.74
1.7,170000.0,1.7,"Nov 03, 2009 00:00:00",1.7,1.7
1.68,33600.0,1.68,"Nov 04, 2009 00:00:00",1.68,1.68
1.74,100320.0,1.78,"Nov 05, 2009 00:00:00",1.78,1.74
1.8,36200.0,1.82,"Nov 06, 2009 00:00:00",1.82,1.8
1.8,719920.0,1.84,"Nov 09, 2009 00:00:00",1.84,1.8
1.84,510800.0,1.78,"Nov 10, 2009 00:00:00",1.84,1.78
