OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.0,10000.0,1.0,"Aug 13, 2009 00:00:00",1.0,1.0
0.73,7300.0,0.73,"Oct 08, 2009 00:00:00",0.73,0.73
0.88,71100.0,0.89,"Oct 14, 2009 00:00:00",0.89,0.88
0.92,156400.0,0.92,"Oct 22, 2009 00:00:00",0.92,0.92
0.91,154700.0,0.91,"Oct 26, 2009 00:00:00",0.91,0.91
1.0,40000.0,1.0,"Oct 27, 2009 00:00:00",1.0,1.0
0.92,9200.0,0.92,"Oct 28, 2009 00:00:00",0.92,0.92
1.0,10000.0,1.0,"Nov 11, 2009 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 16, 2009 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 21, 2009 00:00:00",1.0,1.0
1.0,30000.0,1.0,"Jan 21, 2010 00:00:00",1.0,1.0
1.1,11000.0,1.1,"Jan 22, 2010 00:00:00",1.1,1.1
0.82,820.0,0.82,"Jan 25, 2010 00:00:00",0.82,0.82
0.91,9100.0,0.91,"Feb 05, 2010 00:00:00",0.91,0.91
0.91,18200.0,0.91,"Feb 09, 2010 00:00:00",0.91,0.91
1.0,39600.0,1.0,"Apr 29, 2010 00:00:00",1.0,0.98
1.0,10000.0,1.0,"Apr 30, 2010 00:00:00",1.0,1.0
0.98,109800.0,1.0,"May 04, 2010 00:00:00",1.0,0.98
0.98,9800.0,0.98,"May 13, 2010 00:00:00",0.98,0.98
0.98,19600.0,0.98,"May 19, 2010 00:00:00",0.98,0.98
0.99,9900.0,0.99,"May 24, 2010 00:00:00",0.99,0.99
0.99,9900.0,0.99,"Jun 11, 2010 00:00:00",0.99,0.99
0.98,58800.0,0.98,"Jun 15, 2010 00:00:00",0.98,0.98
1.06,50880.0,1.06,"Jun 21, 2010 00:00:00",1.06,1.06
1.06,10600.0,1.06,"Jun 22, 2010 00:00:00",1.06,1.06
1.02,33720.0,0.99,"Jun 23, 2010 00:00:00",1.02,0.99
0.98,29400.0,0.98,"Jul 08, 2010 00:00:00",0.98,0.98
0.9,9000.0,0.9,"Jul 19, 2010 00:00:00",0.9,0.9
0.9,18000.0,0.9,"Jul 22, 2010 00:00:00",0.9,0.9
0.91,6370.0,0.91,"Sep 21, 2010 00:00:00",0.91,0.91
0.92,6440.0,0.92,"Sep 22, 2010 00:00:00",0.92,0.92
0.91,15340.0,0.91,"Sep 27, 2010 00:00:00",0.91,0.9
0.95,9600.0,1.0,"Sep 29, 2010 00:00:00",1.0,0.95
0.98,2940.0,0.98,"Oct 06, 2010 00:00:00",0.98,0.98
0.99,1980.0,0.99,"Oct 15, 2010 00:00:00",0.99,0.99
0.99,30690.0,0.99,"Oct 18, 2010 00:00:00",0.99,0.99
0.99,129150.0,0.98,"Oct 19, 2010 00:00:00",0.99,0.98
1.0,2000.0,1.0,"Oct 26, 2010 00:00:00",1.0,1.0
0.98,980.0,0.98,"Oct 29, 2010 00:00:00",0.98,0.98
1.08,10800.0,1.08,"Nov 03, 2010 00:00:00",1.08,1.08
1.0,3000.0,1.0,"Nov 04, 2010 00:00:00",1.0,1.0
1.0,41000.0,1.0,"Nov 09, 2010 00:00:00",1.0,1.0
1.12,26880.0,1.12,"Nov 26, 2010 00:00:00",1.12,1.12
0.92,23920.0,0.92,"Dec 22, 2010 00:00:00",0.92,0.92
0.97,39770.0,0.97,"Dec 23, 2010 00:00:00",0.97,0.97
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,10000.0,1.0,"Dec 28, 2010 00:00:00",1.0,1.0
1.0,11000.0,1.0,"Dec 29, 2010 00:00:00",1.0,1.0
1.0,11000.0,1.0,"Dec 29, 2010 00:00:00",1.0,1.0
1.05,8400.0,1.05,"Jan 03, 2011 00:00:00",1.05,1.05
1.05,8400.0,1.05,"Jan 03, 2011 00:00:00",1.05,1.05
1.05,8400.0,1.05,"Jan 03, 2011 00:00:00",1.05,1.05
