OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.51,201600.0,0.5,"Aug 03, 2009 00:00:00",0.51,0.5
0.49,84300.0,0.5,"Aug 04, 2009 00:00:00",0.5,0.49
0.47,4700.0,0.47,"Aug 06, 2009 00:00:00",0.47,0.47
0.47,133600.0,0.48,"Aug 07, 2009 00:00:00",0.48,0.47
0.47,28200.0,0.47,"Aug 10, 2009 00:00:00",0.47,0.47
0.47,211500.0,0.47,"Aug 11, 2009 00:00:00",0.47,0.47
0.46,23000.0,0.46,"Aug 12, 2009 00:00:00",0.46,0.46
0.48,52800.0,0.48,"Aug 13, 2009 00:00:00",0.48,0.48
0.47,42300.0,0.47,"Aug 14, 2009 00:00:00",0.47,0.47
0.46,745900.0,0.44,"Aug 19, 2009 00:00:00",0.46,0.44
0.45,112500.0,0.45,"Aug 20, 2009 00:00:00",0.45,0.45
0.45,216000.0,0.45,"Aug 25, 2009 00:00:00",0.45,0.45
0.51,191800.0,0.51,"Sep 03, 2009 00:00:00",0.51,0.5
0.51,1037100.0,0.51,"Sep 04, 2009 00:00:00",0.53,0.48
0.46,36400.0,0.45,"Sep 16, 2009 00:00:00",0.46,0.45
0.45,58000.0,0.44,"Sep 18, 2009 00:00:00",0.45,0.44
0.44,13200.0,0.44,"Sep 22, 2009 00:00:00",0.44,0.44
0.44,177300.0,0.45,"Sep 23, 2009 00:00:00",0.45,0.44
0.42,67200.0,0.42,"Oct 01, 2009 00:00:00",0.42,0.42
0.4,80000.0,0.4,"Oct 02, 2009 00:00:00",0.4,0.4
0.4,4000.0,0.4,"Oct 05, 2009 00:00:00",0.4,0.4
0.42,42000.0,0.42,"Oct 07, 2009 00:00:00",0.42,0.42
0.42,335400.0,0.45,"Oct 08, 2009 00:00:00",0.45,0.42
0.45,58400.0,0.44,"Oct 09, 2009 00:00:00",0.45,0.44
0.44,488400.0,0.44,"Oct 14, 2009 00:00:00",0.44,0.44
0.44,703100.0,0.48,"Oct 16, 2009 00:00:00",0.49,0.44
0.49,2980900.0,0.53,"Oct 23, 2009 00:00:00",0.56,0.49
0.55,57510600.0,0.65,"Oct 26, 2009 00:00:00",0.77,0.55
0.65,14971900.0,0.58,"Oct 27, 2009 00:00:00",0.65,0.58
0.55,2740300.0,0.55,"Oct 28, 2009 00:00:00",0.57,0.54
0.53,876200.0,0.53,"Oct 29, 2009 00:00:00",0.54,0.52
0.53,884600.0,0.53,"Oct 30, 2009 00:00:00",0.57,0.53
0.53,1774800.0,0.5,"Nov 03, 2009 00:00:00",0.54,0.5
0.55,591500.0,0.51,"Nov 04, 2009 00:00:00",0.55,0.51
0.51,209100.0,0.51,"Nov 05, 2009 00:00:00",0.51,0.51
0.52,312100.0,0.53,"Nov 06, 2009 00:00:00",0.53,0.52
0.5,394200.0,0.53,"Nov 09, 2009 00:00:00",0.53,0.5
0.54,1157000.0,0.53,"Nov 10, 2009 00:00:00",0.57,0.53
0.53,1553500.0,0.56,"Nov 11, 2009 00:00:00",0.56,0.51
0.51,392700.0,0.51,"Dec 15, 2009 00:00:00",0.51,0.51
0.51,479500.0,0.51,"Dec 16, 2009 00:00:00",0.51,0.5
0.5,1195000.0,0.5,"Dec 17, 2009 00:00:00",0.5,0.5
0.5,255000.0,0.5,"Dec 18, 2009 00:00:00",0.5,0.5
0.49,127400.0,0.49,"Dec 21, 2009 00:00:00",0.49,0.49
0.49,514500.0,0.49,"Dec 22, 2009 00:00:00",0.49,0.49
0.49,78400.0,0.49,"Jan 04, 2010 00:00:00",0.49,0.49
0.49,4900.0,0.49,"Jan 05, 2010 00:00:00",0.49,0.49
0.5,225000.0,0.5,"Jan 06, 2010 00:00:00",0.5,0.5
0.49,314800.0,0.51,"Jan 07, 2010 00:00:00",0.51,0.49
0.52,1562300.0,0.54,"Jan 08, 2010 00:00:00",0.55,0.52
0.54,10700.0,0.53,"Jan 11, 2010 00:00:00",0.54,0.53
0.55,662500.0,0.54,"Jan 12, 2010 00:00:00",0.56,0.54
0.54,117600.0,0.53,"Jan 13, 2010 00:00:00",0.54,0.53
0.53,47700.0,0.53,"Jan 14, 2010 00:00:00",0.53,0.53
0.53,289300.0,0.52,"Jan 15, 2010 00:00:00",0.53,0.52
0.52,523200.0,0.51,"Jan 18, 2010 00:00:00",0.52,0.51
0.51,205600.0,0.5,"Jan 19, 2010 00:00:00",0.51,0.5
0.49,827300.0,0.5,"Jan 21, 2010 00:00:00",0.52,0.49
0.5,10000.0,0.5,"Jan 22, 2010 00:00:00",0.5,0.5
0.5,147100.0,0.49,"Jan 25, 2010 00:00:00",0.5,0.49
0.5,107900.0,0.49,"Jan 26, 2010 00:00:00",0.5,0.49
0.47,47000.0,0.47,"Jan 27, 2010 00:00:00",0.47,0.47
0.47,112800.0,0.47,"Jan 28, 2010 00:00:00",0.47,0.47
0.47,47000.0,0.47,"Jan 29, 2010 00:00:00",0.47,0.47
0.47,178600.0,0.47,"Feb 01, 2010 00:00:00",0.47,0.47
0.46,766500.0,0.45,"Feb 02, 2010 00:00:00",0.46,0.45
0.45,165600.0,0.47,"Feb 03, 2010 00:00:00",0.47,0.45
0.44,13200.0,0.44,"Feb 05, 2010 00:00:00",0.44,0.44
0.44,47400.0,0.43,"Feb 09, 2010 00:00:00",0.44,0.43
0.43,236500.0,0.43,"Feb 10, 2010 00:00:00",0.43,0.43
0.48,4800.0,0.48,"Mar 08, 2010 00:00:00",0.48,0.48
0.48,33300.0,0.47,"Mar 12, 2010 00:00:00",0.48,0.47
0.49,5629600.0,0.54,"Mar 15, 2010 00:00:00",0.56,0.49
0.52,2660000.0,0.52,"Mar 16, 2010 00:00:00",0.57,0.52
0.51,4088500.0,0.53,"Mar 17, 2010 00:00:00",0.56,0.51
0.5,250000.0,0.5,"Mar 31, 2010 00:00:00",0.5,0.5
0.5,100000.0,0.5,"Apr 20, 2010 00:00:00",0.5,0.5
0.5,10000.0,0.5,"Apr 21, 2010 00:00:00",0.5,0.5
0.5,105000.0,0.5,"Apr 22, 2010 00:00:00",0.5,0.5
0.51,253000.0,0.5,"Apr 29, 2010 00:00:00",0.51,0.5
0.51,102000.0,0.51,"Apr 30, 2010 00:00:00",0.51,0.51
0.48,97000.0,0.49,"May 04, 2010 00:00:00",0.49,0.48
0.49,371400.0,0.47,"May 05, 2010 00:00:00",0.5,0.46
0.49,24500.0,0.49,"May 13, 2010 00:00:00",0.49,0.49
0.48,419400.0,0.49,"May 14, 2010 00:00:00",0.5,0.48
0.48,224900.0,0.47,"May 18, 2010 00:00:00",0.48,0.47
0.47,19100.0,0.48,"May 20, 2010 00:00:00",0.48,0.47
0.46,345000.0,0.46,"May 25, 2010 00:00:00",0.46,0.46
0.46,4600.0,0.46,"May 27, 2010 00:00:00",0.46,0.46
0.48,120400.0,0.47,"May 28, 2010 00:00:00",0.48,0.45
0.47,18800.0,0.47,"May 31, 2010 00:00:00",0.47,0.47
0.46,9200.0,0.46,"Jun 02, 2010 00:00:00",0.46,0.46
0.46,73600.0,0.46,"Jun 03, 2010 00:00:00",0.46,0.46
0.46,46000.0,0.46,"Jun 07, 2010 00:00:00",0.46,0.46
0.46,50600.0,0.46,"Jun 08, 2010 00:00:00",0.46,0.46
0.46,101200.0,0.46,"Jun 11, 2010 00:00:00",0.46,0.46
0.48,793700.0,0.54,"Jun 15, 2010 00:00:00",0.54,0.48
0.51,924600.0,0.47,"Jun 16, 2010 00:00:00",0.51,0.47
0.49,98000.0,0.49,"Jun 21, 2010 00:00:00",0.49,0.49
0.47,47000.0,0.47,"Jun 22, 2010 00:00:00",0.47,0.47
0.49,4900.0,0.49,"Jun 23, 2010 00:00:00",0.49,0.49
0.47,256200.0,0.48,"Jun 24, 2010 00:00:00",0.48,0.47
0.5,10000.0,0.5,"Jun 25, 2010 00:00:00",0.5,0.5
0.46,50600.0,0.46,"Jun 28, 2010 00:00:00",0.46,0.46
0.46,166000.0,0.48,"Jun 29, 2010 00:00:00",0.48,0.46
0.47,94000.0,0.47,"Jul 01, 2010 00:00:00",0.47,0.47
0.46,253000.0,0.46,"Jul 02, 2010 00:00:00",0.46,0.46
0.44,140300.0,0.45,"Jul 06, 2010 00:00:00",0.46,0.44
0.46,41400.0,0.46,"Jul 08, 2010 00:00:00",0.46,0.46
0.46,92000.0,0.46,"Jul 09, 2010 00:00:00",0.46,0.46
0.46,110400.0,0.46,"Jul 13, 2010 00:00:00",0.46,0.46
0.45,275600.0,0.47,"Jul 15, 2010 00:00:00",0.47,0.45
0.47,158400.0,0.46,"Jul 16, 2010 00:00:00",0.47,0.46
0.47,94000.0,0.47,"Jul 20, 2010 00:00:00",0.47,0.47
0.47,1941100.0,0.49,"Jul 21, 2010 00:00:00",0.51,0.47
0.48,220400.0,0.47,"Jul 22, 2010 00:00:00",0.49,0.47
0.47,197400.0,0.47,"Jul 23, 2010 00:00:00",0.47,0.47
0.57,372360.0,0.57,"Sep 20, 2010 00:00:00",0.58,0.57
0.54,2010200.0,0.56,"Sep 21, 2010 00:00:00",0.56,0.54
0.57,2907900.0,0.54,"Sep 22, 2010 00:00:00",0.57,0.52
0.55,582500.0,0.56,"Sep 23, 2010 00:00:00",0.56,0.55
0.55,380500.0,0.55,"Sep 24, 2010 00:00:00",0.56,0.55
0.53,10600.0,0.53,"Sep 27, 2010 00:00:00",0.53,0.53
0.53,370740.0,0.51,"Sep 28, 2010 00:00:00",0.53,0.51
0.52,386950.0,0.51,"Sep 29, 2010 00:00:00",0.52,0.51
0.52,52520.0,0.52,"Sep 30, 2010 00:00:00",0.52,0.52
0.52,89650.0,0.51,"Oct 01, 2010 00:00:00",0.52,0.51
0.51,587300.0,0.52,"Oct 04, 2010 00:00:00",0.52,0.49
0.51,507150.0,0.51,"Oct 05, 2010 00:00:00",0.51,0.5
0.53,564060.0,0.51,"Oct 06, 2010 00:00:00",0.53,0.51
0.51,373780.0,0.51,"Oct 07, 2010 00:00:00",0.51,0.5
0.52,332380.0,0.51,"Oct 08, 2010 00:00:00",0.52,0.49
0.51,21930.0,0.51,"Oct 12, 2010 00:00:00",0.51,0.51
0.53,71550.0,0.53,"Oct 14, 2010 00:00:00",0.53,0.53
0.52,433920.0,0.51,"Oct 15, 2010 00:00:00",0.52,0.51
0.5,253500.0,0.5,"Oct 18, 2010 00:00:00",0.5,0.5
0.49,147000.0,0.49,"Oct 19, 2010 00:00:00",0.49,0.49
0.49,103600.0,0.5,"Oct 20, 2010 00:00:00",0.5,0.49
0.5,347310.0,0.51,"Oct 22, 2010 00:00:00",0.51,0.5
0.5,53215.0,0.495,"Oct 26, 2010 00:00:00",0.5,0.495
0.5,20000.0,0.5,"Oct 27, 2010 00:00:00",0.5,0.5
0.49,83300.0,0.49,"Oct 28, 2010 00:00:00",0.49,0.49
0.5,1034200.0,0.49,"Oct 29, 2010 00:00:00",0.5,0.49
0.49,360600.0,0.5,"Nov 02, 2010 00:00:00",0.51,0.49
0.5,187800.0,0.5,"Nov 03, 2010 00:00:00",0.51,0.5
0.5,1060400.0,0.49,"Nov 04, 2010 00:00:00",0.5,0.49
