OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
7.9,112595801.0,7.95,"Nov 18, 2011 00:00:00",8.27,7.81
7.95,47980379.0,7.7,"Nov 21, 2011 00:00:00",8.1,7.47
7.41,19387940.0,7.6,"Nov 22, 2011 00:00:00",7.8,7.41
7.59,11921732.0,7.68,"Nov 23, 2011 00:00:00",7.68,7.56
7.6,8388369.0,7.6,"Nov 24, 2011 00:00:00",7.62,7.54
7.6,29028296.0,7.59,"Nov 25, 2011 00:00:00",7.6,7.46
7.59,2862278.0,7.6,"Nov 28, 2011 00:00:00",7.63,7.41
7.6,2557566.0,7.6,"Nov 29, 2011 00:00:00",7.62,7.5
7.66,17323741.0,7.9,"Dec 01, 2011 00:00:00",7.9,7.66
7.89,39929337.0,8.18,"Dec 02, 2011 00:00:00",8.22,7.81
8.2,9565503.0,8.19,"Dec 05, 2011 00:00:00",8.33,8.11
8.2,5038514.0,8.1,"Dec 06, 2011 00:00:00",8.2,8.0
8.1,4861244.0,8.13,"Dec 07, 2011 00:00:00",8.2,7.95
8.0,3189113.0,8.05,"Dec 08, 2011 00:00:00",8.08,7.85
8.08,21051236.0,8.0,"Dec 09, 2011 00:00:00",8.08,7.85
8.0,1078464.0,7.85,"Dec 12, 2011 00:00:00",8.0,7.85
7.82,5655474.0,8.05,"Dec 13, 2011 00:00:00",8.1,7.8
8.03,2175565.0,8.03,"Dec 14, 2011 00:00:00",8.05,7.83
7.92,4202034.0,8.01,"Dec 15, 2011 00:00:00",8.07,7.92
8.0,2100012.0,8.01,"Dec 16, 2011 00:00:00",8.02,7.9
7.91,944645.0,8.0,"Dec 19, 2011 00:00:00",8.0,7.91
8.0,1596459.0,8.0,"Dec 20, 2011 00:00:00",8.01,7.93
8.0,16757623.0,8.1,"Dec 21, 2011 00:00:00",8.12,7.91
8.11,3180280.0,8.1,"Dec 22, 2011 00:00:00",8.12,7.95
8.0,1947439.0,8.0,"Dec 23, 2011 00:00:00",8.07,7.97
7.95,606645.0,8.0,"Dec 26, 2011 00:00:00",8.0,7.92
8.08,713559.0,8.07,"Dec 27, 2011 00:00:00",8.08,7.96
8.09,1618883.0,8.05,"Dec 28, 2011 00:00:00",8.09,7.99
8.01,15745170.0,8.2,"Dec 29, 2011 00:00:00",8.2,8.01
7.95,521323.0,8.15,"Jan 02, 2012 00:00:00",8.18,7.95
8.02,2294521.0,8.01,"Jan 03, 2012 00:00:00",8.09,8.0
8.0,2514863.0,7.99,"Jan 04, 2012 00:00:00",8.08,7.95
7.96,2001014.0,7.94,"Jan 05, 2012 00:00:00",7.96,7.9
7.9,1046058.0,7.94,"Jan 06, 2012 00:00:00",7.94,7.86
7.86,671511.0,7.9,"Jan 09, 2012 00:00:00",7.98,7.86
7.9,557961.0,7.9,"Jan 10, 2012 00:00:00",7.9,7.86
8.0,1685768.0,7.88,"Jan 11, 2012 00:00:00",8.0,7.85
7.86,943632.0,7.9,"Jan 12, 2012 00:00:00",7.9,7.86
7.84,559348.0,7.9,"Jan 13, 2012 00:00:00",7.99,7.84
7.98,865264.0,7.9,"Jan 16, 2012 00:00:00",7.98,7.82
7.98,962866.0,7.84,"Jan 17, 2012 00:00:00",7.98,7.8
7.95,795.0,7.95,"Jan 18, 2012 00:00:00",7.95,7.95
7.84,815591.0,7.94,"Jan 19, 2012 00:00:00",7.94,7.73
7.71,172065.0,7.9,"Jan 20, 2012 00:00:00",7.9,7.71
7.9,337643.0,7.9,"Jan 24, 2012 00:00:00",7.9,7.73
7.73,420529.0,7.88,"Jan 25, 2012 00:00:00",7.88,7.73
7.72,1051200.0,7.9,"Jan 26, 2012 00:00:00",7.9,7.72
7.74,1179285.0,7.89,"Jan 27, 2012 00:00:00",7.89,7.71
7.8,93888.0,7.88,"Jan 30, 2012 00:00:00",7.88,7.75
7.7,1578510.0,7.86,"Jan 31, 2012 00:00:00",7.86,7.62
7.86,2082422.0,7.9,"Feb 01, 2012 00:00:00",7.9,7.6
7.88,182482.0,7.9,"Feb 02, 2012 00:00:00",7.9,7.7
7.7,144927.0,7.9,"Feb 03, 2012 00:00:00",7.9,7.66
7.69,81225.0,7.8,"Feb 07, 2012 00:00:00",7.8,7.69
7.7,96763.0,7.8,"Feb 08, 2012 00:00:00",7.8,7.7
7.8,861568.0,7.78,"Feb 09, 2012 00:00:00",7.8,7.72
7.78,2096574.0,7.96,"Feb 10, 2012 00:00:00",7.99,7.76
7.76,1264856.0,7.9,"Feb 13, 2012 00:00:00",8.0,7.76
7.77,415507.0,7.95,"Feb 14, 2012 00:00:00",7.99,7.77
7.95,625754.0,7.96,"Feb 15, 2012 00:00:00",7.99,7.78
7.8,1097701.0,7.95,"Feb 16, 2012 00:00:00",7.97,7.76
7.79,544550.0,7.99,"Feb 17, 2012 00:00:00",7.99,7.78
8.0,901269.0,8.0,"Feb 20, 2012 00:00:00",8.0,7.75
7.75,319440.0,7.94,"Feb 21, 2012 00:00:00",7.94,7.75
7.72,476607.0,7.89,"Feb 22, 2012 00:00:00",7.98,7.72
7.72,215827.0,7.9,"Feb 23, 2012 00:00:00",7.9,7.72
7.85,496785.0,7.9,"Feb 24, 2012 00:00:00",7.9,7.78
7.8,1308483.0,7.85,"Feb 27, 2012 00:00:00",7.85,7.79
7.84,241397.0,7.92,"Feb 28, 2012 00:00:00",7.92,7.84
7.89,1076028.0,8.0,"Feb 29, 2012 00:00:00",8.0,7.76
7.97,1595.0,7.98,"Mar 01, 2012 00:00:00",7.98,7.97
7.95,382502.0,7.97,"Mar 02, 2012 00:00:00",7.97,7.92
7.9,1376297.0,7.8,"Mar 05, 2012 00:00:00",7.97,7.8
7.9,263540.0,7.9,"Mar 06, 2012 00:00:00",7.95,7.73
7.9,1317662.0,7.95,"Mar 07, 2012 00:00:00",7.95,7.9
7.9,1519071.0,7.9,"Mar 08, 2012 00:00:00",7.9,7.65
7.63,1067669.0,7.78,"Mar 09, 2012 00:00:00",7.8,7.6
7.8,473842.0,7.8,"Mar 12, 2012 00:00:00",7.8,7.61
7.79,1558.0,7.79,"Mar 13, 2012 00:00:00",7.79,7.79
7.79,17681428.0,8.1,"Mar 14, 2012 00:00:00",8.1,7.79
8.1,1605604.0,8.1,"Mar 15, 2012 00:00:00",8.14,8.01
8.1,3070512.0,8.22,"Mar 16, 2012 00:00:00",8.22,8.05
8.17,4442556.0,8.24,"Mar 19, 2012 00:00:00",8.24,8.13
8.22,2639799.0,8.22,"Mar 20, 2012 00:00:00",8.22,8.17
8.2,5060005.0,8.25,"Mar 21, 2012 00:00:00",8.25,8.15
8.26,570007.0,8.24,"Mar 22, 2012 00:00:00",8.26,8.16
8.2,1046746.0,8.18,"Mar 23, 2012 00:00:00",8.2,8.13
8.1,1012058.0,8.18,"Mar 26, 2012 00:00:00",8.18,8.05
8.12,2328027.0,8.17,"Mar 27, 2012 00:00:00",8.18,8.11
8.06,562646.0,8.16,"Mar 28, 2012 00:00:00",8.16,8.06
8.16,3310485.0,8.14,"Mar 29, 2012 00:00:00",8.16,8.06
8.11,682927.0,8.11,"Mar 30, 2012 00:00:00",8.14,8.11
8.1,497289.0,8.13,"Apr 02, 2012 00:00:00",8.16,8.07
8.06,1124822.0,8.1,"Apr 03, 2012 00:00:00",8.12,8.06
8.06,1697914.0,8.1,"Apr 04, 2012 00:00:00",8.1,8.06
8.06,48367.0,8.13,"Apr 10, 2012 00:00:00",8.13,8.06
8.12,6038554.0,8.16,"Apr 11, 2012 00:00:00",8.2,8.06
8.06,137390.0,8.16,"Apr 12, 2012 00:00:00",8.16,8.06
8.16,1515535.0,8.16,"Apr 13, 2012 00:00:00",8.16,8.05
8.05,106289.0,8.14,"Apr 16, 2012 00:00:00",8.14,8.05
8.14,1507448.0,8.14,"Apr 17, 2012 00:00:00",8.16,8.06
8.08,1094111.0,8.11,"Apr 18, 2012 00:00:00",8.12,8.06
8.06,411100.0,8.1,"Apr 19, 2012 00:00:00",8.1,8.06
8.06,631267.0,8.2,"Apr 20, 2012 00:00:00",8.2,8.06
8.19,819.0,8.19,"Apr 23, 2012 00:00:00",8.19,8.19
8.19,430093.0,8.19,"Apr 24, 2012 00:00:00",8.19,8.07
