OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.13,13000.0,0.13,"Aug 04, 2009 00:00:00",0.13,0.13
0.13,136500.0,0.13,"Aug 06, 2009 00:00:00",0.13,0.13
0.13,132500.0,0.135,"Aug 07, 2009 00:00:00",0.135,0.13
0.135,54000.0,0.135,"Aug 10, 2009 00:00:00",0.135,0.135
0.125,12500.0,0.125,"Aug 12, 2009 00:00:00",0.125,0.125
0.125,125000.0,0.125,"Aug 14, 2009 00:00:00",0.125,0.125
0.125,163000.0,0.125,"Aug 18, 2009 00:00:00",0.13,0.125
0.125,162500.0,0.125,"Aug 26, 2009 00:00:00",0.125,0.125
0.14,1400.0,0.14,"Sep 03, 2009 00:00:00",0.14,0.14
0.13,182000.0,0.13,"Sep 04, 2009 00:00:00",0.13,0.13
0.12,3600.0,0.12,"Sep 16, 2009 00:00:00",0.12,0.12
0.135,5400.0,0.135,"Sep 17, 2009 00:00:00",0.135,0.135
0.13,7800.0,0.13,"Sep 18, 2009 00:00:00",0.13,0.13
0.13,170000.0,0.12,"Sep 22, 2009 00:00:00",0.13,0.12
0.12,26400.0,0.12,"Sep 23, 2009 00:00:00",0.12,0.12
0.11,4400.0,0.11,"Oct 01, 2009 00:00:00",0.11,0.11
0.11,13200.0,0.11,"Oct 02, 2009 00:00:00",0.11,0.11
0.11,13200.0,0.11,"Oct 06, 2009 00:00:00",0.11,0.11
0.11,32000.0,0.12,"Oct 07, 2009 00:00:00",0.12,0.11
0.125,2500.0,0.125,"Oct 08, 2009 00:00:00",0.125,0.125
0.12,8400.0,0.12,"Oct 15, 2009 00:00:00",0.12,0.12
0.12,194700.0,0.13,"Oct 16, 2009 00:00:00",0.13,0.12
0.135,3850.0,0.125,"Oct 20, 2009 00:00:00",0.135,0.125
0.12,36000.0,0.12,"Oct 26, 2009 00:00:00",0.12,0.12
0.13,13000.0,0.13,"Oct 27, 2009 00:00:00",0.13,0.13
0.12,96000.0,0.12,"Oct 28, 2009 00:00:00",0.12,0.12
0.125,626200.0,0.135,"Oct 30, 2009 00:00:00",0.14,0.125
0.13,35100.0,0.13,"Nov 03, 2009 00:00:00",0.13,0.13
0.12,1200.0,0.12,"Nov 04, 2009 00:00:00",0.12,0.12
0.115,2300.0,0.115,"Nov 05, 2009 00:00:00",0.115,0.115
0.115,67850.0,0.115,"Nov 11, 2009 00:00:00",0.115,0.115
0.1,2000.0,0.1,"Dec 21, 2009 00:00:00",0.1,0.1
0.105,10500.0,0.105,"Dec 22, 2009 00:00:00",0.105,0.105
0.11,16500.0,0.11,"Dec 29, 2009 00:00:00",0.11,0.11
0.0975,14625.0,0.0975,"Jan 04, 2010 00:00:00",0.0975,0.0975
0.11,66000.0,0.11,"Jan 05, 2010 00:00:00",0.11,0.11
0.115,1150.0,0.115,"Jan 06, 2010 00:00:00",0.115,0.115
0.115,75250.0,0.12,"Jan 07, 2010 00:00:00",0.12,0.115
0.105,54600.0,0.11,"Jan 19, 2010 00:00:00",0.11,0.105
0.105,10500.0,0.105,"Jan 20, 2010 00:00:00",0.105,0.105
0.105,42000.0,0.105,"Jan 25, 2010 00:00:00",0.105,0.105
0.1,1000.0,0.1,"Jan 29, 2010 00:00:00",0.1,0.1
