OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
8.8,28125700.0,8.9,"Aug 03, 2009 00:00:00",8.9,8.8
8.9,51204600.0,9.1,"Aug 04, 2009 00:00:00",9.3,8.9
9.1,24677000.0,9.1,"Aug 06, 2009 00:00:00",9.1,9.0
9.1,19494600.0,9.0,"Aug 07, 2009 00:00:00",9.1,9.0
9.0,7916900.0,9.1,"Aug 10, 2009 00:00:00",9.2,9.0
9.1,39223500.0,9.3,"Aug 11, 2009 00:00:00",9.4,9.1
9.3,10440300.0,9.3,"Aug 12, 2009 00:00:00",9.4,9.3
9.3,9451300.0,9.4,"Aug 13, 2009 00:00:00",9.5,9.3
9.4,4382300.0,9.4,"Aug 14, 2009 00:00:00",9.5,9.3
9.4,21684700.0,9.2,"Aug 17, 2009 00:00:00",9.4,9.1
9.0,26055000.0,9.0,"Aug 18, 2009 00:00:00",9.0,8.9
9.0,15758700.0,9.2,"Aug 19, 2009 00:00:00",9.2,9.0
9.3,7437000.0,9.3,"Aug 20, 2009 00:00:00",9.3,9.2
9.3,14088600.0,9.6,"Aug 24, 2009 00:00:00",9.8,9.3
9.7,18657450.0,10.0,"Aug 25, 2009 00:00:00",10.5,9.7
10.0,14579750.0,10.25,"Aug 26, 2009 00:00:00",10.5,10.0
10.5,17262225.0,10.5,"Sep 03, 2009 00:00:00",10.5,10.25
10.5,28830075.0,10.5,"Sep 04, 2009 00:00:00",10.75,10.5
10.5,68917225.0,10.75,"Sep 16, 2009 00:00:00",11.25,10.5
10.75,26337275.0,11.0,"Sep 17, 2009 00:00:00",11.0,10.75
11.0,24303850.0,11.0,"Sep 18, 2009 00:00:00",11.0,10.75
11.0,7443700.0,11.0,"Sep 22, 2009 00:00:00",11.0,11.0
10.75,49310300.0,11.25,"Sep 23, 2009 00:00:00",11.25,10.75
10.75,383250400.0,11.0,"Sep 30, 2009 00:00:00",11.25,10.75
11.0,81250275.0,11.5,"Oct 01, 2009 00:00:00",11.5,10.75
11.0,38859850.0,11.25,"Oct 02, 2009 00:00:00",11.25,11.0
11.25,691750.0,11.25,"Oct 05, 2009 00:00:00",11.25,11.0
11.25,14708325.0,11.5,"Oct 06, 2009 00:00:00",11.5,11.25
11.75,38021575.0,11.75,"Oct 07, 2009 00:00:00",11.75,11.5
11.75,9202300.0,11.75,"Oct 08, 2009 00:00:00",11.75,11.5
11.75,20789475.0,11.25,"Oct 09, 2009 00:00:00",11.75,11.25
11.25,85693450.0,11.0,"Oct 12, 2009 00:00:00",11.5,11.0
11.75,26768025.0,11.25,"Oct 13, 2009 00:00:00",11.75,11.25
11.25,8288025.0,11.5,"Oct 14, 2009 00:00:00",11.5,11.25
11.5,10940675.0,11.5,"Oct 15, 2009 00:00:00",11.75,11.5
11.5,7878800.0,11.25,"Oct 16, 2009 00:00:00",11.5,11.25
11.25,11960200.0,11.5,"Oct 19, 2009 00:00:00",11.5,11.25
11.75,37580350.0,11.75,"Oct 20, 2009 00:00:00",12.0,11.75
11.75,23843150.0,11.75,"Oct 21, 2009 00:00:00",12.0,11.75
11.75,37183350.0,11.75,"Oct 22, 2009 00:00:00",11.75,11.5
11.75,30365200.0,12.0,"Oct 23, 2009 00:00:00",12.5,11.75
12.0,126171175.0,12.0,"Oct 26, 2009 00:00:00",12.25,11.75
12.0,10139175.0,12.0,"Oct 27, 2009 00:00:00",12.25,12.0
12.25,30333825.0,12.5,"Oct 28, 2009 00:00:00",12.5,12.0
12.25,35019400.0,12.25,"Oct 29, 2009 00:00:00",12.25,12.0
12.25,14679350.0,12.5,"Oct 30, 2009 00:00:00",12.75,12.25
12.5,19720450.0,12.25,"Nov 03, 2009 00:00:00",12.5,12.0
12.0,35246100.0,12.0,"Nov 04, 2009 00:00:00",12.25,12.0
12.25,41158575.0,12.25,"Nov 05, 2009 00:00:00",12.25,12.0
12.25,41311625.0,12.25,"Nov 06, 2009 00:00:00",12.25,12.0
12.25,5036350.0,12.5,"Nov 09, 2009 00:00:00",12.5,12.0
12.5,14416050.0,12.75,"Nov 10, 2009 00:00:00",12.75,12.25
12.75,4802250.0,12.75,"Nov 11, 2009 00:00:00",12.75,12.5
15.5,23737375.0,15.75,"Dec 15, 2009 00:00:00",15.75,15.25
15.75,28420425.0,15.5,"Dec 16, 2009 00:00:00",15.75,15.25
15.25,30923325.0,16.0,"Dec 17, 2009 00:00:00",16.0,15.25
16.0,24767100.0,15.75,"Dec 18, 2009 00:00:00",16.0,15.75
15.75,22366800.0,16.25,"Dec 21, 2009 00:00:00",16.25,15.75
16.5,5718400.0,15.75,"Dec 22, 2009 00:00:00",16.5,15.75
15.75,18505550.0,16.0,"Dec 23, 2009 00:00:00",16.25,15.75
16.0,39054925.0,16.25,"Dec 29, 2009 00:00:00",16.25,16.0
16.25,4453025.0,15.75,"Jan 04, 2010 00:00:00",16.25,15.75
15.75,3635225.0,15.5,"Jan 05, 2010 00:00:00",16.0,15.5
15.75,153255600.0,17.0,"Jan 06, 2010 00:00:00",17.5,15.75
17.0,44983325.0,17.25,"Jan 07, 2010 00:00:00",17.5,17.0
17.25,91861650.0,18.0,"Jan 08, 2010 00:00:00",18.0,17.25
18.0,77512800.0,18.25,"Jan 11, 2010 00:00:00",18.75,17.75
18.5,43440750.0,18.25,"Jan 12, 2010 00:00:00",18.5,18.0
18.0,21517025.0,18.0,"Jan 13, 2010 00:00:00",18.25,17.75
18.0,120809650.0,17.75,"Jan 14, 2010 00:00:00",18.0,17.5
17.75,93728875.0,18.25,"Jan 15, 2010 00:00:00",18.5,17.75
18.25,45844375.0,18.0,"Jan 18, 2010 00:00:00",18.25,18.0
18.25,17506725.0,17.75,"Jan 19, 2010 00:00:00",18.25,17.75
18.0,50856225.0,17.5,"Jan 20, 2010 00:00:00",18.0,17.5
17.25,65152125.0,17.5,"Jan 21, 2010 00:00:00",17.5,17.25
17.0,29824300.0,17.25,"Jan 22, 2010 00:00:00",18.0,17.0
17.5,109682875.0,17.0,"Jan 25, 2010 00:00:00",17.75,17.0
17.5,45485625.0,17.25,"Jan 26, 2010 00:00:00",17.75,17.25
17.25,15367950.0,17.0,"Jan 27, 2010 00:00:00",17.25,16.75
16.75,68976025.0,17.0,"Jan 28, 2010 00:00:00",17.25,16.5
17.0,41598600.0,17.0,"Jan 29, 2010 00:00:00",17.5,16.75
16.75,30686400.0,16.75,"Feb 01, 2010 00:00:00",17.25,16.75
17.0,67392725.0,17.0,"Feb 02, 2010 00:00:00",17.0,16.75
17.0,79297000.0,17.25,"Feb 03, 2010 00:00:00",17.25,17.0
17.25,126677200.0,17.5,"Feb 04, 2010 00:00:00",17.5,17.25
17.25,78541175.0,17.5,"Feb 05, 2010 00:00:00",17.5,17.25
17.5,116506350.0,17.75,"Feb 08, 2010 00:00:00",18.25,17.5
17.75,9382650.0,17.75,"Feb 09, 2010 00:00:00",17.75,17.75
18.0,8178650.0,17.75,"Feb 10, 2010 00:00:00",18.0,17.75
17.75,29420975.0,18.0,"Feb 11, 2010 00:00:00",18.0,17.75
21.0,70678250.0,21.5,"Mar 08, 2010 00:00:00",21.5,21.0
23.0,122727650.0,22.25,"Mar 12, 2010 00:00:00",23.0,22.25
22.25,44982200.0,22.25,"Mar 15, 2010 00:00:00",22.25,21.75
22.0,106959950.0,21.75,"Mar 16, 2010 00:00:00",22.0,21.75
21.75,60418225.0,22.0,"Mar 17, 2010 00:00:00",22.25,21.75
25.0,84094875.0,25.0,"Mar 31, 2010 00:00:00",25.0,24.75
25.5,35760950.0,25.0,"Apr 20, 2010 00:00:00",25.5,24.75
25.0,69469400.0,25.5,"Apr 21, 2010 00:00:00",26.0,25.0
25.5,180383700.0,26.5,"Apr 22, 2010 00:00:00",27.5,25.5
27.0,44788750.0,25.5,"Apr 23, 2010 00:00:00",27.0,25.5
25.5,78185250.0,25.5,"Apr 29, 2010 00:00:00",26.0,25.5
25.5,51278050.0,25.5,"Apr 30, 2010 00:00:00",26.0,25.5
25.5,9931150.0,25.5,"May 04, 2010 00:00:00",25.5,25.0
24.75,94014150.0,24.25,"May 05, 2010 00:00:00",24.75,24.0
25.5,170904450.0,25.5,"May 13, 2010 00:00:00",26.0,25.0
25.5,42000650.0,25.5,"May 14, 2010 00:00:00",25.5,25.0
25.5,114472750.0,26.0,"May 17, 2010 00:00:00",27.0,25.5
26.0,91731300.0,26.0,"May 18, 2010 00:00:00",26.5,25.5
25.5,46855975.0,25.0,"May 19, 2010 00:00:00",25.5,24.75
25.0,64947500.0,25.5,"May 20, 2010 00:00:00",26.0,25.0
25.0,52075025.0,25.0,"May 21, 2010 00:00:00",25.0,24.5
25.0,26314475.0,24.75,"May 24, 2010 00:00:00",25.5,24.75
24.75,55269775.0,23.75,"May 25, 2010 00:00:00",24.75,23.5
23.75,83895850.0,23.25,"May 26, 2010 00:00:00",24.25,23.25
23.0,56997825.0,23.75,"May 27, 2010 00:00:00",24.0,23.0
24.5,37661975.0,24.75,"May 28, 2010 00:00:00",24.75,24.5
24.75,110987575.0,26.0,"May 31, 2010 00:00:00",26.0,24.75
25.5,141048650.0,26.0,"Jun 01, 2010 00:00:00",26.5,25.0
26.0,75438200.0,26.0,"Jun 02, 2010 00:00:00",27.0,25.5
26.0,56771600.0,26.5,"Jun 03, 2010 00:00:00",27.0,26.0
26.5,252260500.0,28.5,"Jun 04, 2010 00:00:00",28.5,26.5
27.0,100916350.0,26.5,"Jun 07, 2010 00:00:00",27.5,26.5
26.0,109847050.0,26.5,"Jun 08, 2010 00:00:00",26.5,26.0
27.0,86663100.0,26.5,"Jun 09, 2010 00:00:00",27.0,26.0
26.5,133997600.0,25.5,"Jun 10, 2010 00:00:00",26.5,25.0
26.5,109002400.0,26.5,"Jun 11, 2010 00:00:00",26.5,26.0
26.5,67240400.0,26.5,"Jun 15, 2010 00:00:00",27.0,26.0
27.0,62504500.0,26.5,"Jun 16, 2010 00:00:00",27.0,26.5
27.5,132017500.0,27.5,"Jun 21, 2010 00:00:00",28.0,27.5
27.5,53444250.0,27.5,"Jun 22, 2010 00:00:00",28.0,27.5
27.5,122428500.0,28.5,"Jun 23, 2010 00:00:00",28.5,27.5
28.5,273312450.0,29.5,"Jun 24, 2010 00:00:00",30.0,28.0
29.0,133864450.0,29.0,"Jun 25, 2010 00:00:00",29.5,28.5
30.0,142948050.0,30.0,"Jun 28, 2010 00:00:00",30.5,29.5
30.0,142370050.0,31.0,"Jun 29, 2010 00:00:00",31.0,30.0
30.0,134866550.0,29.0,"Jul 01, 2010 00:00:00",30.0,29.0
29.0,70159300.0,29.0,"Jul 02, 2010 00:00:00",29.0,28.5
29.5,73902150.0,29.5,"Jul 06, 2010 00:00:00",29.5,29.0
30.0,84428750.0,28.5,"Jul 07, 2010 00:00:00",30.0,28.5
29.5,86372100.0,29.5,"Jul 08, 2010 00:00:00",29.5,29.0
29.5,68125300.0,29.0,"Jul 09, 2010 00:00:00",29.5,29.0
29.0,28539600.0,29.0,"Jul 13, 2010 00:00:00",29.5,29.0
29.0,83588000.0,30.0,"Jul 14, 2010 00:00:00",30.0,29.0
30.5,237907200.0,32.0,"Jul 15, 2010 00:00:00",32.0,30.5
31.5,185560900.0,32.0,"Jul 16, 2010 00:00:00",32.0,31.0
31.5,73412850.0,32.0,"Jul 19, 2010 00:00:00",32.5,31.5
32.0,171264250.0,33.0,"Jul 20, 2010 00:00:00",33.5,32.0
33.5,110391550.0,33.0,"Jul 21, 2010 00:00:00",34.0,32.5
33.5,17757050.0,33.0,"Jul 22, 2010 00:00:00",33.5,32.5
33.0,174465800.0,32.5,"Jul 23, 2010 00:00:00",33.0,32.5
39.0,116792395.0,39.9,"Sep 20, 2010 00:00:00",39.9,38.9
40.0,93641315.0,39.4,"Sep 21, 2010 00:00:00",40.4,39.4
39.4,48218185.0,39.3,"Sep 22, 2010 00:00:00",39.4,39.1
39.6,210992470.0,40.05,"Sep 23, 2010 00:00:00",40.1,39.5
40.05,103262405.0,39.8,"Sep 24, 2010 00:00:00",40.05,39.5
40.5,108816995.0,42.0,"Sep 27, 2010 00:00:00",42.5,40.0
42.05,139185130.0,41.5,"Sep 28, 2010 00:00:00",42.5,41.45
41.45,109332430.0,41.6,"Sep 29, 2010 00:00:00",41.6,41.0
41.6,29017730.0,41.5,"Sep 30, 2010 00:00:00",41.6,40.9
41.5,25864895.0,41.6,"Oct 01, 2010 00:00:00",41.6,41.0
41.6,77081405.0,42.15,"Oct 04, 2010 00:00:00",42.3,41.6
42.15,54266685.0,41.55,"Oct 05, 2010 00:00:00",42.3,41.0
41.6,97129375.0,42.0,"Oct 06, 2010 00:00:00",42.4,41.55
42.1,173415420.0,42.35,"Oct 07, 2010 00:00:00",42.5,42.0
42.4,322356690.0,46.65,"Oct 08, 2010 00:00:00",46.9,42.4
45.45,61767225.0,45.55,"Oct 12, 2010 00:00:00",45.7,45.45
45.6,98233010.0,45.1,"Oct 13, 2010 00:00:00",45.6,44.9
45.1,99701030.0,44.95,"Oct 14, 2010 00:00:00",45.15,44.9
45.2,21223475.0,45.0,"Oct 15, 2010 00:00:00",45.2,44.9
45.0,35251400.0,44.65,"Oct 18, 2010 00:00:00",45.0,44.65
44.65,28971385.0,44.75,"Oct 19, 2010 00:00:00",44.75,44.6
44.6,63274190.0,44.5,"Oct 20, 2010 00:00:00",44.6,44.45
45.0,23627780.0,44.8,"Oct 21, 2010 00:00:00",45.0,44.75
44.95,116898610.0,45.0,"Oct 22, 2010 00:00:00",45.2,44.9
45.1,44676415.0,44.2,"Oct 26, 2010 00:00:00",45.1,44.0
44.0,76929720.0,44.2,"Oct 27, 2010 00:00:00",44.3,44.0
44.25,55511240.0,43.15,"Oct 28, 2010 00:00:00",44.25,43.0
43.35,172766380.0,43.45,"Oct 29, 2010 00:00:00",44.05,43.2
43.5,237763055.0,45.0,"Nov 02, 2010 00:00:00",45.5,43.45
45.0,212236850.0,45.5,"Nov 03, 2010 00:00:00",45.7,45.0
45.75,113429590.0,45.55,"Nov 04, 2010 00:00:00",46.1,42.9
45.5,15899200.0,45.0,"Nov 08, 2010 00:00:00",45.5,44.9
45.0,91846425.0,44.8,"Nov 09, 2010 00:00:00",45.0,44.7
44.7,15812145.0,44.0,"Nov 10, 2010 00:00:00",44.75,43.45
44.1,74867500.0,42.0,"Nov 11, 2010 00:00:00",44.1,40.5
41.0,179924340.0,39.4,"Nov 12, 2010 00:00:00",41.9,38.5
39.5,43741455.0,41.5,"Nov 15, 2010 00:00:00",41.5,39.5
41.0,170066440.0,39.0,"Nov 17, 2010 00:00:00",41.0,39.0
39.2,118210865.0,38.3,"Nov 18, 2010 00:00:00",39.6,38.1
39.5,255490465.0,39.65,"Nov 19, 2010 00:00:00",40.05,39.5
40.1,53244615.0,40.0,"Nov 22, 2010 00:00:00",40.1,39.4
40.15,210694135.0,39.35,"Nov 23, 2010 00:00:00",41.0,39.35
38.5,160634295.0,37.6,"Nov 24, 2010 00:00:00",38.5,37.0
37.85,229534180.0,35.55,"Nov 25, 2010 00:00:00",38.0,35.5
35.7,129880940.0,36.4,"Nov 26, 2010 00:00:00",36.4,35.65
37.85,163337570.0,36.7,"Nov 30, 2010 00:00:00",38.8,35.0
36.7,32704825.0,38.0,"Dec 01, 2010 00:00:00",38.1,36.7
38.6,113120140.0,38.8,"Dec 02, 2010 00:00:00",38.95,38.3
39.0,50164670.0,39.25,"Dec 03, 2010 00:00:00",39.5,38.3
39.25,45011170.0,39.0,"Dec 06, 2010 00:00:00",39.5,39.0
39.0,134263985.0,38.95,"Dec 07, 2010 00:00:00",39.25,38.9
38.95,32590870.0,38.45,"Dec 08, 2010 00:00:00",38.95,38.45
35.5,133216575.0,35.5,"Dec 16, 2010 00:00:00",36.6,34.5
35.65,23259875.0,35.65,"Dec 22, 2010 00:00:00",36.95,35.55
35.65,77153480.0,36.35,"Dec 23, 2010 00:00:00",36.7,35.6
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.3,36872710.0,36.25,"Dec 28, 2010 00:00:00",36.85,35.9
36.25,47417875.0,35.9,"Dec 29, 2010 00:00:00",36.25,35.85
36.25,47417875.0,35.9,"Dec 29, 2010 00:00:00",36.25,35.85
35.0,24519165.0,35.5,"Jan 03, 2011 00:00:00",36.0,35.0
35.0,24519165.0,35.5,"Jan 03, 2011 00:00:00",36.0,35.0
35.0,24519165.0,35.5,"Jan 03, 2011 00:00:00",36.0,35.0
35.5,160128895.0,34.95,"Jan 04, 2011 00:00:00",36.0,34.95
35.0,121229405.0,34.95,"Jan 05, 2011 00:00:00",35.1,34.95
35.0,91849355.0,35.8,"Jan 06, 2011 00:00:00",35.85,34.95
35.85,55264620.0,34.95,"Jan 07, 2011 00:00:00",35.85,34.95
34.9,167842695.0,35.0,"Jan 10, 2011 00:00:00",35.1,34.6
35.0,88295495.0,35.4,"Jan 11, 2011 00:00:00",35.9,34.9
35.0,88295495.0,35.4,"Jan 11, 2011 00:00:00",35.9,34.9
35.4,182944360.0,35.6,"Jan 12, 2011 00:00:00",35.75,35.4
36.0,222049680.0,35.9,"Jan 13, 2011 00:00:00",36.0,35.8
35.95,56047245.0,36.5,"Jan 14, 2011 00:00:00",37.0,35.9
36.75,63784040.0,36.8,"Jan 17, 2011 00:00:00",36.95,36.7
37.0,86952610.0,36.7,"Jan 18, 2011 00:00:00",37.65,36.6
36.5,70983515.0,36.3,"Jan 19, 2011 00:00:00",36.5,36.15
36.5,70983515.0,36.3,"Jan 19, 2011 00:00:00",36.5,36.15
36.3,114297410.0,35.8,"Jan 20, 2011 00:00:00",37.0,35.8
36.3,114297410.0,35.8,"Jan 20, 2011 00:00:00",37.0,35.8
34.9,84290425.0,34.85,"Jan 24, 2011 00:00:00",34.9,33.0
34.9,49740825.0,34.7,"Jan 25, 2011 00:00:00",34.9,34.5
34.7,31528690.0,33.0,"Jan 26, 2011 00:00:00",34.7,33.0
34.0,96412100.0,33.0,"Jan 27, 2011 00:00:00",34.0,33.0
33.3,35012655.0,34.55,"Jan 28, 2011 00:00:00",34.9,33.3
33.3,35012655.0,34.55,"Jan 28, 2011 00:00:00",34.9,33.3
34.55,5596590.0,34.9,"Jan 31, 2011 00:00:00",34.9,34.0
34.55,5596590.0,34.9,"Jan 31, 2011 00:00:00",34.9,34.0
34.9,40127090.0,34.7,"Feb 01, 2011 00:00:00",34.9,34.2
34.9,40127090.0,34.7,"Feb 01, 2011 00:00:00",34.9,34.2
34.95,87349545.0,34.7,"Feb 02, 2011 00:00:00",34.95,34.6
35.0,38583025.0,34.85,"Feb 03, 2011 00:00:00",35.0,34.8
33.6,19030030.0,34.5,"Feb 14, 2011 00:00:00",34.8,33.6
34.3,22557785.0,34.1,"Feb 16, 2011 00:00:00",34.3,33.5
34.3,22557785.0,34.1,"Feb 16, 2011 00:00:00",34.3,33.5
34.15,34942190.0,34.2,"Feb 17, 2011 00:00:00",34.3,34.15
34.2,53865560.0,34.15,"Feb 18, 2011 00:00:00",34.25,34.15
34.1,317155.0,34.15,"Feb 21, 2011 00:00:00",34.15,34.1
34.1,317155.0,34.15,"Feb 21, 2011 00:00:00",34.15,34.1
34.0,11776265.0,33.85,"Feb 22, 2011 00:00:00",34.0,33.5
34.0,11776265.0,33.85,"Feb 22, 2011 00:00:00",34.0,33.5
33.85,16153155.0,33.2,"Feb 23, 2011 00:00:00",33.85,33.2
33.85,16153155.0,33.2,"Feb 23, 2011 00:00:00",33.85,33.2
32.8,12790880.0,32.5,"Feb 24, 2011 00:00:00",33.85,32.5
32.8,12790880.0,32.5,"Feb 24, 2011 00:00:00",33.85,32.5
32.7,41398350.0,32.7,"Feb 25, 2011 00:00:00",32.8,32.65
32.2,13087700.0,33.4,"Feb 28, 2011 00:00:00",33.4,32.2
34.55,64327930.0,34.4,"Mar 02, 2011 00:00:00",34.6,34.0
34.4,13293390.0,34.2,"Mar 03, 2011 00:00:00",34.6,34.0
34.2,24647660.0,34.2,"Mar 04, 2011 00:00:00",34.3,33.9
34.2,24647660.0,34.2,"Mar 04, 2011 00:00:00",34.3,33.9
