OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
1.08,340300.0,1.08,"Aug 03, 2009 00:00:00",1.1,1.08
1.1,1570800.0,1.1,"Aug 04, 2009 00:00:00",1.1,1.1
1.1,933100.0,1.08,"Aug 06, 2009 00:00:00",1.12,1.08
1.1,599000.0,1.08,"Aug 07, 2009 00:00:00",1.1,1.08
1.08,745600.0,1.08,"Aug 10, 2009 00:00:00",1.1,1.08
1.08,576120.0,1.1,"Aug 11, 2009 00:00:00",1.1,1.08
1.1,79640.0,1.08,"Aug 12, 2009 00:00:00",1.1,1.08
1.08,353760.0,1.08,"Aug 13, 2009 00:00:00",1.1,1.08
1.08,578800.0,1.1,"Aug 14, 2009 00:00:00",1.1,1.08
1.08,313200.0,1.08,"Aug 17, 2009 00:00:00",1.08,1.08
1.08,1078160.0,1.06,"Aug 18, 2009 00:00:00",1.08,1.04
1.06,655080.0,1.06,"Aug 19, 2009 00:00:00",1.06,1.06
1.06,781420.0,1.06,"Aug 20, 2009 00:00:00",1.08,1.06
1.08,2586600.0,1.08,"Aug 24, 2009 00:00:00",1.08,1.08
1.08,1539000.0,1.08,"Aug 25, 2009 00:00:00",1.08,1.08
1.1,1209940.0,1.08,"Aug 26, 2009 00:00:00",1.1,1.08
1.12,873360.0,1.12,"Sep 03, 2009 00:00:00",1.14,1.12
1.12,7739760.0,1.1,"Sep 04, 2009 00:00:00",1.12,1.1
1.1,1357400.0,1.1,"Sep 16, 2009 00:00:00",1.1,1.1
1.1,583000.0,1.1,"Sep 17, 2009 00:00:00",1.1,1.1
1.08,2173620.0,1.08,"Sep 18, 2009 00:00:00",1.08,1.06
1.08,221400.0,1.08,"Sep 22, 2009 00:00:00",1.08,1.08
1.1,1164080.0,1.12,"Sep 23, 2009 00:00:00",1.12,1.08
1.08,16200.0,1.08,"Sep 30, 2009 00:00:00",1.08,1.08
1.1,1705000.0,1.1,"Oct 01, 2009 00:00:00",1.1,1.1
1.1,330000.0,1.1,"Oct 02, 2009 00:00:00",1.1,1.1
1.1,101200.0,1.1,"Oct 05, 2009 00:00:00",1.1,1.1
1.1,122100.0,1.1,"Oct 06, 2009 00:00:00",1.1,1.1
1.1,209000.0,1.1,"Oct 07, 2009 00:00:00",1.1,1.1
1.1,2804080.0,1.14,"Oct 08, 2009 00:00:00",1.14,1.1
1.12,757140.0,1.12,"Oct 09, 2009 00:00:00",1.14,1.12
1.12,425000.0,1.1,"Oct 12, 2009 00:00:00",1.12,1.1
1.1,310280.0,1.12,"Oct 13, 2009 00:00:00",1.12,1.1
1.12,190400.0,1.12,"Oct 14, 2009 00:00:00",1.12,1.12
1.12,292460.0,1.12,"Oct 15, 2009 00:00:00",1.14,1.12
1.1,2200.0,1.1,"Oct 16, 2009 00:00:00",1.1,1.1
1.12,8685520.0,1.22,"Oct 19, 2009 00:00:00",1.28,1.12
1.2,4760000.0,1.2,"Oct 20, 2009 00:00:00",1.2,1.16
1.2,575040.0,1.16,"Oct 21, 2009 00:00:00",1.2,1.16
1.16,2273900.0,1.16,"Oct 22, 2009 00:00:00",1.18,1.14
1.18,487340.0,1.18,"Oct 23, 2009 00:00:00",1.18,1.18
1.16,314660.0,1.18,"Oct 26, 2009 00:00:00",1.18,1.16
1.18,1177420.0,1.18,"Oct 27, 2009 00:00:00",1.18,1.16
1.16,60320.0,1.16,"Oct 28, 2009 00:00:00",1.16,1.16
1.16,107400.0,1.16,"Oct 29, 2009 00:00:00",1.16,1.14
1.16,1651340.0,1.2,"Oct 30, 2009 00:00:00",1.22,1.16
1.18,391760.0,1.18,"Nov 03, 2009 00:00:00",1.18,1.18
1.2,38400.0,1.2,"Nov 04, 2009 00:00:00",1.2,1.2
1.2,1310400.0,1.2,"Nov 05, 2009 00:00:00",1.2,1.2
1.2,655220.0,1.2,"Nov 06, 2009 00:00:00",1.22,1.2
1.18,513340.0,1.2,"Nov 09, 2009 00:00:00",1.2,1.18
1.2,4505800.0,1.24,"Nov 10, 2009 00:00:00",1.24,1.2
1.24,6900680.0,1.32,"Nov 11, 2009 00:00:00",1.36,1.24
1.28,2123380.0,1.3,"Dec 15, 2009 00:00:00",1.3,1.28
1.3,1107600.0,1.3,"Dec 16, 2009 00:00:00",1.3,1.3
1.3,1102400.0,1.3,"Dec 17, 2009 00:00:00",1.3,1.3
1.28,42240.0,1.28,"Dec 18, 2009 00:00:00",1.28,1.28
1.3,2063100.0,1.3,"Dec 21, 2009 00:00:00",1.3,1.3
1.3,228800.0,1.3,"Dec 22, 2009 00:00:00",1.3,1.3
1.28,545600.0,1.3,"Dec 23, 2009 00:00:00",1.3,1.28
1.28,3424400.0,1.3,"Dec 29, 2009 00:00:00",1.3,1.28
1.3,2277600.0,1.3,"Jan 04, 2010 00:00:00",1.3,1.3
1.3,1955200.0,1.3,"Jan 05, 2010 00:00:00",1.3,1.3
1.28,32000.0,1.28,"Jan 06, 2010 00:00:00",1.28,1.28
1.28,656400.0,1.3,"Jan 07, 2010 00:00:00",1.3,1.28
1.28,1077760.0,1.28,"Jan 08, 2010 00:00:00",1.28,1.28
1.28,672000.0,1.28,"Jan 11, 2010 00:00:00",1.28,1.28
1.28,1294100.0,1.3,"Jan 12, 2010 00:00:00",1.3,1.28
1.3,1828000.0,1.28,"Jan 13, 2010 00:00:00",1.3,1.28
1.28,512000.0,1.28,"Jan 14, 2010 00:00:00",1.28,1.28
1.3,1870700.0,1.3,"Jan 15, 2010 00:00:00",1.3,1.3
1.28,65280.0,1.28,"Jan 18, 2010 00:00:00",1.28,1.28
1.28,430080.0,1.28,"Jan 19, 2010 00:00:00",1.28,1.28
1.3,1171300.0,1.3,"Jan 20, 2010 00:00:00",1.3,1.3
1.28,862720.0,1.28,"Jan 22, 2010 00:00:00",1.28,1.28
1.26,139860.0,1.26,"Jan 25, 2010 00:00:00",1.26,1.26
1.28,143360.0,1.28,"Jan 26, 2010 00:00:00",1.28,1.28
1.28,632100.0,1.28,"Jan 27, 2010 00:00:00",1.28,1.26
1.26,588600.0,1.28,"Jan 28, 2010 00:00:00",1.28,1.26
1.28,292340.0,1.26,"Jan 29, 2010 00:00:00",1.28,1.26
1.26,522900.0,1.26,"Feb 01, 2010 00:00:00",1.26,1.26
1.26,107100.0,1.26,"Feb 03, 2010 00:00:00",1.26,1.26
1.28,256000.0,1.28,"Feb 04, 2010 00:00:00",1.28,1.28
1.26,1654220.0,1.26,"Feb 05, 2010 00:00:00",1.28,1.26
1.26,126000.0,1.26,"Feb 08, 2010 00:00:00",1.26,1.26
1.28,994300.0,1.26,"Feb 09, 2010 00:00:00",1.28,1.26
1.28,510000.0,1.26,"Feb 10, 2010 00:00:00",1.28,1.26
1.44,2808900.0,1.46,"Mar 08, 2010 00:00:00",1.48,1.44
1.44,17352840.0,1.44,"Mar 12, 2010 00:00:00",1.46,1.42
1.44,2711440.0,1.46,"Mar 15, 2010 00:00:00",1.48,1.42
1.46,3812600.0,1.46,"Mar 16, 2010 00:00:00",1.48,1.46
1.46,1328060.0,1.44,"Mar 17, 2010 00:00:00",1.48,1.44
1.44,1376780.0,1.46,"Mar 31, 2010 00:00:00",1.48,1.44
1.5,1065900.0,1.48,"Apr 20, 2010 00:00:00",1.5,1.48
1.48,1206660.0,1.5,"Apr 21, 2010 00:00:00",1.5,1.48
1.5,303000.0,1.5,"Apr 22, 2010 00:00:00",1.5,1.5
1.5,3241500.0,1.5,"Apr 23, 2010 00:00:00",1.52,1.5
1.52,1211000.0,1.5,"Apr 29, 2010 00:00:00",1.52,1.5
1.5,61540.0,1.52,"Apr 30, 2010 00:00:00",1.52,1.5
1.5,757500.0,1.5,"May 04, 2010 00:00:00",1.5,1.5
1.46,1421240.0,1.46,"May 05, 2010 00:00:00",1.46,1.44
1.5,361500.0,1.5,"May 13, 2010 00:00:00",1.5,1.5
1.5,752380.0,1.52,"May 14, 2010 00:00:00",1.52,1.5
1.52,3040.0,1.52,"May 17, 2010 00:00:00",1.52,1.52
1.5,598000.0,1.5,"May 18, 2010 00:00:00",1.5,1.48
1.48,524000.0,1.5,"May 19, 2010 00:00:00",1.5,1.48
1.48,38480.0,1.48,"May 20, 2010 00:00:00",1.48,1.48
1.48,779600.0,1.44,"May 21, 2010 00:00:00",1.48,1.44
1.46,145000.0,1.44,"May 24, 2010 00:00:00",1.46,1.44
1.44,703920.0,1.42,"May 25, 2010 00:00:00",1.44,1.42
1.42,586940.0,1.44,"May 26, 2010 00:00:00",1.44,1.42
1.44,14400.0,1.44,"May 27, 2010 00:00:00",1.44,1.44
1.44,144000.0,1.44,"May 28, 2010 00:00:00",1.44,1.44
1.44,86400.0,1.44,"May 31, 2010 00:00:00",1.44,1.44
1.44,115200.0,1.44,"Jun 01, 2010 00:00:00",1.44,1.44
1.44,172800.0,1.44,"Jun 02, 2010 00:00:00",1.44,1.44
1.44,335360.0,1.46,"Jun 03, 2010 00:00:00",1.46,1.44
1.46,444080.0,1.44,"Jun 04, 2010 00:00:00",1.46,1.44
1.44,4320.0,1.44,"Jun 07, 2010 00:00:00",1.44,1.44
1.44,491040.0,1.44,"Jun 08, 2010 00:00:00",1.44,1.44
1.44,72000.0,1.44,"Jun 09, 2010 00:00:00",1.44,1.44
1.44,313920.0,1.44,"Jun 10, 2010 00:00:00",1.44,1.44
1.44,257760.0,1.44,"Jun 11, 2010 00:00:00",1.44,1.44
1.44,2880.0,1.44,"Jun 15, 2010 00:00:00",1.44,1.44
1.44,72000.0,1.44,"Jun 16, 2010 00:00:00",1.44,1.44
1.44,437000.0,1.46,"Jun 21, 2010 00:00:00",1.46,1.44
1.48,847260.0,1.46,"Jun 22, 2010 00:00:00",1.5,1.46
1.46,292000.0,1.46,"Jun 23, 2010 00:00:00",1.46,1.46
1.44,1108880.0,1.42,"Jun 24, 2010 00:00:00",1.44,1.42
1.44,234720.0,1.44,"Jun 25, 2010 00:00:00",1.44,1.44
1.48,221000.0,1.46,"Jun 28, 2010 00:00:00",1.48,1.46
1.44,377280.0,1.44,"Jun 29, 2010 00:00:00",1.44,1.44
1.44,275040.0,1.44,"Jul 01, 2010 00:00:00",1.44,1.44
1.44,980200.0,1.4,"Jul 02, 2010 00:00:00",1.44,1.4
1.4,56000.0,1.4,"Jul 06, 2010 00:00:00",1.4,1.4
