OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
2.51,8083300.0,2.99,"May 21, 2012 00:00:00",5.5,2.5
2.9,7485090.0,2.3,"May 22, 2012 00:00:00",3.01,1.5
2.3,684350.0,1.76,"May 23, 2012 00:00:00",2.3,1.72
1.74,13427680.0,1.97,"May 24, 2012 00:00:00",2.3,1.7
2.0,1310120.0,1.9,"May 25, 2012 00:00:00",2.04,1.86
1.76,630340.0,1.75,"May 28, 2012 00:00:00",1.9,1.7
1.85,16396720.0,1.7,"May 29, 2012 00:00:00",2.0,1.7
1.7,7206060.0,1.4,"May 30, 2012 00:00:00",1.72,1.35
1.44,8592210.0,1.2,"May 31, 2012 00:00:00",1.65,1.05
1.16,10426140.0,1.26,"Jun 01, 2012 00:00:00",1.47,1.1
1.3,13682780.0,1.5,"Jun 04, 2012 00:00:00",1.69,1.29
1.58,20911070.0,1.73,"Jun 05, 2012 00:00:00",1.75,1.51
1.8,80136300.0,2.25,"Jun 06, 2012 00:00:00",2.25,1.77
2.32,105213330.0,1.8,"Jun 07, 2012 00:00:00",2.33,1.78
1.83,30977290.0,1.63,"Jun 08, 2012 00:00:00",1.83,1.58
1.64,38009230.0,1.7,"Jun 11, 2012 00:00:00",1.8,1.57
1.74,40168820.0,1.5,"Jun 13, 2012 00:00:00",1.74,1.44
1.52,13130760.0,1.46,"Jun 14, 2012 00:00:00",1.55,1.38
1.46,19724580.0,1.49,"Jun 15, 2012 00:00:00",1.61,1.46
1.55,3678360.0,1.52,"Jun 18, 2012 00:00:00",1.58,1.48
1.51,3379170.0,1.52,"Jun 19, 2012 00:00:00",1.54,1.48
1.54,2403710.0,1.48,"Jun 20, 2012 00:00:00",1.54,1.48
1.48,6815890.0,1.48,"Jun 21, 2012 00:00:00",1.56,1.47
1.47,18356810.0,1.49,"Jun 22, 2012 00:00:00",1.55,1.46
1.51,3635630.0,1.49,"Jun 25, 2012 00:00:00",1.51,1.48
1.5,5098970.0,1.49,"Jun 26, 2012 00:00:00",1.51,1.48
1.49,4473660.0,1.48,"Jun 27, 2012 00:00:00",1.51,1.48
1.48,2078340.0,1.45,"Jun 28, 2012 00:00:00",1.48,1.41
1.42,11210870.0,1.41,"Jun 29, 2012 00:00:00",1.44,1.39
1.41,1175800.0,1.41,"Jul 02, 2012 00:00:00",1.43,1.4
1.4,1855610.0,1.4,"Jul 03, 2012 00:00:00",1.42,1.4
1.4,4034890.0,1.37,"Jul 04, 2012 00:00:00",1.4,1.36
1.36,4872510.0,1.36,"Jul 05, 2012 00:00:00",1.41,1.35
1.37,2107260.0,1.36,"Jul 06, 2012 00:00:00",1.39,1.36
1.42,843020.0,1.36,"Jul 09, 2012 00:00:00",1.42,1.36
1.36,1844870.0,1.32,"Jul 10, 2012 00:00:00",1.4,1.31
1.38,2761440.0,1.34,"Jul 11, 2012 00:00:00",1.38,1.28
1.28,3503680.0,1.28,"Jul 12, 2012 00:00:00",1.33,1.25
1.26,5423300.0,1.28,"Jul 13, 2012 00:00:00",1.31,1.24
1.26,3430030.0,1.25,"Jul 16, 2012 00:00:00",1.32,1.25
1.28,3612530.0,1.2,"Jul 17, 2012 00:00:00",1.28,1.2
1.25,2861800.0,1.19,"Jul 18, 2012 00:00:00",1.25,1.18
1.19,3259030.0,1.18,"Jul 19, 2012 00:00:00",1.21,1.17
1.18,999640.0,1.17,"Jul 20, 2012 00:00:00",1.2,1.16
1.16,1118190.0,1.16,"Jul 23, 2012 00:00:00",1.19,1.15
1.16,1384310.0,1.18,"Jul 24, 2012 00:00:00",1.23,1.15
1.16,465040.0,1.16,"Jul 25, 2012 00:00:00",1.2,1.16
1.2,1315470.0,1.17,"Jul 26, 2012 00:00:00",1.24,1.16
1.18,6345430.0,1.2,"Jul 27, 2012 00:00:00",1.26,1.18
1.21,1015940.0,1.18,"Jul 30, 2012 00:00:00",1.22,1.18
1.2,9599310.0,1.24,"Jul 31, 2012 00:00:00",1.28,1.2
1.24,63607800.0,1.38,"Aug 01, 2012 00:00:00",1.5,1.24
1.43,42619670.0,1.38,"Aug 02, 2012 00:00:00",1.48,1.36
1.38,13714750.0,1.29,"Aug 03, 2012 00:00:00",1.41,1.26
1.27,30224560.0,1.5,"Aug 06, 2012 00:00:00",1.5,1.27
1.5,42446270.0,1.57,"Aug 08, 2012 00:00:00",1.6,1.47
1.56,15544100.0,1.45,"Aug 09, 2012 00:00:00",1.56,1.4
1.5,4678410.0,1.4,"Aug 10, 2012 00:00:00",1.5,1.4
1.4,4235110.0,1.4,"Aug 13, 2012 00:00:00",1.45,1.38
1.4,5220310.0,1.43,"Aug 14, 2012 00:00:00",1.5,1.4
1.43,6214560.0,1.4,"Aug 15, 2012 00:00:00",1.48,1.4
1.4,3413980.0,1.33,"Aug 16, 2012 00:00:00",1.4,1.33
1.36,2806040.0,1.35,"Aug 17, 2012 00:00:00",1.37,1.33
1.35,2219230.0,1.33,"Aug 22, 2012 00:00:00",1.37,1.33
1.35,4356070.0,1.37,"Aug 23, 2012 00:00:00",1.45,1.35
1.37,5687490.0,1.35,"Aug 24, 2012 00:00:00",1.41,1.35
1.36,1676020.0,1.37,"Aug 28, 2012 00:00:00",1.39,1.35
1.39,2134880.0,1.4,"Aug 29, 2012 00:00:00",1.42,1.38
1.41,981210.0,1.38,"Aug 30, 2012 00:00:00",1.43,1.37
1.36,512520.0,1.38,"Aug 31, 2012 00:00:00",1.38,1.35
1.36,665600.0,1.37,"Sep 03, 2012 00:00:00",1.4,1.36
1.38,3427860.0,1.36,"Sep 04, 2012 00:00:00",1.38,1.34
1.34,5991970.0,1.28,"Sep 05, 2012 00:00:00",1.37,1.28
1.29,2822260.0,1.29,"Sep 06, 2012 00:00:00",1.32,1.28
1.3,1627300.0,1.29,"Sep 07, 2012 00:00:00",1.3,1.28
1.27,1080040.0,1.28,"Sep 10, 2012 00:00:00",1.29,1.27
1.27,866250.0,1.27,"Sep 11, 2012 00:00:00",1.28,1.27
