OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.78,166100.0,0.86,"Aug 03, 2009 00:00:00",0.86,0.78
0.82,41300.0,0.83,"Aug 04, 2009 00:00:00",0.83,0.82
0.85,601000.0,0.8,"Aug 06, 2009 00:00:00",0.86,0.8
0.8,640000.0,0.8,"Aug 07, 2009 00:00:00",0.8,0.8
0.8,48100.0,0.81,"Aug 10, 2009 00:00:00",0.81,0.8
0.8,749100.0,0.79,"Aug 11, 2009 00:00:00",0.8,0.78
0.8,198500.0,0.79,"Aug 12, 2009 00:00:00",0.8,0.79
0.8,214500.0,0.74,"Aug 13, 2009 00:00:00",0.8,0.74
0.74,288600.0,0.74,"Aug 14, 2009 00:00:00",0.74,0.74
0.7,392000.0,0.7,"Aug 24, 2009 00:00:00",0.7,0.7
0.7,455000.0,0.7,"Aug 25, 2009 00:00:00",0.7,0.7
0.72,568800.0,0.72,"Aug 26, 2009 00:00:00",0.72,0.72
0.7,114600.0,0.74,"Sep 04, 2009 00:00:00",0.74,0.7
0.7,414500.0,0.69,"Sep 16, 2009 00:00:00",0.7,0.69
0.69,13800.0,0.69,"Sep 17, 2009 00:00:00",0.69,0.69
0.7,77000.0,0.7,"Sep 22, 2009 00:00:00",0.7,0.7
0.69,69000.0,0.69,"Sep 30, 2009 00:00:00",0.69,0.69
0.6,126800.0,0.68,"Oct 01, 2009 00:00:00",0.68,0.6
0.6,162900.0,0.6,"Oct 05, 2009 00:00:00",0.69,0.6
0.6,12000.0,0.6,"Oct 06, 2009 00:00:00",0.6,0.6
0.63,31500.0,0.63,"Oct 07, 2009 00:00:00",0.63,0.63
0.63,259900.0,0.64,"Oct 08, 2009 00:00:00",0.64,0.63
0.65,96500.0,0.64,"Oct 09, 2009 00:00:00",0.65,0.64
0.66,6600.0,0.66,"Oct 12, 2009 00:00:00",0.66,0.66
0.66,72600.0,0.66,"Oct 15, 2009 00:00:00",0.66,0.66
0.65,206000.0,0.66,"Oct 21, 2009 00:00:00",0.66,0.64
0.68,136000.0,0.68,"Oct 22, 2009 00:00:00",0.68,0.68
0.66,26400.0,0.66,"Oct 26, 2009 00:00:00",0.66,0.66
0.64,19200.0,0.64,"Oct 28, 2009 00:00:00",0.64,0.64
0.62,99200.0,0.62,"Oct 29, 2009 00:00:00",0.62,0.62
0.63,359100.0,0.63,"Oct 30, 2009 00:00:00",0.63,0.63
0.64,6400.0,0.64,"Nov 04, 2009 00:00:00",0.64,0.64
0.63,37800.0,0.63,"Nov 10, 2009 00:00:00",0.63,0.63
0.65,101000.0,0.63,"Nov 11, 2009 00:00:00",0.65,0.63
0.51,5100.0,0.51,"Dec 18, 2009 00:00:00",0.51,0.51
0.62,80600.0,0.62,"Dec 21, 2009 00:00:00",0.62,0.62
0.62,12400.0,0.62,"Dec 22, 2009 00:00:00",0.62,0.62
0.62,68200.0,0.62,"Dec 29, 2009 00:00:00",0.62,0.62
0.61,152500.0,0.61,"Jan 04, 2010 00:00:00",0.61,0.61
0.64,108000.0,0.68,"Jan 05, 2010 00:00:00",0.68,0.64
0.66,85800.0,0.66,"Jan 08, 2010 00:00:00",0.66,0.66
0.63,1798000.0,0.68,"Jan 11, 2010 00:00:00",0.68,0.62
0.63,258300.0,0.63,"Jan 12, 2010 00:00:00",0.63,0.63
0.62,808100.0,0.61,"Jan 13, 2010 00:00:00",0.63,0.61
0.61,43100.0,0.62,"Jan 15, 2010 00:00:00",0.62,0.61
0.62,98100.0,0.61,"Jan 19, 2010 00:00:00",0.62,0.61
0.6,411700.0,0.59,"Jan 22, 2010 00:00:00",0.64,0.59
0.59,11800.0,0.59,"Jan 26, 2010 00:00:00",0.59,0.59
0.59,5900.0,0.59,"Jan 27, 2010 00:00:00",0.59,0.59
0.59,1114900.0,0.6,"Jan 28, 2010 00:00:00",0.61,0.58
0.59,29500.0,0.59,"Jan 29, 2010 00:00:00",0.59,0.59
0.59,11800.0,0.59,"Feb 02, 2010 00:00:00",0.59,0.59
0.56,33600.0,0.56,"Feb 04, 2010 00:00:00",0.56,0.56
0.56,11200.0,0.56,"Feb 05, 2010 00:00:00",0.56,0.56
0.52,88000.0,0.58,"Feb 10, 2010 00:00:00",0.58,0.52
0.59,100300.0,0.59,"Feb 11, 2010 00:00:00",0.59,0.59
0.52,109200.0,0.52,"Mar 08, 2010 00:00:00",0.52,0.52
