OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
3.4,3400.0,3.4,"Aug 07, 2009 00:00:00",3.4,3.4
3.5,7000.0,3.5,"Sep 18, 2009 00:00:00",3.5,3.5
3.5,3500.0,3.5,"Oct 02, 2009 00:00:00",3.5,3.5
3.5,14000.0,3.5,"Oct 05, 2009 00:00:00",3.5,3.5
3.55,35500.0,3.55,"Oct 29, 2009 00:00:00",3.55,3.55
3.55,3550.0,3.55,"Oct 30, 2009 00:00:00",3.55,3.55
4.0,87400.0,5.9,"Dec 16, 2009 00:00:00",5.9,4.0
4.0,48000.0,4.0,"Jan 13, 2010 00:00:00",4.0,4.0
4.0,20000.0,4.0,"Jan 18, 2010 00:00:00",4.0,4.0
4.55,4550.0,4.55,"Jun 23, 2010 00:00:00",4.55,4.55
4.55,22750.0,4.55,"Jun 24, 2010 00:00:00",4.55,4.55
5.7,5700.0,5.7,"Jun 29, 2010 00:00:00",5.7,5.7
4.5,22500.0,4.5,"Sep 30, 2010 00:00:00",4.5,4.5
6.5,51550.0,4.55,"Nov 09, 2010 00:00:00",6.75,4.55
4.55,4550.0,4.55,"Nov 12, 2010 00:00:00",4.55,4.55
4.55,157700.0,4.5,"Nov 18, 2010 00:00:00",4.55,4.5
4.99,4990.0,4.99,"Nov 19, 2010 00:00:00",4.99,4.99
6.0,12000.0,6.0,"Dec 01, 2010 00:00:00",6.0,6.0
4.68,2565.0,6.99,"Dec 07, 2010 00:00:00",6.99,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
4.68,3276.0,4.68,"Dec 28, 2010 00:00:00",4.68,4.68
5.0,15000.0,5.0,"Jan 18, 2011 00:00:00",5.0,5.0
4.68,8025.0,5.02,"Jan 28, 2011 00:00:00",5.03,4.68
4.68,8025.0,5.02,"Jan 28, 2011 00:00:00",5.03,4.68
4.68,7020.0,4.68,"Feb 14, 2011 00:00:00",4.68,4.68
4.68,4680.0,4.68,"Mar 04, 2011 00:00:00",4.68,4.68
4.68,4680.0,4.68,"Mar 04, 2011 00:00:00",4.68,4.68
4.7,18800.0,4.7,"Mar 29, 2011 00:00:00",4.7,4.7
4.7,14100.0,4.7,"Mar 30, 2011 00:00:00",4.7,4.7
4.58,4580.0,4.58,"May 03, 2011 00:00:00",4.58,4.58
5.99,29970.0,6.0,"May 10, 2011 00:00:00",6.0,5.99
4.58,916.0,4.58,"May 26, 2011 00:00:00",4.58,4.58
5.0,10000.0,5.0,"Nov 09, 2011 00:00:00",5.0,5.0
5.0,4500.0,5.0,"Nov 23, 2011 00:00:00",5.0,5.0
5.0,10000.0,5.0,"Nov 28, 2011 00:00:00",5.0,5.0
2.55,255.0,2.55,"Dec 13, 2011 00:00:00",2.55,2.55
2.55,12750.0,2.55,"Dec 22, 2011 00:00:00",2.55,2.55
3.81,18480.0,3.81,"Dec 27, 2011 00:00:00",3.81,3.24
2.65,15900.0,2.65,"Jan 12, 2012 00:00:00",2.65,2.65
3.97,3970.0,3.97,"Jan 18, 2012 00:00:00",3.97,3.97
5.95,11900.0,5.95,"Jan 19, 2012 00:00:00",5.95,5.95
5.95,69414.0,5.95,"Jan 20, 2012 00:00:00",6.85,5.95
7.0,158465.0,6.0,"Jan 24, 2012 00:00:00",7.4,6.0
7.0,1350.0,6.5,"Jan 25, 2012 00:00:00",7.0,6.5
6.05,7260.0,6.05,"Jan 26, 2012 00:00:00",6.05,6.05
6.15,6150.0,6.15,"Jan 27, 2012 00:00:00",6.15,6.15
6.0,54600.0,6.0,"Feb 06, 2012 00:00:00",6.0,6.0
6.0,27020.0,6.01,"Feb 07, 2012 00:00:00",6.01,6.0
6.01,28848.0,6.01,"Feb 08, 2012 00:00:00",6.01,6.01
6.0,394200.0,6.0,"Feb 09, 2012 00:00:00",6.0,6.0
5.95,5980.0,6.0,"Feb 10, 2012 00:00:00",6.0,5.95
6.0,6836.0,4.6,"Feb 20, 2012 00:00:00",6.0,3.68
5.0,5000.0,5.0,"Feb 28, 2012 00:00:00",5.0,5.0
5.0,9000.0,5.0,"Feb 29, 2012 00:00:00",5.0,5.0
5.0,9000.0,5.0,"Mar 12, 2012 00:00:00",5.0,5.0
6.99,601299.0,6.0,"Mar 16, 2012 00:00:00",6.99,6.0
5.8,10440.0,5.8,"Mar 20, 2012 00:00:00",5.8,5.8
5.8,92240.0,6.2,"Mar 21, 2012 00:00:00",6.2,5.8
6.2,682898.0,7.37,"Mar 22, 2012 00:00:00",7.38,6.2
7.92,3981377.0,10.1,"Mar 23, 2012 00:00:00",11.04,7.92
9.1,545060.0,9.0,"Mar 26, 2012 00:00:00",11.0,9.0
8.25,176242.0,9.0,"Mar 27, 2012 00:00:00",9.8,8.25
8.5,127640.0,9.0,"Mar 28, 2012 00:00:00",9.35,8.4
8.6,3930801.0,13.5,"Mar 29, 2012 00:00:00",13.5,8.6
13.4,7281810.0,14.52,"Mar 30, 2012 00:00:00",18.0,13.4
14.0,678154.0,13.0,"Apr 02, 2012 00:00:00",15.9,12.0
14.28,335830.0,12.32,"Apr 03, 2012 00:00:00",14.28,12.1
12.32,245874.0,12.32,"Apr 04, 2012 00:00:00",13.5,12.32
12.16,326440.0,12.4,"Apr 10, 2012 00:00:00",14.5,12.16
12.5,52310.0,12.5,"Apr 11, 2012 00:00:00",12.5,12.3
12.5,3800.0,12.7,"Apr 12, 2012 00:00:00",12.8,12.5
12.02,104940.0,12.18,"Apr 13, 2012 00:00:00",12.3,12.0
11.8,94100.0,11.0,"Apr 16, 2012 00:00:00",11.8,11.0
9.6,200994.0,12.0,"Apr 17, 2012 00:00:00",12.0,9.6
12.5,225730.0,12.26,"Apr 18, 2012 00:00:00",12.5,11.0
11.9,76756.0,12.0,"Apr 19, 2012 00:00:00",12.0,11.9
12.4,431738.0,12.5,"Apr 20, 2012 00:00:00",12.6,11.8
12.0,92450.0,12.4,"Apr 23, 2012 00:00:00",12.4,11.9
12.38,6190.0,12.38,"Apr 24, 2012 00:00:00",12.38,12.38
12.3,24600.0,12.3,"Apr 26, 2012 00:00:00",12.3,12.3
12.28,3688.0,12.3,"Apr 30, 2012 00:00:00",12.3,12.28
10.5,4200.0,10.5,"May 03, 2012 00:00:00",10.5,10.5
11.5,2200.0,10.5,"May 04, 2012 00:00:00",11.5,10.5
10.5,101350.0,11.0,"May 07, 2012 00:00:00",12.0,10.5
