OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
0.0525,4179250.0,0.055,"Aug 03, 2009 00:00:00",0.055,0.0525
0.055,99251500.0,0.06,"Aug 04, 2009 00:00:00",0.06,0.0525
0.0575,16769500.0,0.06,"Aug 06, 2009 00:00:00",0.06,0.0575
0.06,7700500.0,0.06,"Aug 07, 2009 00:00:00",0.06,0.0575
0.06,45112500.0,0.0625,"Aug 10, 2009 00:00:00",0.0625,0.06
0.0625,169421500.0,0.07,"Aug 11, 2009 00:00:00",0.07,0.0625
0.0675,44013000.0,0.0675,"Aug 12, 2009 00:00:00",0.07,0.065
0.0675,34369500.0,0.07,"Aug 13, 2009 00:00:00",0.07,0.0675
0.07,63665750.0,0.0725,"Aug 14, 2009 00:00:00",0.0725,0.07
0.0725,52791000.0,0.075,"Aug 17, 2009 00:00:00",0.075,0.07
0.0725,36543500.0,0.075,"Aug 18, 2009 00:00:00",0.075,0.07
0.075,52237750.0,0.0775,"Aug 19, 2009 00:00:00",0.0775,0.075
0.0775,70853750.0,0.08,"Aug 20, 2009 00:00:00",0.08,0.0775
0.0825,39965750.0,0.0825,"Aug 24, 2009 00:00:00",0.0825,0.08
0.08,16320500.0,0.0825,"Aug 25, 2009 00:00:00",0.0825,0.08
0.0825,22187750.0,0.0825,"Aug 26, 2009 00:00:00",0.0825,0.08
0.105,5841900.0,0.105,"Sep 03, 2009 00:00:00",0.105,0.1
0.105,54501350.0,0.11,"Sep 04, 2009 00:00:00",0.11,0.1
0.135,175186500.0,0.14,"Sep 16, 2009 00:00:00",0.14,0.135
0.14,72479450.0,0.14,"Sep 17, 2009 00:00:00",0.145,0.135
0.135,171511200.0,0.125,"Sep 18, 2009 00:00:00",0.135,0.125
12.5,25184550.0,12.5,"Sep 22, 2009 00:00:00",12.5,12.0
12.5,119068300.0,13.0,"Sep 23, 2009 00:00:00",13.0,12.25
14.25,297609225.0,14.75,"Sep 30, 2009 00:00:00",14.75,14.0
14.75,319510500.0,15.25,"Oct 01, 2009 00:00:00",15.25,14.5
15.0,44441150.0,15.0,"Oct 02, 2009 00:00:00",15.0,14.75
15.0,94728550.0,15.0,"Oct 05, 2009 00:00:00",15.25,14.75
15.0,219680200.0,12.5,"Oct 06, 2009 00:00:00",15.0,12.0
12.5,515630000.0,15.0,"Oct 07, 2009 00:00:00",15.0,12.0
15.0,179813475.0,15.5,"Oct 08, 2009 00:00:00",15.5,14.75
