OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.3,1064501830.0,5.33,"Mar 31, 2017 00:00:00",5.37,5.17
5.33,304163814.0,5.35,"Apr 03, 2017 00:00:00",5.46,5.32
5.36,102468565.0,5.32,"Apr 04, 2017 00:00:00",5.37,5.21
5.3,169072547.0,5.17,"Apr 05, 2017 00:00:00",5.32,5.1
5.15,103222187.0,5.2,"Apr 06, 2017 00:00:00",5.24,5.08
5.21,94155381.0,5.16,"Apr 07, 2017 00:00:00",5.27,5.12
5.16,36461037.0,5.23,"Apr 10, 2017 00:00:00",5.24,5.16
5.24,45715951.0,5.23,"Apr 11, 2017 00:00:00",5.24,5.2
5.24,39600741.0,5.28,"Apr 12, 2017 00:00:00",5.33,5.24
5.28,17682836.0,5.21,"Apr 17, 2017 00:00:00",5.28,5.2
5.22,25596354.0,5.19,"Apr 18, 2017 00:00:00",5.22,5.16
5.19,70392413.0,5.25,"Apr 19, 2017 00:00:00",5.32,5.17
5.25,21035803.0,5.23,"Apr 20, 2017 00:00:00",5.3,5.2
5.24,40899850.0,5.23,"Apr 21, 2017 00:00:00",5.26,5.22
5.23,31567448.0,5.21,"Apr 24, 2017 00:00:00",5.24,5.19
5.22,60631318.0,5.25,"Apr 25, 2017 00:00:00",5.25,5.22
5.26,205548511.0,5.42,"Apr 26, 2017 00:00:00",5.46,5.23
5.45,159604929.0,5.42,"Apr 27, 2017 00:00:00",5.56,5.39
5.44,33514048.0,5.36,"May 02, 2017 00:00:00",5.45,5.34
5.37,42949311.0,5.28,"May 03, 2017 00:00:00",5.37,5.25
5.29,76182415.0,5.36,"May 04, 2017 00:00:00",5.38,5.27
5.36,71700954.0,5.34,"May 05, 2017 00:00:00",5.36,5.32
5.34,74479283.0,5.37,"May 08, 2017 00:00:00",5.43,5.32
5.39,24091927.0,5.38,"May 09, 2017 00:00:00",5.39,5.33
5.38,58311670.0,5.39,"May 10, 2017 00:00:00",5.45,5.35
5.38,50663960.0,5.4,"May 11, 2017 00:00:00",5.42,5.34
5.41,28016053.0,5.39,"May 12, 2017 00:00:00",5.41,5.35
5.39,90937805.0,5.43,"May 15, 2017 00:00:00",5.49,5.39
5.45,71993755.0,5.4,"May 16, 2017 00:00:00",5.49,5.39
5.4,31373008.0,5.43,"May 17, 2017 00:00:00",5.43,5.38
5.42,85327905.0,5.35,"May 18, 2017 00:00:00",5.42,5.32
5.35,88006034.0,5.39,"May 19, 2017 00:00:00",5.46,5.35
