OPEN,VALUE,CLOSE,CHART_DATE,HIGH,LOW
5.95,108313800.0,5.95,"Dec 02, 2014 00:00:00",5.95,5.95
8.92,1269829303.0,8.4,"Dec 03, 2014 00:00:00",8.92,7.61
8.5,271146011.0,7.88,"Dec 04, 2014 00:00:00",8.7,7.75
7.62,236788238.0,8.01,"Dec 05, 2014 00:00:00",8.25,7.42
8.35,188686747.0,8.52,"Dec 09, 2014 00:00:00",8.68,8.22
8.64,226489105.0,9.05,"Dec 10, 2014 00:00:00",9.18,8.57
9.11,191820848.0,8.71,"Dec 11, 2014 00:00:00",9.2,8.53
8.98,132636665.0,9.1,"Dec 12, 2014 00:00:00",9.4,8.96
9.0,117682542.0,9.44,"Dec 15, 2014 00:00:00",9.53,8.83
9.54,61031321.0,9.3,"Dec 16, 2014 00:00:00",9.62,9.18
9.29,107063642.0,9.08,"Dec 17, 2014 00:00:00",9.3,9.0
9.22,65901882.0,9.02,"Dec 18, 2014 00:00:00",9.36,8.85
9.15,45706871.0,9.05,"Dec 19, 2014 00:00:00",9.28,9.05
9.09,41323985.0,8.91,"Dec 22, 2014 00:00:00",9.15,8.86
8.98,135468894.0,9.74,"Dec 23, 2014 00:00:00",9.8,8.85
9.84,101374186.0,9.35,"Dec 29, 2014 00:00:00",9.98,9.35
9.44,55199477.0,9.5,"Jan 05, 2015 00:00:00",9.6,9.4
9.46,45317878.0,9.3,"Jan 06, 2015 00:00:00",9.46,9.15
9.3,44129953.0,9.5,"Jan 07, 2015 00:00:00",9.6,9.16
9.55,55762410.0,9.73,"Jan 08, 2015 00:00:00",9.8,9.43
9.83,98482946.0,10.0,"Jan 09, 2015 00:00:00",10.2,9.83
10.1,136508829.0,11.06,"Jan 12, 2015 00:00:00",11.1,9.8
11.2,103533884.0,11.44,"Jan 13, 2015 00:00:00",11.54,11.12
11.54,112849118.0,11.22,"Jan 14, 2015 00:00:00",11.92,11.22
11.5,21805412.0,11.48,"Jan 19, 2015 00:00:00",11.6,11.26
11.6,96064830.0,11.62,"Jan 20, 2015 00:00:00",11.9,11.6
11.8,49146614.0,11.62,"Jan 21, 2015 00:00:00",11.86,11.4
11.64,35477268.0,11.48,"Jan 22, 2015 00:00:00",11.74,11.38
11.58,170367838.0,12.14,"Jan 23, 2015 00:00:00",12.26,11.58
12.2,126522978.0,12.06,"Jan 26, 2015 00:00:00",12.66,11.88
12.1,100607254.0,11.7,"Jan 27, 2015 00:00:00",12.14,11.68
11.6,96516668.0,12.4,"Jan 28, 2015 00:00:00",12.5,11.6
12.44,157531258.0,12.3,"Jan 29, 2015 00:00:00",12.7,11.9
12.36,59544074.0,12.28,"Jan 30, 2015 00:00:00",12.6,12.18
12.44,41328454.0,12.44,"Feb 02, 2015 00:00:00",12.5,12.02
12.44,54553472.0,12.42,"Feb 03, 2015 00:00:00",12.66,12.36
12.46,110639324.0,12.6,"Feb 04, 2015 00:00:00",12.88,12.44
12.74,65525900.0,12.26,"Feb 05, 2015 00:00:00",12.74,12.18
12.3,19573566.0,12.54,"Feb 06, 2015 00:00:00",12.6,12.3
12.58,214588670.0,11.5,"Feb 09, 2015 00:00:00",12.68,11.28
11.54,95509400.0,12.0,"Feb 10, 2015 00:00:00",12.08,11.54
12.04,44055646.0,12.0,"Feb 11, 2015 00:00:00",12.26,11.76
12.0,12410344.0,12.0,"Feb 12, 2015 00:00:00",12.16,11.9
12.14,25863842.0,12.2,"Feb 13, 2015 00:00:00",12.3,12.1
12.2,9462086.0,12.0,"Feb 16, 2015 00:00:00",12.24,11.86
12.0,45492190.0,11.78,"Feb 17, 2015 00:00:00",12.0,11.76
11.68,71652622.0,11.46,"Feb 18, 2015 00:00:00",11.68,11.18
11.46,161164394.0,10.78,"Feb 20, 2015 00:00:00",11.46,10.42
10.7,102910224.0,10.42,"Feb 23, 2015 00:00:00",10.7,10.18
10.42,74005248.0,11.02,"Feb 24, 2015 00:00:00",11.34,10.42
11.1,45123668.0,10.8,"Feb 25, 2015 00:00:00",11.36,10.78
11.1,116863894.0,11.84,"Feb 26, 2015 00:00:00",11.84,11.02
11.72,67956156.0,11.18,"Feb 27, 2015 00:00:00",11.8,11.12
11.24,34369518.0,10.96,"Mar 02, 2015 00:00:00",11.46,10.8
11.02,25015582.0,11.08,"Mar 03, 2015 00:00:00",11.32,11.02
11.08,7605068.0,11.2,"Mar 04, 2015 00:00:00",11.34,11.06
11.26,7513662.0,11.34,"Mar 05, 2015 00:00:00",11.38,11.1
11.34,22988990.0,11.4,"Mar 06, 2015 00:00:00",11.6,11.3
11.4,14302204.0,11.1,"Mar 09, 2015 00:00:00",11.4,11.0
11.1,9718846.0,11.3,"Mar 10, 2015 00:00:00",11.34,11.1
11.12,6714654.0,11.12,"Mar 11, 2015 00:00:00",11.2,11.08
11.12,11428478.0,11.32,"Mar 12, 2015 00:00:00",11.34,11.1
11.32,37506618.0,11.1,"Mar 13, 2015 00:00:00",11.7,11.08
11.12,50729748.0,10.8,"Mar 16, 2015 00:00:00",11.34,10.78
10.84,9328180.0,10.88,"Mar 17, 2015 00:00:00",10.98,10.82
10.86,11897102.0,10.68,"Mar 18, 2015 00:00:00",10.88,10.68
10.68,41668122.0,10.2,"Mar 19, 2015 00:00:00",10.74,10.2
10.22,109043367.0,10.0,"Mar 20, 2015 00:00:00",10.46,9.6
10.04,24326790.0,10.38,"Mar 23, 2015 00:00:00",10.44,10.04
10.38,19275234.0,10.58,"Mar 24, 2015 00:00:00",10.7,10.2
10.64,13230496.0,10.56,"Mar 25, 2015 00:00:00",10.78,10.52
10.54,20627046.0,10.74,"Mar 26, 2015 00:00:00",10.82,10.32
10.94,38106832.0,10.4,"Mar 27, 2015 00:00:00",11.0,10.4
10.5,11573660.0,10.2,"Mar 30, 2015 00:00:00",10.5,10.18
10.2,39723802.0,10.0,"Mar 31, 2015 00:00:00",10.3,9.79
10.0,10536883.0,9.99,"Apr 01, 2015 00:00:00",10.0,9.9
9.96,31791961.0,9.65,"Apr 06, 2015 00:00:00",9.98,9.5
9.65,55236664.0,9.65,"Apr 07, 2015 00:00:00",9.7,9.23
9.7,11037640.0,9.87,"Apr 08, 2015 00:00:00",9.96,9.7
9.91,11192328.0,9.88,"Apr 10, 2015 00:00:00",10.0,9.87
